EndingUrn,EndingString,Form,FormSet
urn:cite:shot:morphends.end_1a,"os",":singular::::masculine:nominative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_1b,"os",":singular::::feminine:nominative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_1c,"on",":singular::::neuter:nominative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_2,"ou",":singular:::::genitive::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_3,"w|",":singular:::::dative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_4,"on",":singular:::::accusative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_5a,"e",":singular::::masculine:vocative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_5b,"e",":singular::::feminine:vocative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_5c,"on",":singular::::neuter:vocative::noun","urn:cite:ns:inflclass.decl2"

urn:cite:shot:morphends.6,"w",":dual:::::nominative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.7,"oin",":dual:::::genitive::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.8,"oin",":dual:::::dative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.9,"w",":dual:::::accusative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.10,"2",":dual:::::vocative::noun","urn:cite:ns:inflclass.decl2"

urn:cite:shot:morphends.end_11a,"oi",":plural::::masculine:nominative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_11b,"oi",":plural::::feminine:nominative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_11c,"a",":plural::::neuter:nominative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_12,"wn",":plural:::::genitive::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_13,"ois",":plural:::::dative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_14a,"ous",":plural::::masculine:accusative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_14b,"ous",":plural::::feminine:accusative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_14c,"a",":plural::::neuter:accusative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_15a,"oi",":plural::::masculine:vocative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_15b,"oi",":plural::::feminine:vocative::noun","urn:cite:ns:inflclass.decl2"
urn:cite:shot:morphends.end_15c,"a",":plural::::neuter:vocative::noun","urn:cite:ns:inflclass.decl2"
