StemUrn,LexicalEntity,Lemma,Stem,StemClass,Application
urn:cite:ns:morphstem.stem1,urn:cite:perseus:lexentity.lex17565.1,di/kh,di^k,urn:cite:ns:stemtype.h_hs,:::::feminine:::noun
urn:cite:ns:morphstem.stem2,urn:cite:perseus:lexentity.lex41535.1,lo/gos,log,urn:cite:ns:stemtype.os_ou,:::::masculine:::noun
urn:cite:ns:morphstem.stem6,urn:cite:perseus:lexentity.lex49558.1,oi)wno/s,oi)wn,urn:cite:ns:stemptype.os_ou_ult,:::::masculine::::noun



urn:cite:ns:morphstem.stem3,urn:cite:perseus:lexentity.lex113895.1,e)/xw,e)/x,urn:cite:ns:stemtype.princpt1,::present::::::verb
urn:cite:ns:morphstem.stem4,urn:cite:perseus:lexentity.lex113895.1,e)/xw,sxhs,urn:cite:ns:stemtype.princpt2,::future::::::verb
urn:cite:ns:morphstem.stem5,urn:cite:perseus:lexentity.lex113895.1,e)/xw,e(c,urn:cite:ns:stemtype.princpt2,::future::::::verb
urn:cite:ns:morphstem.stem7mid,urn:cite:perseus:lexentity.lex113895.1,e)/xw,sx,urn:cite:ns:stemtype.aor2,::aorist::middle::::verb
urn:cite:ns:morphstem.stem7act,urn:cite:perseus:lexentity.lex113895.1,e)/xw,sx,urn:cite:ns:stemtype.aor2,::aorist::active::::verb
urn:cite:ns:morphstem.stem8aor,urn:cite:perseus:lexentity.lex113895.1,e)/xw,sxeq,urn:cite:ns:stemtype.princpt6,::aorist::passive::::verb
urn:cite:ns:morphstem.stem8fut,urn:cite:perseus:lexentity.lex113895.1,e)/xw,sxeq,urn:cite:ns:stemtype.princpt6,::future::passive::::verb
