EndingUrn,EndingString,Form,FormSet
urn:cite:ns:morphend.vbend_1,"w","first:singular:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_2,"eis","second:singular:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_3,"ei","third:singular:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"

urn:cite:ns:morphend.vbend_4,"eton","second:dual:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_5,"eton","third:dual:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"

urn:cite:ns:morphend.vbend_6,"omen","first:plural:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_7,"ete","second:plural:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_8,"ousi","third:plural:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"









