Urn,AnalyticalClass,Label
urn:cite:morph:form.cv00000,conjverb,conjugated verb: 1st singular present indicative active
urn:cite:morph:form.cv00001,conjverb,conjugated verb: 1st singular present indicative middle
urn:cite:morph:form.cv00002,conjverb,conjugated verb: 1st singular present indicative passive
urn:cite:morph:form.cv00010,conjverb,conjugated verb: 1st singular present subjunctive active
urn:cite:morph:form.cv00011,conjverb,conjugated verb: 1st singular present subjunctive middle
urn:cite:morph:form.cv00012,conjverb,conjugated verb: 1st singular present subjunctive passive
urn:cite:morph:form.cv00020,conjverb,conjugated verb: 1st singular present optative active
urn:cite:morph:form.cv00021,conjverb,conjugated verb: 1st singular present optative middle
urn:cite:morph:form.cv00022,conjverb,conjugated verb: 1st singular present optative passive
urn:cite:morph:form.cv00030,conjverb,conjugated verb: 1st singular present imperative active
urn:cite:morph:form.cv00031,conjverb,conjugated verb: 1st singular present imperative middle
urn:cite:morph:form.cv00032,conjverb,conjugated verb: 1st singular present imperative passive
urn:cite:morph:form.cv00100,conjverb,conjugated verb: 1st singular imperfect indicative active
urn:cite:morph:form.cv00101,conjverb,conjugated verb: 1st singular imperfect indicative middle
urn:cite:morph:form.cv00102,conjverb,conjugated verb: 1st singular imperfect indicative passive
urn:cite:morph:form.cv00110,conjverb,conjugated verb: 1st singular imperfect subjunctive active
urn:cite:morph:form.cv00111,conjverb,conjugated verb: 1st singular imperfect subjunctive middle
urn:cite:morph:form.cv00112,conjverb,conjugated verb: 1st singular imperfect subjunctive passive
urn:cite:morph:form.cv00120,conjverb,conjugated verb: 1st singular imperfect optative active
urn:cite:morph:form.cv00121,conjverb,conjugated verb: 1st singular imperfect optative middle
urn:cite:morph:form.cv00122,conjverb,conjugated verb: 1st singular imperfect optative passive
urn:cite:morph:form.cv00130,conjverb,conjugated verb: 1st singular imperfect imperative active
urn:cite:morph:form.cv00131,conjverb,conjugated verb: 1st singular imperfect imperative middle
urn:cite:morph:form.cv00132,conjverb,conjugated verb: 1st singular imperfect imperative passive
urn:cite:morph:form.cv00200,conjverb,conjugated verb: 1st singular future indicative active
urn:cite:morph:form.cv00201,conjverb,conjugated verb: 1st singular future indicative middle
urn:cite:morph:form.cv00202,conjverb,conjugated verb: 1st singular future indicative passive
urn:cite:morph:form.cv00210,conjverb,conjugated verb: 1st singular future subjunctive active
urn:cite:morph:form.cv00211,conjverb,conjugated verb: 1st singular future subjunctive middle
urn:cite:morph:form.cv00212,conjverb,conjugated verb: 1st singular future subjunctive passive
urn:cite:morph:form.cv00220,conjverb,conjugated verb: 1st singular future optative active
urn:cite:morph:form.cv00221,conjverb,conjugated verb: 1st singular future optative middle
urn:cite:morph:form.cv00222,conjverb,conjugated verb: 1st singular future optative passive
urn:cite:morph:form.cv00230,conjverb,conjugated verb: 1st singular future imperative active
urn:cite:morph:form.cv00231,conjverb,conjugated verb: 1st singular future imperative middle
