Urn,Gender,Case,Number
urn:cite:morph:form.no000,masculine,nominative,singular
urn:cite:morph:form.no001,masculine,nominative,dual
urn:cite:morph:form.no002,masculine,nominative,plural
urn:cite:morph:form.no010,masculine,genitive,singular
urn:cite:morph:form.no011,masculine,genitive,dual
urn:cite:morph:form.no012,masculine,genitive,plural
urn:cite:morph:form.no020,masculine,dative,singular
urn:cite:morph:form.no021,masculine,dative,dual
urn:cite:morph:form.no022,masculine,dative,plural
urn:cite:morph:form.no030,masculine,accusative,singular
urn:cite:morph:form.no031,masculine,accusative,dual
urn:cite:morph:form.no032,masculine,accusative,plural
urn:cite:morph:form.no040,masculine,vocative,singular
urn:cite:morph:form.no041,masculine,vocative,dual
urn:cite:morph:form.no042,masculine,vocative,plural
urn:cite:morph:form.no100,feminine,nominative,singular
urn:cite:morph:form.no101,feminine,nominative,dual
urn:cite:morph:form.no102,feminine,nominative,plural
urn:cite:morph:form.no110,feminine,genitive,singular
urn:cite:morph:form.no111,feminine,genitive,dual
urn:cite:morph:form.no112,feminine,genitive,plural
urn:cite:morph:form.no120,feminine,dative,singular
urn:cite:morph:form.no121,feminine,dative,dual
urn:cite:morph:form.no122,feminine,dative,plural
urn:cite:morph:form.no130,feminine,accusative,singular
urn:cite:morph:form.no131,feminine,accusative,dual
urn:cite:morph:form.no132,feminine,accusative,plural
urn:cite:morph:form.no140,feminine,vocative,singular
urn:cite:morph:form.no141,feminine,vocative,dual
urn:cite:morph:form.no142,feminine,vocative,plural
urn:cite:morph:form.no200,neuter,nominative,singular
urn:cite:morph:form.no201,neuter,nominative,dual
urn:cite:morph:form.no202,neuter,nominative,plural
urn:cite:morph:form.no210,neuter,genitive,singular
urn:cite:morph:form.no211,neuter,genitive,dual
urn:cite:morph:form.no212,neuter,genitive,plural
urn:cite:morph:form.no220,neuter,dative,singular
urn:cite:morph:form.no221,neuter,dative,dual
urn:cite:morph:form.no222,neuter,dative,plural
urn:cite:morph:form.no230,neuter,accusative,singular
urn:cite:morph:form.no231,neuter,accusative,dual
urn:cite:morph:form.no232,neuter,accusative,plural
urn:cite:morph:form.no240,neuter,vocative,singular
urn:cite:morph:form.no241,neuter,vocative,dual
urn:cite:morph:form.no242,neuter,vocative,plural
