Urn,Gender,Case,Number,Tense,Voice
urn:cite:morph:form.pc00000,masculine,nominative,singular,present,active
urn:cite:morph:form.pc00001,masculine,nominative,singular,present,middle
urn:cite:morph:form.pc00002,masculine,nominative,singular,present,passive
urn:cite:morph:form.pc00020,masculine,nominative,singular,future,active
urn:cite:morph:form.pc00021,masculine,nominative,singular,future,middle
urn:cite:morph:form.pc00022,masculine,nominative,singular,future,passive
urn:cite:morph:form.pc00030,masculine,nominative,singular,aorist,active
urn:cite:morph:form.pc00031,masculine,nominative,singular,aorist,middle
urn:cite:morph:form.pc00032,masculine,nominative,singular,aorist,passive
urn:cite:morph:form.pc00040,masculine,nominative,singular,perfect,active
urn:cite:morph:form.pc00041,masculine,nominative,singular,perfect,middle
urn:cite:morph:form.pc00042,masculine,nominative,singular,perfect,passive
urn:cite:morph:form.pc00100,masculine,nominative,dual,present,active
urn:cite:morph:form.pc00101,masculine,nominative,dual,present,middle
urn:cite:morph:form.pc00102,masculine,nominative,dual,present,passive
urn:cite:morph:form.pc00120,masculine,nominative,dual,future,active
urn:cite:morph:form.pc00121,masculine,nominative,dual,future,middle
urn:cite:morph:form.pc00122,masculine,nominative,dual,future,passive
urn:cite:morph:form.pc00130,masculine,nominative,dual,aorist,active
urn:cite:morph:form.pc00131,masculine,nominative,dual,aorist,middle
urn:cite:morph:form.pc00132,masculine,nominative,dual,aorist,passive
urn:cite:morph:form.pc00140,masculine,nominative,dual,perfect,active
urn:cite:morph:form.pc00141,masculine,nominative,dual,perfect,middle
urn:cite:morph:form.pc00142,masculine,nominative,dual,perfect,passive
urn:cite:morph:form.pc00200,masculine,nominative,plural,present,active
urn:cite:morph:form.pc00201,masculine,nominative,plural,present,middle
urn:cite:morph:form.pc00202,masculine,nominative,plural,present,passive
urn:cite:morph:form.pc00220,masculine,nominative,plural,future,active
urn:cite:morph:form.pc00221,masculine,nominative,plural,future,middle
urn:cite:morph:form.pc00222,masculine,nominative,plural,future,passive
urn:cite:morph:form.pc00230,masculine,nominative,plural,aorist,active
urn:cite:morph:form.pc00231,masculine,nominative,plural,aorist,middle
urn:cite:morph:form.pc00232,masculine,nominative,plural,aorist,passive
urn:cite:morph:form.pc00240,masculine,nominative,plural,perfect,active
urn:cite:morph:form.pc00241,masculine,nominative,plural,perfect,middle
urn:cite:morph:form.pc00242,masculine,nominative,plural,perfect,passive
urn:cite:morph:form.pc01000,masculine,genitive,singular,present,active
urn:cite:morph:form.pc01001,masculine,genitive,singular,present,middle
urn:cite:morph:form.pc01002,masculine,genitive,singular,present,passive
urn:cite:morph:form.pc01020,masculine,genitive,singular,future,active
urn:cite:morph:form.pc01021,masculine,genitive,singular,future,middle
urn:cite:morph:form.pc01022,masculine,genitive,singular,future,passive
urn:cite:morph:form.pc01030,masculine,genitive,singular,aorist,active
