Urn,Gender,Case,Number
urn:cite:morph:form.va000,masculine,nominative,singular
urn:cite:morph:form.va001,masculine,nominative,dual
urn:cite:morph:form.va002,masculine,nominative,plural
urn:cite:morph:form.va010,masculine,genitive,singular
urn:cite:morph:form.va011,masculine,genitive,dual
urn:cite:morph:form.va012,masculine,genitive,plural
urn:cite:morph:form.va020,masculine,dative,singular
urn:cite:morph:form.va021,masculine,dative,dual
urn:cite:morph:form.va022,masculine,dative,plural
urn:cite:morph:form.va030,masculine,accusative,singular
urn:cite:morph:form.va031,masculine,accusative,dual
urn:cite:morph:form.va032,masculine,accusative,plural
urn:cite:morph:form.va040,masculine,vocative,singular
urn:cite:morph:form.va041,masculine,vocative,dual
urn:cite:morph:form.va042,masculine,vocative,plural
urn:cite:morph:form.va100,feminine,nominative,singular
urn:cite:morph:form.va101,feminine,nominative,dual
urn:cite:morph:form.va102,feminine,nominative,plural
urn:cite:morph:form.va110,feminine,genitive,singular
urn:cite:morph:form.va111,feminine,genitive,dual
urn:cite:morph:form.va112,feminine,genitive,plural
urn:cite:morph:form.va120,feminine,dative,singular
urn:cite:morph:form.va121,feminine,dative,dual
urn:cite:morph:form.va122,feminine,dative,plural
urn:cite:morph:form.va130,feminine,accusative,singular
urn:cite:morph:form.va131,feminine,accusative,dual
urn:cite:morph:form.va132,feminine,accusative,plural
urn:cite:morph:form.va140,feminine,vocative,singular
urn:cite:morph:form.va141,feminine,vocative,dual
urn:cite:morph:form.va142,feminine,vocative,plural
urn:cite:morph:form.va200,neuter,nominative,singular
urn:cite:morph:form.va201,neuter,nominative,dual
urn:cite:morph:form.va202,neuter,nominative,plural
urn:cite:morph:form.va210,neuter,genitive,singular
urn:cite:morph:form.va211,neuter,genitive,dual
urn:cite:morph:form.va212,neuter,genitive,plural
urn:cite:morph:form.va220,neuter,dative,singular
urn:cite:morph:form.va221,neuter,dative,dual
urn:cite:morph:form.va222,neuter,dative,plural
urn:cite:morph:form.va230,neuter,accusative,singular
urn:cite:morph:form.va231,neuter,accusative,dual
urn:cite:morph:form.va232,neuter,accusative,plural
urn:cite:morph:form.va240,neuter,vocative,singular
urn:cite:morph:form.va241,neuter,vocative,dual
urn:cite:morph:form.va242,neuter,vocative,plural
