Urn,Person,Number,Tense,Mood,Voice
urn:cite:morph:form.cv00000,1st,singular,present,indicative,active
urn:cite:morph:form.cv00001,1st,singular,present,indicative,middle
urn:cite:morph:form.cv00002,1st,singular,present,indicative,passive
urn:cite:morph:form.cv00010,1st,singular,present,subjunctive,active
urn:cite:morph:form.cv00011,1st,singular,present,subjunctive,middle
urn:cite:morph:form.cv00012,1st,singular,present,subjunctive,passive
urn:cite:morph:form.cv00020,1st,singular,present,optative,active
urn:cite:morph:form.cv00021,1st,singular,present,optative,middle
urn:cite:morph:form.cv00022,1st,singular,present,optative,passive
urn:cite:morph:form.cv00100,1st,singular,imperfect,indicative,active
urn:cite:morph:form.cv00101,1st,singular,imperfect,indicative,middle
urn:cite:morph:form.cv00102,1st,singular,imperfect,indicative,passive
urn:cite:morph:form.cv00200,1st,singular,future,indicative,active
urn:cite:morph:form.cv00201,1st,singular,future,indicative,middle
urn:cite:morph:form.cv00202,1st,singular,future,indicative,passive
urn:cite:morph:form.cv00220,1st,singular,future,optative,active
urn:cite:morph:form.cv00221,1st,singular,future,optative,middle
urn:cite:morph:form.cv00222,1st,singular,future,optative,passive
urn:cite:morph:form.cv00300,1st,singular,aorist,indicative,active
urn:cite:morph:form.cv00301,1st,singular,aorist,indicative,middle
urn:cite:morph:form.cv00302,1st,singular,aorist,indicative,passive
urn:cite:morph:form.cv00310,1st,singular,aorist,subjunctive,active
urn:cite:morph:form.cv00311,1st,singular,aorist,subjunctive,middle
urn:cite:morph:form.cv00312,1st,singular,aorist,subjunctive,passive
urn:cite:morph:form.cv00320,1st,singular,aorist,optative,active
urn:cite:morph:form.cv00321,1st,singular,aorist,optative,middle
urn:cite:morph:form.cv00322,1st,singular,aorist,optative,passive
urn:cite:morph:form.cv00400,1st,singular,perfect,indicative,active
urn:cite:morph:form.cv00401,1st,singular,perfect,indicative,middle
urn:cite:morph:form.cv00402,1st,singular,perfect,indicative,passive
urn:cite:morph:form.cv00410,1st,singular,perfect,subjunctive,active
urn:cite:morph:form.cv00411,1st,singular,perfect,subjunctive,middle
urn:cite:morph:form.cv00412,1st,singular,perfect,subjunctive,passive
urn:cite:morph:form.cv00420,1st,singular,perfect,optative,active
urn:cite:morph:form.cv00421,1st,singular,perfect,optative,middle
urn:cite:morph:form.cv00422,1st,singular,perfect,optative,passive
urn:cite:morph:form.cv00500,1st,singular,pluperfect,indicative,active
urn:cite:morph:form.cv00501,1st,singular,pluperfect,indicative,middle
urn:cite:morph:form.cv00502,1st,singular,pluperfect,indicative,passive
urn:cite:morph:form.cv01000,1st,dual,present,indicative,active
urn:cite:morph:form.cv01001,1st,dual,present,indicative,middle
urn:cite:morph:form.cv01002,1st,dual,present,indicative,passive
urn:cite:morph:form.cv01010,1st,dual,present,subjunctive,active
urn:cite:morph:form.cv01011,1st,dual,present,subjunctive,middle
urn:cite:morph:form.cv01012,1st,dual,present,subjunctive,passive
urn:cite:morph:form.cv01020,1st,dual,present,optative,active
urn:cite:morph:form.cv01021,1st,dual,present,optative,middle
urn:cite:morph:form.cv01022,1st,dual,present,optative,passive
urn:cite:morph:form.cv01100,1st,dual,imperfect,indicative,active
urn:cite:morph:form.cv01101,1st,dual,imperfect,indicative,middle
