StemUrn,LexicalEntity,Stem,Gender,InflClass,Accent,Tags
morpheuspool.n78_0,lexent.n78,a)-belteri,fem,h_hs,stemultacc,
morpheuspool.n96_0,lexent.n96,a)-blabei,fem,a_hs,stempenacc,
morpheuspool.n96_0,lexent.n96,a)-blabi,fem,h_hs,stemultacc,
morpheuspool.n115_0,lexent.n115,a)-blh,fem,s_tos,stemultacc,
morpheuspool.n147_0,lexent.n147,a)-bouli,fem,h_hs,stemultacc,
morpheuspool.n150_0,lexent.n150,a)-bout,masc,hs_ou,stemultacc,
morpheuspool.n164_0,lexent.n164,a(bro-bat,masc,hs_ou,stemultacc,
morpheuspool.n173_0,lexent.n173,a(bro-kom,masc,hs_ou,stemultacc,
morpheuspool.n173_0,lexent.n173,a(bro-xait,masc,hs_ou,stemultacc,
morpheuspool.n190_0,lexent.n190,a(broth,null,s_tos,stempenacc,
morpheuspool.n190_0,lexent.n190,a(brota_,null,s_tos,stempenacc,
morpheuspool.n190_0,lexent.n190,a(brosun,fem,h_hs,stemultacc,
morpheuspool.n203_0,lexent.n203,a(bro-xitw,masc,n_nos,stempenacc,
morpheuspool.n251_0,lexent.n251,a)gaqoergi,fem,h_hs,stemultacc,
morpheuspool.n251_0,lexent.n251,a)gaqourgi,fem,h_hs,stemultacc,
morpheuspool.n258_0,lexent.n258,a)gaqopoii+,fem,h_hs,stemultacc,
morpheuspool.n273_0,lexent.n273,a)gaqwsun,fem,h_hs,stemultacc,
morpheuspool.n286_0,lexent.n286,a)gallia_s,fem,is_ews,stempenacc,
morpheuspool.n291_0,lexent.n291,a)gall,fem,is_idos,inflacc,
morpheuspool.n293_0,lexent.n293,a)gal,neut,ma_matos,stempenacc,
morpheuspool.n302_0,lexent.n302,a)galmato-poi,masc,os_ou,inflacc,
morpheuspool.n321_0,lexent.n321,a)-gami,fem,h_hs,stemultacc,
morpheuspool.n321_0,lexent.n321,a)-gami,null,null,stempenacc,
morpheuspool.n327_0,lexent.n327,a)gan-akths,fem,is_ews,stempenacc,
morpheuspool.n340_0,lexent.n340,a)gano-frosun,fem,h_hs,stemultacc,
morpheuspool.n347_0,lexent.n347,a)gap,fem,h_hs,stemultacc,
morpheuspool.n348_0,lexent.n348,a)gaph,neut,ma_matos,stempenacc,
morpheuspool.n349_0,lexent.n349,a)gap-hn,masc,wr_oros,stemultacc,
morpheuspool.n381_0,lexent.n381,a)ggarhi+,masc,os_ou,stempenacc,
morpheuspool.n381_0,lexent.n381,a)ggarhi+,neut,os_ou,stempenacc,
morpheuspool.n382_0,lexent.n382,a)ggar,masc,os_ou,stempenacc,
morpheuspool.n390_0,lexent.n390,a)ggeli,fem,h_hs,stemultacc,
morpheuspool.n392_0,lexent.n392,a)ggelia_-for,masc,os_ou,stemultacc,
morpheuspool.n392_0,lexent.n392,a)ggelih-for,masc,os_ou,stemultacc,
morpheuspool.n394_0,lexent.n394,a)ggeliwt,masc,hs_ou,stemultacc,
morpheuspool.n394_0,lexent.n394,a)ggeliwt,fem,is_idos,stemultacc,
morpheuspool.n396_0,lexent.n396,a)ggel,neut,ma_matos,stempenacc,
morpheuspool.n397_0,lexent.n397,a)ggel,fem,os_ou,stempenacc,
morpheuspool.n403_0,lexent.n403,a)gg,neut,hs_eos,stempenacc,
morpheuspool.n387_0,lexent.n387,a)ggei,neut,os_ou,stemultacc,
morpheuspool.n387_0,lexent.n387,a)gghi+,neut,os_ou,stempenacc,
morpheuspool.n427_0,lexent.n427,a)gel-arx,masc,hs_ou,stemultacc,
morpheuspool.n435_0,lexent.n435,a)gelei,fem,h_hs,stemultacc,
morpheuspool.n436_0,lexent.n436,a)gel,fem,h_hs,stemultacc,
morpheuspool.n471_0,lexent.n471,a)gers,fem,is_ews,stempenacc,
morpheuspool.n478_0,lexent.n478,a)ge-strat,fem,os_ou,stempenacc,
morpheuspool.n489_0,lexent.n489,a)g,fem,h_hs,inflacc,
morpheuspool.n494_0,lexent.n494,a)gh,neut,ma_matos,stempenacc,
morpheuspool.n497_0,lexent.n497,a)g-hnori,fem,h_hs,stemultacc,
morpheuspool.n497_0,lexent.n497,a)g-a_nori,fem,h_hs,stemultacc,
morpheuspool.n508_0,lexent.n508,a_)ghsi-la_,masc,os_ou,stempenacc,
morpheuspool.n508_0,lexent.n508,h(ghsi-la_,masc,os_ou,stempenacc,
morpheuspool.n508_0,lexent.n508,h(ghsi-le,masc,null,stempenacc,
morpheuspool.n508_0,lexent.n508,a_)ghsi-l,masc,hs_ou,stempenacc,
morpheuspool.n515_0,lexent.n515,a(giasm,masc,os_ou,inflacc,
morpheuspool.n527_0,lexent.n527,a(gistei,fem,h_hs,stemultacc,
morpheuspool.n534_0,lexent.n534,a(giwsun,fem,h_hs,stemultacc,
morpheuspool.n534_0,lexent.n534,a(gioth,fem,s_tos,stempenacc,
morpheuspool.n538_0,lexent.n538,a)gkal,fem,h_hs,stemultacc,
morpheuspool.n538_0,lexent.n538,a)gkal,null,null,stempenacc,
morpheuspool.n545_0,lexent.n545,a)gkalis,neut,ma_matos,stempenacc,
morpheuspool.n547_0,lexent.n547,a)gkal,masc,os_ou,stempenacc,
morpheuspool.n555_0,lexent.n555,a)gkistri,neut,os_ou,stempenacc,
morpheuspool.n558_0,lexent.n558,a)gkistr,neut,os_ou,stempenacc,
morpheuspool.n572_0,lexent.n572,a)gk,neut,hs_eos,stempenacc,
morpheuspool.n577_0,lexent.n577,a)gkul,fem,h_hs,stemultacc,
morpheuspool.n581_0,lexent.n581,a)gkuli,neut,os_ou,stempenacc,
morpheuspool.n588_0,lexent.n588,a)gkul-od,masc,null,stemultacc,
morpheuspool.n594_0,lexent.n594,a)gkulo-mht,fem,hs_ou,stemultacc,
morpheuspool.n599_0,lexent.n599,a)gkulo-xeil,masc,hs_ou,stemultacc,
morpheuspool.n600_0,lexent.n600,a)gkulo-xhl,masc,hs_ou,stemultacc,
morpheuspool.n605_0,lexent.n605,a)gkur,fem,a_hs,stempenacc,
morpheuspool.n608_0,lexent.n608,a)gkuri,neut,os_ou,stempenacc,
morpheuspool.n621_0,lexent.n621,a)gkw,masc,n_nos,stemultacc,
morpheuspool.n672_0,lexent.n672,a)gla-w,fem,null,stemultacc,
morpheuspool.n678_0,lexent.n678,a)gli_,fem,s_qos,stempenacc,
morpheuspool.n678_0,lexent.n678,a)gli_,fem,s_qos,stemultacc,
morpheuspool.n691_0,lexent.n691,a)gm,masc,os_ou,inflacc,
morpheuspool.n696_0,lexent.n696,a(gnei,fem,h_hs,stemultacc,
morpheuspool.n697_0,lexent.n697,a(gneu,neut,ma_matos,stempenacc,
morpheuspool.n707_0,lexent.n707,a(gnis,neut,ma_matos,stempenacc,
morpheuspool.n716_0,lexent.n716,a)gnoh,neut,ma_matos,stempenacc,
morpheuspool.n722_0,lexent.n722,a)-gnoi,fem,a_hs,stempenacc,
morpheuspool.n722_0,lexent.n722,a)-gnoi,fem,h_hs,stempenacc,
morpheuspool.n730_0,lexent.n730,a)gn,masc,os_ou,stempenacc,
morpheuspool.n730_0,lexent.n730,a)gn,fem,os_ou,stempenacc,
morpheuspool.n734_0,lexent.n734,a(gnoth,null,s_tos,stempenacc,
morpheuspool.n741_0,lexent.n741,a)gnwmosun,fem,h_hs,stemultacc,
morpheuspool.n744_0,lexent.n744,a)-gnw,fem,s_tos,stemultacc,
morpheuspool.n745_0,lexent.n745,a)-gnwsi,fem,h_hs,stemultacc,
morpheuspool.n758_0,lexent.n758,a)-goni,fem,h_hs,stemultacc,
morpheuspool.n761_0,lexent.n761,a)gor,fem,h_hs,inflacc,
morpheuspool.n761_0,lexent.n761,a)gor,masc,os_ou,stempenacc,
morpheuspool.n769_0,lexent.n769,a)gora-nom,masc,os_ou,stemultacc,
morpheuspool.n774_0,lexent.n774,a)goras,neut,ma_matos,stempenacc,
morpheuspool.n776_0,lexent.n776,a)gorast,masc,hs_ou,inflacc,
morpheuspool.n791_0,lexent.n791,a)gorht,masc,hs_ou,inflacc,
morpheuspool.n792_0,lexent.n792,a)gorht,fem,us_uos,inflacc,
morpheuspool.n800_0,lexent.n800,a)gost,masc,os_ou,inflacc,
morpheuspool.n802_0,lexent.n802,a)gr,fem,h_hs,stempenacc,
morpheuspool.n802_0,lexent.n802,a)gresi,fem,h_hs,stemultacc,
morpheuspool.n819_0,lexent.n819,a)greiosun,fem,h_hs,stemultacc,
morpheuspool.n820_0,lexent.n820,a)grei_fn,fem,a_hs,stemultacc,
morpheuspool.n821_0,lexent.n821,a)gremi,neut,os_ou,stempenacc,
morpheuspool.n828_0,lexent.n828,a)greu,neut,ma_matos,stempenacc,
morpheuspool.n829_0,lexent.n829,a)gr,masc,eus_ews,inflacc,
