RuleUrn,InflectionClasses,Ending,Gender,Case,Number
nouninfl.wn_ontos1m,wn_ontos,wn,masc,nom,sg
nouninfl.wn_ontos2m,wn_ontos,ontos,masc,gen,sg
nouninfl.wn_ontos3m,wn_ontos,onti,masc,dat,sg
nouninfl.wn_ontos4m,wn_ontos,onta,masc,acc,sg
nouninfl.wn_ontos5m,wn_ontos,on,masc,voc,sg

nouninfl.wn_ontos6m,wn_ontos,ontes,masc,nom,pl
nouninfl.wn_ontos7m,wn_ontos,ontwn,masc,gen,pl
nouninfl.wn_ontos8m,wn_ontos,ousi,masc,dat,pl
nouninfl.wn_ontos8mn,wn_ontos,ousin,masc,dat,pl
nouninfl.wn_ontos9m,wn_ontos,ontas,masc,acc,pl
nouninfl.wn_ontos10m,wn_ontos,ontes,masc,voc,pl

nouninfl.wn_ontos11m,wn_ontos,onte,masc,nom,dual
nouninfl.wn_ontos12m,wn_ontos,ontoin,masc,gen,dual
nouninfl.wn_ontos13m,wn_ontos,ontoin,masc,dat,dual
nouninfl.wn_ontos14m,wn_ontos,onte,masc,acc,dual
nouninfl.wn_ontos15m,wn_ontos,onte,masc,voc,dual


nouninfl.is_ios1m,is_ios,is,fem,nom,sg
nouninfl.is_ios2m,is_ios,ios,fem,gen,sg
nouninfl.is_ios3m,is_ios,i,fem,dat,sg
nouninfl.is_ios4m,is_ios,in,fem,acc,sg
nouninfl.is_ios5m,is_ios,i,fem,voc,sg

nouninfl.is_ios6m,is_ios,ies,fem,nom,pl
nouninfl.is_ios7m,is_ios,iwn,fem,gen,pl
nouninfl.is_ios8m,is_ios,isi,fem,dat,pl
nouninfl.is_ios8mn,is_ios,isin,fem,dat,pl
nouninfl.is_ios9m,is_ios,ies,fem,acc,pl
nouninfl.is_ios10m,is_ios,ies,fem,voc,pl

nouninfl.is_ios11m,is_ios,e,fem,nom,dual
nouninfl.is_ios12m,is_ios,oin,fem,gen,dual
nouninfl.is_ios13m,is_ios,oin,fem,dat,dual
nouninfl.is_ios14m,is_ios,e,fem,acc,dual
nouninfl.is_ios15m,is_ios,e,fem,voc,dual
