RuleUrn,InflectionClasses,Ending,Gender,Case,Number
nouninfl.c_ktos1f,c_ktos,c,fem,nom,sg
nouninfl.c_ktos2f,c_ktos,ktos,fem,gen,sg
nouninfl.c_ktos3f,c_ktos,kti,fem,dat,sg
nouninfl.c_ktos4f,c_ktos,kta,fem,acc,sg
nouninfl.c_ktos5f,c_ktos,c,fem,voc,sg

nouninfl.c_ktos6f,c_ktos,ktes,fem,nom,pl
nouninfl.c_ktos7f,c_ktos,ktwn,fem,gen,pl
nouninfl.c_ktos8f,c_ktos,aci,fem,dat,pl
nouninfl.c_ktos8mn,c_ktos,acin,fem,dat,pl
nouninfl.c_ktos9f,c_ktos,ktas,fem,acc,pl
nouninfl.c_ktos10f,c_ktos,ktes,fem,voc,pl

nouninfl.c_ktos11f,c_ktos,kte,fem,nom,dual
nouninfl.c_ktos12f,c_ktos,ktoin,fem,gen,dual
nouninfl.c_ktos13f,c_ktos,ktoin,fem,dat,dual
nouninfl.c_ktos14f,c_ktos,kte,fem,acc,dual
nouninfl.c_ktos15f,c_ktos,kte,fem,voc,dual



nouninfl.is_ios1f,is_ios,is,fem,nom,sg
nouninfl.is_ios2f,is_ios,ios,fem,gen,sg
nouninfl.is_ios3f,is_ios,i,fem,dat,sg
nouninfl.is_ios4f,is_ios,in,fem,acc,sg
nouninfl.is_ios5f,is_ios,i,fem,voc,sg

nouninfl.is_ios6f,is_ios,ies,fem,nom,pl
nouninfl.is_ios7f,is_ios,iwn,fem,gen,pl
nouninfl.is_ios8f,is_ios,isi,fem,dat,pl
nouninfl.is_ios8fn,is_ios,isin,fem,dat,pl
nouninfl.is_ios9f,is_ios,ies,fem,acc,pl
nouninfl.is_ios10f,is_ios,ies,fem,voc,pl

nouninfl.is_ios11f,is_ios,e,fem,nom,dual
nouninfl.is_ios12f,is_ios,oin,fem,gen,dual
nouninfl.is_ios13f,is_ios,oin,fem,dat,dual
nouninfl.is_ios14f,is_ios,e,fem,acc,dual
nouninfl.is_ios15f,is_ios,e,fem,voc,dual





nouninfl.wn_onos1f,wn_onos,wn,fem,nom,sg
nouninfl.wn_onos2f,wn_onos,onos,fem,gen,sg
nouninfl.wn_onos3f,wn_onos,oni,fem,dat,sg
nouninfl.wn_onos4f,wn_onos,ona,fem,acc,sg
nouninfl.wn_onos5f,wn_onos,wn,fem,voc,sg

nouninfl.wn_onos6f,wn_onos,ones,fem,nom,pl
nouninfl.wn_onos7f,wn_onos,onwn,fem,gen,pl
nouninfl.wn_onos8f,wn_onos,osi,fem,dat,pl
nouninfl.wn_onos8mn,wn_onos,ocin,fem,dat,pl
nouninfl.wn_onos9f,wn_onos,onas,fem,acc,pl
nouninfl.wn_onos10f,wn_onos,ones,fem,voc,pl

nouninfl.wn_onos11f,wn_onos,one,fem,nom,dual
nouninfl.wn_onos12f,wn_onos,onoin,fem,gen,dual
nouninfl.wn_onos13f,wn_onos,onoin,fem,dat,dual
nouninfl.wn_onos14f,wn_onos,one,fem,acc,dual
nouninfl.wn_onos15f,wn_onos,one,fem,voc,dual
