RuleUrn,InflectionClasses,Ending,Gender,Case,Number
nouninfl.c_ktos1m,c_ktos,c,masc,nom,sg
nouninfl.c_ktos2m,c_ktos,ktos,masc,gen,sg
nouninfl.c_ktos3m,c_ktos,kti,masc,dat,sg
nouninfl.c_ktos4m,c_ktos,kta,masc,acc,sg
nouninfl.c_ktos5m,c_ktos,c,masc,voc,sg

nouninfl.c_ktos6m,c_ktos,ktes,masc,nom,pl
nouninfl.c_ktos7m,c_ktos,ktwn,masc,gen,pl
nouninfl.c_ktos8m,c_ktos,aci,masc,dat,pl
nouninfl.c_ktos8mn,c_ktos,acin,masc,dat,pl
nouninfl.c_ktos9m,c_ktos,ktas,masc,acc,pl
nouninfl.c_ktos10m,c_ktos,ktes,masc,voc,pl

nouninfl.c_ktos11m,c_ktos,kte,masc,nom,dual
nouninfl.c_ktos12m,c_ktos,ktoin,masc,gen,dual
nouninfl.c_ktos13m,c_ktos,ktoin,masc,dat,dual
nouninfl.c_ktos14m,c_ktos,kte,masc,acc,dual
nouninfl.c_ktos15m,c_ktos,kte,masc,voc,dual




nouninfl.wn_onos1m,wn_onos,wn,masc,nom,sg
nouninfl.wn_onos2m,wn_onos,onos,masc,gen,sg
nouninfl.wn_onos3m,wn_onos,oni,masc,dat,sg
nouninfl.wn_onos4m,wn_onos,ona,masc,acc,sg
nouninfl.wn_onos5m,wn_onos,wn,masc,voc,sg

nouninfl.wn_onos6m,wn_onos,ones,masc,nom,pl
nouninfl.wn_onos7m,wn_onos,onwn,masc,gen,pl
nouninfl.wn_onos8m,wn_onos,osi,masc,dat,pl
nouninfl.wn_onos8mn,wn_onos,ocin,masc,dat,pl
nouninfl.wn_onos9m,wn_onos,onas,masc,acc,pl
nouninfl.wn_onos10m,wn_onos,ones,masc,voc,pl

nouninfl.wn_onos11m,wn_onos,one,masc,nom,dual
nouninfl.wn_onos12m,wn_onos,onoin,masc,gen,dual
nouninfl.wn_onos13m,wn_onos,onoin,masc,dat,dual
nouninfl.wn_onos14m,wn_onos,one,masc,acc,dual
nouninfl.wn_onos15m,wn_onos,one,masc,voc,dual





nouninfl.eus_ews1m,eus_ews,eus,masc,nom,sg
nouninfl.eus_ews2m,eus_ews,ews,masc,gen,sg
nouninfl.eus_ews3m,eus_ews,ei,masc,dat,sg
nouninfl.eus_ews4m,eus_ews,ea,masc,acc,sg
nouninfl.eus_ews5m,eus_ews,eu,masc,voc,sg

nouninfl.eus_ews6m,eus_ews,hs,masc,nom,pl
nouninfl.eus_ews6mb,eus_ews,eis,masc,nom,pl
nouninfl.eus_ews7m,eus_ews,ewn,masc,gen,pl
nouninfl.eus_ews8m,eus_ews,eusi,masc,dat,pl
nouninfl.eus_ews8fn,eus_ews,eusin,masc,dat,pl
nouninfl.eus_ews9m,eus_ews,eas,masc,acc,pl
nouninfl.eus_ews10m,eus_ews,eis,masc,voc,pl
nouninfl.eus_ews10mb,eus_ews,hs,masc,voc,pl

nouninfl.eus_ews11m,eus_ews,h,masc,nom,dual
nouninfl.eus_ews12m,eus_ews,oin,masc,gen,dual
nouninfl.eus_ews13m,eus_ews,oin,masc,dat,dual
nouninfl.eus_ews14m,eus_ews,h,masc,acc,dual
nouninfl.eus_ews15m,eus_ews,h,masc,voc,dual




nouninfl.wn_ontos1m,wn_ontos,wn,masc,nom,sg
nouninfl.wn_ontos2m,wn_ontos,ontos,masc,gen,sg
nouninfl.wn_ontos3m,wn_ontos,onti,masc,dat,sg
nouninfl.wn_ontos4m,wn_ontos,onta,masc,acc,sg
nouninfl.wn_ontos5m,wn_ontos,on,masc,voc,sg

nouninfl.wn_ontos6m,wn_ontos,ontes,masc,nom,pl
nouninfl.wn_ontos7m,wn_ontos,ontwn,masc,gen,pl
nouninfl.wn_ontos8m,wn_ontos,ousi,masc,dat,pl
nouninfl.wn_ontos8mn,wn_ontos,ousin,masc,dat,pl
nouninfl.wn_ontos9m,wn_ontos,ontas,masc,acc,pl
nouninfl.wn_ontos10m,wn_ontos,ontes,masc,voc,pl

nouninfl.wn_ontos11m,wn_ontos,onte,masc,nom,dual
nouninfl.wn_ontos12m,wn_ontos,ontoin,masc,gen,dual
nouninfl.wn_ontos13m,wn_ontos,ontoin,masc,dat,dual
nouninfl.wn_ontos14m,wn_ontos,onte,masc,acc,dual
nouninfl.wn_ontos15m,wn_ontos,onte,masc,voc,dual
