RuleUrn,InflectionClasses,Ending,Gender,Case,Number
nouninfl.ma_matos1m,ma_matos,ma,neut,nom,sg
nouninfl.ma_matos2m,ma_matos,matos,neut,gen,sg
nouninfl.ma_matos3m,ma_matos,mati,neut,dat,sg
nouninfl.ma_matos4m,ma_matos,ma,neut,acc,sg
nouninfl.ma_matos5m,ma_matos,ma,neut,voc,sg

nouninfl.ma_matos6m,ma_matos,mata,neut,nom,pl
nouninfl.ma_matos7m,ma_matos,matwn,neut,gen,pl
nouninfl.ma_matos8m,ma_matos,masi,neut,dat,pl
nouninfl.ma_matos8mn,ma_matos,masin,neut,dat,pl
nouninfl.ma_matos9m,ma_matos,mata,neut,acc,pl
nouninfl.ma_matos10m,ma_matos,mata,neut,voc,pl

nouninfl.ma_matos11m,ma_matos,mate,neut,nom,dual
nouninfl.ma_matos12m,ma_matos,matoin,neut,gen,dual
nouninfl.ma_matos13m,ma_matos,matoin,neut,dat,dual
nouninfl.ma_matos14m,ma_matos,mate,neut,acc,dual
nouninfl.ma_matos15m,ma_matos,mate,neut,voc,dual
