StemUrn,LexicalEntity,Stem,Gender,InflClass,Accent,Tags
lsjpool.n100047_0,lexent.n100047,sunembol,fem,h_hs,inflacc,
lsjpool.n100055_0,lexent.n100055,sunempor,fem,os_ou,stempenacc,
lsjpool.n10014_0,lexent.n10014,a)ntika^t,masc,wn_onos,stempenacc,
lsjpool.n100173_0,lexent.n100173,suneoxm,masc,os_ou,inflacc,
lsjpool.n10018_0,lexent.n10018,a)ntikentr,neut,os_ou,stempenacc,
lsjpool.n100232_0,lexent.n100232,sunepigra^f,masc,eus_ews,inflacc,
lsjpool.n100286_0,lexent.n100286,sunepimelht,masc,hs_ou,inflacc,
lsjpool.n100337_0,lexent.n100337,sunepitrop,masc,os_ou,stempenacc,
lsjpool.n100369_0,lexent.n100369,sunerast,masc,hs_ou,inflacc,
lsjpool.n10036_0,lexent.n10036,a)ntiknhmi,neut,os_ou,stempenacc,
lsjpool.n100374_0,lexent.n100374,sunerga^t,masc,hs_ou,stemultacc,
lsjpool.n100375_0,lexent.n100375,sunerga^ti^n,masc,hs_ou,stemultacc,
lsjpool.n100380_0,lexent.n100380,sunergh,neut,ma_matos,stempenacc,
lsjpool.n100383_0,lexent.n100383,sunerght,masc,hs_ou,stemultacc,
lsjpool.n100385_0,lexent.n100385,sunergi,fem,h_hs,stemultacc,
lsjpool.n100400_0,lexent.n100400,suneri_q,fem,os_ou,stempenacc,
lsjpool.n100403_0,lexent.n100403,sunerc,fem,is_ews,stempenacc,
lsjpool.n100416_0,lexent.n100416,cunes,fem,is_ews,stempenacc,
lsjpool.n100416_0,lexent.n100416,sunes,fem,is_ews,stempenacc,
lsjpool.n100430_0,lexent.n100430,sunest,fem,w_oos,inflacc,
lsjpool.n100433_0,lexent.n100433,sunetair,masc,os_ou,stempenacc,
lsjpool.n100454_0,lexent.n100454,suneunet,masc,hs_ou,stemultacc,
lsjpool.n100459_0,lexent.n100459,suneun,fem,os_ou,stempenacc,
lsjpool.n100485_0,lexent.n100485,sunefhb,masc,os_ou,stempenacc,
lsjpool.n100494_0,lexent.n100494,sunexei,fem,a_hs,stempenacc,
lsjpool.n100510_0,lexent.n100510,sunhb,fem,os_ou,stempenacc,
lsjpool.n100516_0,lexent.n100516,sunhgori,fem,h_hs,stemultacc,
lsjpool.n100522_0,lexent.n100522,sunhqei,fem,a_hs,stempenacc,
lsjpool.n100531_0,lexent.n100531,sunh_li^,fem,c_kos,stempenacc,
lsjpool.n100534_0,lexent.n100534,sunhlu^s,fem,is_ews,stempenacc,
lsjpool.n100534_0,lexent.n100534,sunhlu^si,fem,h_hs,stempenacc,
lsjpool.n100537_0,lexent.n100537,sunhmereut,masc,hs_ou,inflacc,
lsjpool.n100541_0,lexent.n100541,sunhmosun,fem,h_hs,stemultacc,
lsjpool.n10056_0,lexent.n10056,a)ntikrous,fem,is_ews,stempenacc,
lsjpool.n100575_0,lexent.n100575,sunqea_t,masc,hs_ou,inflacc,
lsjpool.n100581_0,lexent.n100581,sunqesi,fem,h_hs,stemultacc,
lsjpool.n100583_0,lexent.n100583,sunqes,fem,is_ews,stempenacc,
lsjpool.n100597_0,lexent.n100597,sunqhk,fem,h_hs,stemultacc,
lsjpool.n100601_0,lexent.n100601,sunqh,neut,ma_matos,stempenacc,
lsjpool.n100606_0,lexent.n100606,sunqhra_t,masc,hs_ou,inflacc,
lsjpool.n100608_0,lexent.n100608,sunqhreut,masc,hs_ou,inflacc,
lsjpool.n100615_0,lexent.n100615,sunqia^swt,masc,hs_ou,stemultacc,
lsjpool.n100624_0,lexent.n100624,sunqoina_t,masc,wr_oros,stemultacc,
lsjpool.n100624_0,lexent.n100624,sunqoinat,masc,wr_oros,stemultacc,
