StemUrn,LexicalEntity,StemString,InflClass,Tags
lsjpool.n31_0,lexent.n31,:de:a),a_stem,
lsjpool.n37_0,lexent.n37,:de:a)bak,ew_denom,
lsjpool.n145_0,lexent.n145,:de:a)boul,ew_denom,
lsjpool.n189_0,lexent.n189,:de:a)brot,azw,
lsjpool.n206_0,lexent.n206,:de:a(br,unw,
lsjpool.n250_0,lexent.n250,:de:a)gaqoerg,ew_denom,
lsjpool.n250_0,lexent.n250,:de:a)gaqourg,ew_denom,
lsjpool.n256_0,lexent.n256,:de:a)gaqopoi,ew_denom,
lsjpool.n274_0,lexent.n274,:de:a)g,a_stem,
lsjpool.n287_0,lexent.n287,:de:a)gall,iaw_denom,
lsjpool.n287_0,lexent.n287,:de:a)galli,azw,
lsjpool.n292_0,lexent.n292,:de:a)g,allw,
lsjpool.n316_0,lexent.n316,:de:a)g,a_stem,
lsjpool.n326_0,lexent.n326,:de:a)ganakt,ew_denom,
lsjpool.n344_0,lexent.n344,:de:a)g,a_stem,
lsjpool.n345_0,lexent.n345,:de:a)^ga^p,azw,
lsjpool.n346_0,lexent.n346,:de:a)gap,aw_denom,
lsjpool.n380_0,lexent.n380,:de:a)ggar,euw,
lsjpool.n395_0,lexent.n395,:de:a)gg,ellw,
lsjpool.n414_0,lexent.n414,:de:a)g,eirw,
lsjpool.n426_0,lexent.n426,:de:a)gel-arx,ew_denom,
lsjpool.n520_0,lexent.n520,:de:a(g,izw,
lsjpool.n521_0,lexent.n521,:de:a)gi_n,e_stem,
lsjpool.n529_0,lexent.n529,:de:a(gist,euw,
lsjpool.n536_0,lexent.n536,:de:a)gk,azw,
lsjpool.n542_0,lexent.n542,:de:a)gkal,izw,
lsjpool.n559_0,lexent.n559,:de:a)gkistr,ow_denom,
lsjpool.n580_0,lexent.n580,:de:a)gkul,izw,
lsjpool.n601_0,lexent.n601,:de:a)gkul,ow_denom,
lsjpool.n607_0,lexent.n607,:de:a)gkur,izw,
lsjpool.n623_0,lexent.n623,:de:a)gkwn,izw,
lsjpool.n701_0,lexent.n701,:de:a(gn,euw,
lsjpool.n705_0,lexent.n705,:de:a(gn,izw,
lsjpool.n715_0,lexent.n715,:de:a)gno,ew_denom,
lsjpool.n715_0,lexent.n715,:de:a)gnoi,ew_denom,
lsjpool.n735_0,lexent.n735,:de:a)_g,numi,
lsjpool.n740_0,lexent.n740,:de:a)gnwmon,ew_denom,
lsjpool.n762_0,lexent.n762,:de:a)gor,azw,
lsjpool.n770_0,lexent.n770,:de:a)gor,aw_denom,
lsjpool.n786_0,lexent.n786,:de:a)gor,euw,
lsjpool.n810_0,lexent.n810,:de:a)graul,ew_denom,
lsjpool.n838_0,lexent.n838,:de:a)gr,euw,
lsjpool.n839_0,lexent.n839,:de:a)gr,ew_denom,
lsjpool.n844_0,lexent.n844,:de:a)gri,ainw,
lsjpool.n905_0,lexent.n905,:de:a)gri,ow_denom,
lsjpool.n924_0,lexent.n924,:de:a)groik,izw,
lsjpool.n950_0,lexent.n950,:de:a)grupn,ew_denom,
lsjpool.n960_0,lexent.n960,:de:a)grwss,reg_conj,
lsjpool.n985_0,lexent.n985,:de:a)gurt,azw,
lsjpool.n1046_0,lexent.n1046,:de:a)gxist,euw,
lsjpool.n1081_0,lexent.n1081,:de:a)gx,reg_conj,
lsjpool.n1083_0,lexent.n1083,:de:a)g,reg_conj,
lsjpool.n1097_0,lexent.n1097,:de:a)gwn,iaw_denom,
lsjpool.n1098_0,lexent.n1098,:de:a)gwn,izw,
lsjpool.n1111_0,lexent.n1111,:de:a)gwnoqet,ew_denom,
lsjpool.n1229_0,lexent.n1229,:de:a)_d,e_stem,
lsjpool.n1229_0,lexent.n1229,:de:a(_d,e_stem,
lsjpool.n1234_0,lexent.n1234,:de:a)dhl,ew_denom,
lsjpool.n1246_0,lexent.n1246,:de:a)^dhmon,ew_denom,
lsjpool.n1377_0,lexent.n1377,:de:a)di^k,ew_denom,
lsjpool.n1440_0,lexent.n1440,:de:a)_dolesx,ew_denom,
lsjpool.n1452_0,lexent.n1452,:de:a)doc,ew_denom,
lsjpool.n1497_0,lexent.n1497,:de:a(dr,ow_denom,
lsjpool.n1511_0,lexent.n1511,:de:a(dr,unw,
lsjpool.n1521_0,lexent.n1521,:de:a)du^na^t,ew_denom,
lsjpool.n1587_0,lexent.n1587,:de:a)eid,reg_conj,
lsjpool.n1587_0,lexent.n1587,:de:a)|d,reg_conj,
lsjpool.n1605_0,lexent.n1605,:de:a)eik,izw,
lsjpool.n1640_0,lexent.n1640,:de:a),eirw,
lsjpool.n1640_0,lexent.n1640,:de:a),eirw,
lsjpool.n1686_0,lexent.n1686,:de:a)elpt,ew_denom,
lsjpool.n1703_0,lexent.n1703,:de:a)ec,reg_conj,
lsjpool.n1703_0,lexent.n1703,:de:a)ec,e_suppl,
lsjpool.n1728_0,lexent.n1728,:de:a)erodrom,ew_denom,
