StemUrn,LexicalEntity,String,Gender,Case,Number,Notes
lysias1.n23069_0,lexent.n23069,gunh/,fem,nom,sg,Smyth 285 no. 6
lysias1.n23069_0,lexent.n23069,gunaiko/s,fem,gen,sg,Smyth 285 no. 6
lysias1.n23069_0,lexent.n23069,gunaiki/,fem,dat,sg,Smyth 285 no. 6
lysias1.n23069_0,lexent.n23069,gunai=ka,fem,acc,sg,Smyth 285 no. 6
lysias1.n23069_0,lexent.n23069,gunai=kes,fem,nom,pl,Smyth 285 no. 6
lysias1.n23069_0,lexent.n23069,gunai=kes,fem,voc,pl,Smyth 285 no. 6
lysias1.n23069_0,lexent.n23069,gunaici/,fem,dat,pl,Smyth 285 no. 6
lysias1.n23069_0,lexent.n23069,gunai=kas,fem,acc,pl,Smyth 285 no. 6

l
