RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_pr_indic1,<w_regular><w_pp1>,w,1st,sg,pres,indic,act
verbinfl.w_pr_indic2,<w_regular><w_pp1>,eis,2nd,sg,pres,indic,act
verbinfl.w_pr_indic3,<w_regular><w_pp1>,ei,3rd,sg,pres,indic,act

verbinfl.w_pr_indic4,<w_regular><w_pp1>,eton,2nd,dual,pres,indic,act
verbinfl.w_pr_indic5,<w_regular><w_pp1>,eton,3rd,dual,pres,indic,act

verbinfl.w_pr_indic6,<w_regular><w_pp1>,omen,1st,pl,pres,indic,act
verbinfl.w_pr_indic7,<w_regular><w_pp1>,ete,2nd,pl,pres,indic,act
verbinfl.w_pr_indic8,<w_regular><w_pp1>,ousi,3rd,pl,pres,indic,act
verbinfl.w_pr_indic8nu,<w_regular><w_pp1>,ousin,3rd,pl,pres,indic,act


verbinfl.w_pr_indic9,<w_regular><w_pp1>,omai,1st,sg,pres,indic,mid
verbinfl.w_pr_indic11,<w_regular><w_pp1>,ei,2nd,sg,pres,indic,mid
verbinfl.w_pr_indic11b,<w_regular><w_pp1>,h|,2nd,sg,pres,indic,mid
verbinfl.w_pr_indic12,<w_regular><w_pp1>,etai,3rd,sg,pres,indic,mid

verbinfl.w_pr_indic13,<w_regular><w_pp1>,esqon,2nd,dual,pres,indic,mid
verbinfl.w_pr_indic14,<w_regular><w_pp1>,esqon,3rd,dual,pres,indic,mid

verbinfl.w_pr_indic15,<w_regular><w_pp1>,omeqa,1st,pl,pres,indic,mid
verbinfl.w_pr_indic16,<w_regular><w_pp1>,esqe,2nd,pl,pres,indic,mid
verbinfl.w_pr_indic17,<w_regular><w_pp1>,ontai,3rd,pl,pres,indic,mid


verbinfl.w_pr_indic18,<w_regular><w_pp1>,omai,1st,sg,pres,indic,pass
verbinfl.w_pr_indic19,<w_regular><w_pp1>,ei,2nd,sg,pres,indic,pass
verbinfl.w_pr_indic19b,<w_regular><w_pp1>,h|,2nd,sg,pres,indic,pass
verbinfl.w_pr_indic20,<w_regular><w_pp1>,etai,3rd,sg,pres,indic,pass

verbinfl.w_pr_indic21,<w_regular><w_pp1>,esqon,2nd,dual,pres,indic,pass
verbinfl.w_pr_indic22,<w_regular><w_pp1>,esqon,3rd,dual,pres,indic,pass

verbinfl.w_pr_indic23,<w_regular><w_pp1>,omeqa,1st,pl,pres,indic,pass
verbinfl.w_pr_indic24,<w_regular><w_pp1>,esqe,2nd,pl,pres,indic,pass
verbinfl.w_pr_indic25,<w_regular><w_pp1>,ontai,3rd,pl,pres,indic,pass



verbinfl.w_fut_indic1,<w_regular><w_pp1>,w,1st,sg,fut,indic,act
verbinfl.w_fut_indic2,<w_regular><w_pp1>,eis,2nd,sg,fut,indic,act
verbinfl.w_fut_indic3,<w_regular><w_pp1>,ei,3rd,sg,fut,indic,act

verbinfl.w_fut_indic4,<w_regular><w_pp1>,eton,2nd,dual,fut,indic,act
verbinfl.w_fut_indic5,<w_regular><w_pp1>,eton,3rd,dual,fut,indic,act

verbinfl.w_fut_indic6,<w_regular><w_pp1>,omen,1st,pl,fut,indic,act
verbinfl.w_fut_indic7,<w_regular><w_pp1>,ete,2nd,pl,fut,indic,act
verbinfl.w_fut_indic8,<w_regular><w_pp1>,ousi,3rd,pl,fut,indic,act
verbinfl.w_fut_indic8nu,<w_regular><w_pp1>,ousin,3rd,pl,fut,indic,act

verbinfl.w_fut_indic9,<w_regular><w_pp1>,omai,1st,sg,fut,indic,mid
verbinfl.w_fut_indic11,<w_regular><w_pp1>,ei,2nd,sg,fut,indic,mid
verbinfl.w_fut_indic11b,<w_regular><w_pp1>,h|,2nd,sg,fut,indic,mid
verbinfl.w_fut_indic12,<w_regular><w_pp1>,etai,3rd,sg,fut,indic,mid


verbinfl.w_fut_indic13,<w_regular><w_pp1>,esqon,2nd,dual,fut,indic,mid
verbinfl.w_fut_indic14,<w_regular><w_pp1>,esqon,3rd,dual,fut,indic,mid




verbinfl.w_fut_indic15,<w_regular><w_pp1>,omeqa,1st,pl,fut,indic,mid
verbinfl.w_fut_indic16,<w_regular><w_pp1>,esqe,2nd,pl,fut,indic,mid
verbinfl.w_fut_indic17,<w_regular><w_pp1>,ontai,3rd,pl,fut,indic,mid



verbinfl.w_fut_indic18,<w_regular><w_pp1>,omai,1st,sg,fut,indic,pass
verbinfl.w_fut_indic19,<w_regular><w_pp1>,ei,2nd,sg,fut,indic,pass
verbinfl.w_fut_indic19b,<w_regular><w_pp1>,h|,2nd,sg,fut,indic,pass
verbinfl.w_fut_indic20,<w_regular><w_pp1>,etai,3rd,sg,fut,indic,pass


verbinfl.w_fut_indic21,<w_regular><w_pp1>,esqon,2nd,dual,fut,indic,pass
verbinfl.w_fut_indic22,<w_regular><w_pp1>,esqon,3rd,dual,fut,indic,pass

verbinfl.w_fut_indic23,<w_regular><w_pp1>,omeqa,1st,pl,fut,indic,pass
verbinfl.w_fut_indic24,<w_regular><w_pp1>,esqe,2nd,pl,fut,indic,pass
verbinfl.w_fut_indic25,<w_regular><w_pp1>,ontai,3rd,pl,fut,indic,pass
