RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_aor_indic1,<w_regular><w_pp1>,a,1st,sg,aor,indic,act
verbinfl.w_aor_indic2,<w_regular><w_pp1>,as,2nd,sg,aor,indic,act
verbinfl.w_aor_indic3,<w_regular><w_pp1>,e,3rd,sg,aor,indic,act

verbinfl.w_aor_indic4,<w_regular><w_pp1>,aton,2nd,dual,aor,indic,act
verbinfl.w_aor_indic5,<w_regular><w_pp1>,athn,3rd,dual,aor,indic,act

verbinfl.w_aor_indic6,<w_regular><w_pp1>,amen,1st,pl,aor,indic,act
verbinfl.w_aor_indic7,<w_regular><w_pp1>,ate,2nd,pl,aor,indic,act
verbinfl.w_aor_indic8,<w_regular><w_pp1>,an,3rd,plf,aor,indic,act


verbinfl.w_pr_indic9,<w_regular><w_pp1>,amhn,1st,sg,aor,indic,mid
verbinfl.w_pr_indic11,<w_regular><w_pp1>,w,2nd,sg,aor,indic,mid
verbinfl.w_pr_indic12,<w_regular><w_pp1>,ato,3rd,sg,aor,indic,mid

verbinfl.w_pr_indic13,<w_regular><w_pp1>,asqon,2nd,dual,aor,indic,mid
verbinfl.w_pr_indic14,<w_regular><w_pp1>,asqhn,3rd,dual,aor,indic,mid

verbinfl.w_pr_indic15,<w_regular><w_pp1>,ameqa,1st,pl,aor,indic,mid
verbinfl.w_pr_indic16,<w_regular><w_pp1>,asqe,2nd,pl,aor,indic,mid
verbinfl.w_pr_indic17,<w_regular><w_pp1>,anto,3rd,pl,aor,indic,mid
