StemUrn,LexicalEntity,String,Tense,Voice,Gender,Case,Number,Notes
smyth.n31130_m0s,lexent.n31130,w)/n,pres,act,masc,nom,sg,Smyth 305
smyth.n31130_m1s,lexent.n31130,o)/ntos,pres,act,masc,gen,sg,Smyth 305
smyth.n31130_m2s,lexent.n31130,o)/nti,pres,act,masc,dat,sg,Smyth 305
smyth.n31130_m3s,lexent.n31130,o)/nta,pres,act,masc,acc,sg,Smyth 305
smyth.n31130_m4s,lexent.n31130,w)/n,pres,act,masc,voc,sg,Smyth 305


smyth.n31130_m0d,lexent.n31130,o)/nte,pres,act,masc,nom,dual,Smyth 305
smyth.n31130_m1d,lexent.n31130,o)/ntoin,pres,act,masc,gen,dual,Smyth 305
smyth.n31130_m2d,lexent.n31130,o)/ntoin,pres,act,masc,dat,dual,Smyth 305
smyth.n31130_m3d,lexent.n31130,o)/nte,pres,act,masc,acc,dual,Smyth 305
smyth.n31130_m4d,lexent.n31130,o)/nte,pres,act,masc,voc,dual,Smyth 305


smyth.n31130_m0p,lexent.n31130,o)/ntes,pres,act,masc,nom,pl,Smyth 305
smyth.n31130_m1p,lexent.n31130,o)/ntwn,pres,act,masc,gen,pl,Smyth 305
smyth.n31130_m2p,lexent.n31130,ou)=si,pres,act,masc,dat,pl,Smyth 305
smyth.n31130_m2pb,lexent.n31130,ou)=sin,pres,act,masc,dat,pl,Smyth 305
smyth.n31130_m3p,lexent.n31130,o)/ntas,pres,act,masc,acc,pl,Smyth 305
smyth.n31130_m4p,lexent.n31130,o)/ntes,pres,act,masc,voc,pl,Smyth 305


smyth.n31130_f0s,lexent.n31130,ou)=sa,pres,act,fem,nom,sg,Smyth 305
smyth.n31130_f1s,lexent.n31130,ou)/shs,pres,act,fem,gen,sg,Smyth 305
smyth.n31130_f2s,lexent.n31130,ou)/sh|,pres,act,fem,dat,sg,Smyth 305
smyth.n31130_f3s,lexent.n31130,ou)=san,pres,act,fem,acc,sg,Smyth 305
smyth.n31130_f4s,lexent.n31130,ou)=sa,pres,act,fem,voc,sg,Smyth 305


smyth.n31130_f0d,lexent.n31130,ou)/sa,pres,act,fem,nom,dual,Smyth 305
smyth.n31130_f1d,lexent.n31130,ou)/sain,pres,act,fem,gen,dual,Smyth 305
smyth.n31130_f2d,lexent.n31130,ou)/sain,pres,act,fem,dat,dual,Smyth 305
smyth.n31130_f3d,lexent.n31130,ou)/sa,pres,act,fem,acc,dual,Smyth 305
smyth.n31130_f4d,lexent.n31130,ou)/sa,pres,act,fem,voc,dual,Smyth 305


smyth.n31130_f0p,lexent.n31130,ou)=sai,pres,act,fem,nom,pl,Smyth 305
smyth.n31130_f1p,lexent.n31130,ou)sw=n,pres,act,fem,gen,pl,Smyth 305
smyth.n31130_f2p,lexent.n31130,ou)/sais,pres,act,fem,dat,pl,Smyth 305
smyth.n31130_f3p,lexent.n31130,ou)/sas,pres,act,fem,acc,pl,Smyth 305
smyth.n31130_f4p,lexent.n31130,ou)=sai,pres,act,fem,voc,pl,Smyth 305


smyth.n31130_n0s,lexent.n31130,o)/n,pres,act,neut,nom,sg,Smyth 305
smyth.n31130_n1s,lexent.n31130,o)/ntos,pres,act,neut,gen,sg,Smyth 305
smyth.n31130_n2s,lexent.n31130,o)/nti,pres,act,neut,dat,sg,Smyth 305
smyth.n31130_n3s,lexent.n31130,o)/n,pres,act,neut,acc,sg,Smyth 305
smyth.n31130_n4s,lexent.n31130,o)/n,pres,act,neut,voc,sg,Smyth 305


smyth.n31130_n0d,lexent.n31130,o)/nte,pres,act,neut,nom,dual,Smyth 305
smyth.n31130_n1d,lexent.n31130,o)/ntoin,pres,act,neut,gen,dual,Smyth 305
smyth.n31130_n2d,lexent.n31130,o)/ntoin,pres,act,neut,dat,dual,Smyth 305
smyth.n31130_n3d,lexent.n31130,o)/nte,pres,act,neut,acc,dual,Smyth 305
smyth.n31130_n4d,lexent.n31130,o)/nte,pres,act,neut,voc,dual,Smyth 305


smyth.n31130_n0p,lexent.n31130,o)/nta,pres,act,neut,nom,pl,Smyth 305
smyth.n31130_n1p,lexent.n31130,o)/ntwn,pres,act,neut,gen,pl,Smyth 305
smyth.n31130_n2p,lexent.n31130,ou)=si,pres,act,neut,dat,pl,Smyth 305
smyth.n31130_n2pb,lexent.n31130,ou)=sin,pres,act,neut,dat,pl,Smyth 305
smyth.n31130_n3p,lexent.n31130,o)/nta,pres,act,neut,acc,pl,Smyth 305
smyth.n31130_n4p,lexent.n31130,o)/nta,pres,act,neut,voc,pl,Smyth 305
