RuleUrn,InflectionClasses,Ending,Gender,Case,Number,Degree
adjinfl.os_h_on1,os_h_on,os,masc,nom,sg,pos
adjinfl.os_h_on2,os_h_on,ou,masc,gen,sg,pos
adjinfl.os_h_on3,os_h_on,w|,masc,dat,sg,pos
adjinfl.os_h_on4,os_h_on,on,masc,acc,sg,pos
adjinfl.os_h_on5,os_h_on,e,masc,voc,sg,pos

adjinfl.os_h_on6,os_h_on,w,masc,nom,dual,pos
adjinfl.os_h_on7,os_h_on,oin,masc,gen,dual,pos
adjinfl.os_h_on8,os_h_on,oin,masc,dat,dual,pos
adjinfl.os_h_on9,os_h_on,w,masc,acc,dual,pos
adjinfl.os_h_on10,os_h_on,w,masc,voc,dual,pos

djinfl.os_h_on1,os_h_on,oi,masc,nom,pl,pos
adjinfl.os_h_on2,os_h_on,wn,masc,gen,pl,pos
adjinfl.os_h_on3,os_h_on,ois,masc,dat,pl,pos
adjinfl.os_h_on4,os_h_on,ous,masc,acc,pl,pos
adjinfl.os_h_on5,os_h_on,oi,masc,voc,pl,pos
