RuleUrn,InflectionClass,Ending,Tense,Voice
verbinfl.aw_infin1,aw_contract,a=n,pres,act
verbinfl.aw_infin2,aw_contract,ei=sqai,pres,mid
verbinfl.aw_infin3,aw_contract,ei=sqai,pres,pass


verbinfl.aw_infin4,aw_contract,ein,fut,act
verbinfl.aw_infin5,aw_contract,esqai,fut,mid
verbinfl.aw_infin6,aw_contract,hsesqai,fut,pass

verbinfl.aw_infin7,aw_contract,ai,aor,act
verbinfl.aw_infin8,aw_contract,asqai,aor,mid
verbinfl.aw_infin9,aw_contract,h=nai,aor,pass


verbinfl.aw_infin10,aw_contract,e/nai,pft,act
verbinfl.aw_infin11,aw_contract,sqai,pft,mid
verbinfl.aw_infin12,aw_contract,sqai,pft,pass
