RuleUrn,InflectionClass,Ending,Tense,Voice
verbinfl.ew_infin1,ew_contract,ei=n,pres,act
verbinfl.ew_infin2,ew_contract,ei=sqai,pres,mid
verbinfl.ew_infin3,ew_contract,ei=sqai,pres,pass


verbinfl.ew_infin4,ew_contract,ein,fut,act
verbinfl.ew_infin5,ew_contract,esqai,fut,mid
verbinfl.ew_infin6,ew_contract,hsesqai,fut,pass

verbinfl.ew_infin7,ew_contract,ai,aor,act
verbinfl.ew_infin8,ew_contract,asqai,aor,mid
verbinfl.ew_infin9,ew_contract,h=nai,aor,pass


verbinfl.ew_infin10,ew_contract,e/nai,pft,act
verbinfl.ew_infin11,ew_contract,sqai,pft,mid
verbinfl.ew_infin12,ew_contract,sqai,pft,pass
