RuleUrn,InflectionClass,Ending,Tense,Voice
verbinfl.w_infin1,w_regular,ein,pres,act
verbinfl.w_infin1b,w_pp1,ein,pres,act
verbinfl.w_infin2,w_regular,esqai,pres,mid
verbinfl.w_infin2b,w_pp1,esqai,pres,mid
verbinfl.w_infin3,w_regular,esqai,pres,pass
verbinfl.w_infin3b,w_pp1,esqai,pres,pass


verbinfl.w_infin4,w_regular,ein,fut,act
verbinfl.w_infin4b,w_pp2,ein,fut,act
verbinfl.w_infin5,w_regular,esqai,fut,mid
verbinfl.w_infin5b,w_pp2,esqai,fut,mid
verbinfl.w_infin6,w_regular,hsesqai,fut,pass
verbinfl.w_infin6b,w_pp6,hsesqai,fut,pass

verbinfl.w_infin7,w_regular,ai,aor,act
verbinfl.w_infin7b,w_pp3,ai,aor,act
verbinfl.w_infin8,w_regular,asqai,aor,mid
verbinfl.w_infin8b,w_pp3,asqai,aor,mid
verbinfl.w_infin9,w_regular,h=nai,aor,pass
verbinfl.w_infin9b,w_pp6,h=nai,aor,pass


verbinfl.w_infin10,w_regular,e/nai,pft,act
verbinfl.w_infin10b,w_pp4,e/nai,pft,act
verbinfl.w_infin11,w_regular,sqai,pft,mid
verbinfl.w_infin11b,w_pp5,sqai,pft,mid
verbinfl.w_infin12,w_regular,sqai,pft,pass
verbinfl.w_infin12b,w_pp5,sqai,pft,pass

verbinfl.w_infin13,aor2,ei=n,aor,act
verbinfl.w_infin14,aor2,e/sqai,aor,mid
