RuleUrn,InflectionClass,Ending,Tense,Voice
verbinfl.long_awinfin1,long_awcontract,a=n,pres,act
verbinfl.long_awinfin2,long_awcontract,ei=sqai,pres,mid
verbinfl.long_awinfin3,long_awcontract,ei=sqai,pres,pass


verbinfl.long_awinfin4,long_awcontract,ein,fut,act
verbinfl.long_awinfin5,long_awcontract,esqai,fut,mid
verbinfl.long_awinfin6,long_awcontract,hsesqai,fut,pass

verbinfl.long_awinfin7,long_awcontract,ai,aor,act
verbinfl.long_awinfin8,long_awcontract,asqai,aor,mid
verbinfl.long_awinfin9,long_awcontract,h=nai,aor,pass


verbinfl.long_awinfin10,long_awcontract,e/nai,pft,act
verbinfl.long_awinfin11,long_awcontract,sqai,pft,mid
verbinfl.long_awinfin12,long_awcontract,sqai,pft,pass
