RuleUrn,InflectionClasses,Ending,Gender,Case,Number,
nouninfl.ous_ou_ult1,ous_ou_ult,ou=s,,masc,nom,sg
nouninfl.ous_ou2m,ous_ou_ult,ou=,masc,gen,sg,
nouninfl.ous_ou3m,ous_ou_ult,w=|,masc,dat,sg,
nouninfl.ous_ou4m,ous_ou_ult,ou=n,masc,acc,sg,
nouninfl.ous_ou5m,ous_ou_ult,ou=,masc,voc,sg,
nouninfl.ous_ou6m,ous_ou_ult,oi=,masc,nom,pl,
nouninfl.ous_ou7m,ous_ou_ult,w=n,masc,gen,pl,
nouninfl.ous_ou8m,ous_ou_ult,oi=s,masc,dat,pl,
nouninfl.ous_ou9m,ous_ou_ult,ou=s,masc,acc,pl,
nouninfl.ous_ou10m,ous_ou_ult,oi=,masc,voc,pl,
nouninfl.ous_ou11m,ous_ou_ult,w/,masc,nom,dual,
nouninfl.ous_ou12m,ous_ou_ult,oin=,masc,gen,dual,
nouninfl.ous_ou13m,ous_ou_ult,oin=,masc,dat,dual,
nouninfl.ous_ou14m,ous_ou_ult,w/,masc,acc,dual,
nouninfl.ous_ou15m,ous_ou_ult,w/,masc,voc,dual,
