RuleUrn,InflectionClasses,Ending,Gender,Case,Number
nouninfl.c_gos1m,c_gos,c,masc,nom,sg
nouninfl.c_gos2m,c_gos,gos,masc,gen,sg
nouninfl.c_gos3m,c_gos,gi,masc,dat,sg
nouninfl.c_gos4m,c_gos,ga,masc,acc,sg
nouninfl.c_gos5m,c_gos,c,masc,voc,sg

nouninfl.c_gos6m,c_gos,ges,masc,nom,pl
nouninfl.c_gos7m,c_gos,gwn,masc,gen,pl
nouninfl.c_gos8m,c_gos,aci,masc,dat,pl
nouninfl.c_gos8mn,c_gos,acin,masc,dat,pl
nouninfl.c_gos9m,c_gos,gas,masc,acc,pl
nouninfl.c_gos10m,c_gos,ge,masc,voc,pl

nouninfl.c_gos11m,c_gos,ge,masc,nom,dual
nouninfl.c_gos12m,c_gos,goin,masc,gen,dual
nouninfl.c_gos13m,c_gos,goin,masc,dat,dual
nouninfl.c_gos14m,c_gos,ge,masc,acc,dual
nouninfl.c_gos15m,c_gos,ge,masc,voc,dual


nouninfl.c_kos1m,c_kos,c,masc,nom,sg
nouninfl.c_kos2m,c_kos,kos,masc,gen,sg
nouninfl.c_kos3m,c_kos,ki,masc,dat,sg
nouninfl.c_kos4m,c_kos,ka,masc,acc,sg
nouninfl.c_kos5m,c_kos,c,masc,voc,sg

nouninfl.c_kos6m,c_kos,kes,masc,nom,pl
nouninfl.c_kos7m,c_kos,kwn,masc,gen,pl
nouninfl.c_kos8m,c_kos,ci,masc,dat,pl
nouninfl.c_kos8mn,c_kos,cin,masc,dat,pl
nouninfl.c_kos9m,c_kos,kas,masc,acc,pl
nouninfl.c_kos10m,c_kos,kes,masc,voc,pl

nouninfl.c_kos11m,c_kos,ke,masc,nom,dual
nouninfl.c_kos12m,c_kos,koin,masc,gen,dual
nouninfl.c_kos13m,c_kos,koin,masc,dat,dual
nouninfl.c_kos14m,c_kos,ke,masc,acc,dual
nouninfl.c_kos15m,c_kos,ke,masc,voc,dual



nouninfl.c_ktos1m,c_ktos,c,masc,nom,sg
nouninfl.c_ktos2m,c_ktos,ktos,masc,gen,sg
nouninfl.c_ktos3m,c_ktos,kti,masc,dat,sg
nouninfl.c_ktos4m,c_ktos,kta,masc,acc,sg
nouninfl.c_ktos5m,c_ktos,c,masc,voc,sg

nouninfl.c_ktos6m,c_ktos,ktes,masc,nom,pl
nouninfl.c_ktos7m,c_ktos,ktwn,masc,gen,pl
