RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.aor2__ptcp1m,aor2,w/n,masc,nom,sg,aor,act
verbinfl.aor2__ptcp2m,aor2,o/ntos,masc,gen,sg,aor,act
verbinfl.aor2__ptcp3m,aor2,o/nti,masc,dat,sg,aor,act
verbinfl.aor2__ptcp4m,aor2,o/nton,masc,acc,sg,aor,act
verbinfl.aor2__ptcp5m,aor2,o/nte,masc,voc,sg,aor,act

verbinfl.aor2__ptcp6m,aor2,o/nte,masc,nom,dual,aor,act
verbinfl.aor2__ptcp7m,aor2,o/ntoin,masc,gen,dual,aor,act
verbinfl.aor2__ptcp8m,aor2,o/ntoin,masc,dat,dual,aor,act
verbinfl.aor2__ptcp9m,aor2,o/ntoin,masc,acc,dual,aor,act
verbinfl.aor2__ptcp10m,aor2,o/nte,masc,voc,dual,aor,act

verbinfl.aor2__ptcp11m,aor2,o/ntes,masc,nom,pl,aor,act
verbinfl.aor2__ptcp12m,aor2,o/ntwn,masc,gen,pl,aor,act
verbinfl.aor2__ptcp13m,aor2,ou=si,masc,dat,pl,aor,act
verbinfl.aor2__ptcp13mn,aor2,ou=sin,masc,dat,pl,aor,act
verbinfl.aor2__ptcp14m,aor2,o/ntas,masc,acc,pl,aor,act
verbinfl.aor2__ptcp15m,aor2,o/ntes,masc,voc,pl,aor,act



verbinfl.aor2__ptcp1f,aor2,ou=sa,fem,nom,sg,aor,act
verbinfl.aor2__ptcp2f,aor2,ou/shs,fem,gen,sg,aor,act
verbinfl.aor2__ptcp3f,aor2,ou/sh|,fem,dat,sg,aor,act
verbinfl.aor2__ptcp4f,aor2,ou=san,fem,acc,sg,aor,act
verbinfl.aor2__ptcp5f,aor2,ou=sa,fem,voc,sg,aor,act

verbinfl.aor2__ptcp6f,aor2,ou/sa,fem,nom,dual,aor,act
verbinfl.aor2__ptcp7f,aor2,ou/sain,fem,gen,dual,aor,act
verbinfl.aor2__ptcp8f,aor2,ou/sain,fem,dat,dual,aor,act
verbinfl.aor2__ptcp9f,aor2,ou/sain,fem,acc,dual,aor,act
verbinfl.aor2__ptcp10f,aor2,ou/sa,fem,voc,dual,aor,act

verbinfl.aor2__ptcp11f,aor2,ou=sai,fem,nom,pl,aor,act
verbinfl.aor2__ptcp12f,aor2,ousw=n,fem,gen,pl,aor,act
verbinfl.aor2__ptcp13f,aor2,ou/sais,fem,dat,pl,aor,act
verbinfl.aor2__ptcp14f,aor2,ou/sas,fem,acc,pl,aor,act
verbinfl.aor2__ptcp15f,aor2,ou=sai,fem,voc,pl,aor,act



verbinfl.aor2__ptcp1n,aor2,o/n,neut,nom,sg,aor,act
verbinfl.aor2__ptcp2n,aor2,o/ntos,neut,gen,sg,aor,act
verbinfl.aor2__ptcp3n,aor2,o/nti,neut,dat,sg,aor,act
verbinfl.aor2__ptcp4n,aor2,o/n,neut,acc,sg,aor,act
verbinfl.aor2__ptcp5n,aor2,o/n,neut,voc,sg,aor,act

verbinfl.aor2__ptcp6n,aor2,o/nte,neut,nom,dual,aor,act
verbinfl.aor2__ptcp7n,aor2,o/ntoin,neut,gen,dual,aor,act
verbinfl.aor2__ptcp8n,aor2,o/ntoin,neut,dat,dual,aor,act
verbinfl.aor2__ptcp9n,aor2,o/ntoin,neut,acc,dual,aor,act
verbinfl.aor2__ptcp10n,aor2,o/nte,neut,voc,dual,aor,act

verbinfl.aor2__ptcp11n,aor2,o/nta,neut,nom,pl,aor,act
verbinfl.aor2__ptcp12n,aor2,o/ntwn,neut,gen,pl,aor,act
verbinfl.aor2__ptcp13n,aor2,ou=si,neut,dat,pl,aor,act
verbinfl.aor2__ptcp13mn,aor2,ou=sin,neut,dat,pl,aor,act
verbinfl.aor2__ptcp14n,aor2,o/nta,neut,acc,pl,aor,act
verbinfl.aor2__ptcp15n,aor2,o/nta,neut,voc,pl,aor,act




verbinfl.aor2__ptcp1m,aor2,omenos,masc,nom,sg,aor,mid



verbinfl.aor2__ptcp2m,aor2,omenh,fem,nom,sg,aor,mid
verbinfl.aor2__ptcp3m,aor2,omenh,fem,voc,sg,aor,mid


verbinfl.aor2__ptcp4mxx,aor2,omenon,neut,nom,sg,aor,mid
verbinfl.aor2__ptcp5mxx,aor2,omenon,neut,acc,sg,aor,mid
verbinfl.aor2__ptcp6mxx,aor2,omenon,neut,voc,sg,aor,mid
