RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.aw_pres_ptcp1m,aw_contract,w=n,masc,nom,sg,pres,act
verbinfl.aw_pres_ptcp2m,aw_contract,w=ntos,masc,gen,sg,pres,act
verbinfl.aw_pres_ptcp3m,aw_contract,w=nti,masc,dat,sg,pres,act
verbinfl.aw_pres_ptcp4m,aw_contract,w=nta,masc,acc,sg,pres,act
verbinfl.aw_pres_ptcp5m,aw_contract,w=n,masc,voc,sg,pres,act

verbinfl.aw_pres_ptcp6m,aw_contract,w=nte,masc,nom,dual,pres,act
verbinfl.aw_pres_ptcp7m,aw_contract,w/ntoin,masc,gen,dual,pres,act
verbinfl.aw_pres_ptcp8m,aw_contract,w/ntoin,masc,dat,dual,pres,act
verbinfl.aw_pres_ptcp9m,aw_contract,w=nte,masc,acc,dual,pres,act
verbinfl.aw_pres_ptcp10m,aw_contract,w=nte,masc,voc,dual,pres,act

verbinfl.aw_pres_ptcp11m,aw_contract,w=ntes,masc,nom,pl,pres,act
verbinfl.aw_pres_ptcp12m,aw_contract,w/ntwn,masc,gen,pl,pres,act
verbinfl.aw_pres_ptcp13m,aw_contract,w=si,masc,dat,pl,pres,act
verbinfl.aw_pres_ptcp13mn,aw_contract,w=sin,masc,dat,pl,pres,act
verbinfl.aw_pres_ptcp14m,aw_contract,w=ntas,masc,acc,pl,pres,act
verbinfl.aw_pres_ptcp15m,aw_contract,w=ntes,masc,voc,pl,pres,act



verbinfl.aw_pres_ptcp1f,aw_contract,w=sa^,fem,nom,sg,pres,act
verbinfl.aw_pres_ptcp2f,aw_contract,w/shs,fem,gen,sg,pres,act
verbinfl.aw_pres_ptcp3f,aw_contract,w/sh|,fem,dat,sg,pres,act
verbinfl.aw_pres_ptcp4f,aw_contract,w=sa^n,fem,acc,sg,pres,act
verbinfl.aw_pres_ptcp5f,aw_contract,w=sa^,fem,voc,sg,pres,act

verbinfl.aw_pres_ptcp6f,aw_contract,w/sa_,fem,nom,dual,pres,act
verbinfl.aw_pres_ptcp7f,aw_contract,w/sain,fem,gen,dual,pres,act
verbinfl.aw_pres_ptcp8f,aw_contract,w/sain,fem,dat,dual,pres,act
verbinfl.aw_pres_ptcp9f,aw_contract,w/sa_,fem,acc,dual,pres,act
verbinfl.aw_pres_ptcp10f,aw_contract,w/sa_,fem,voc,dual,pres,act

verbinfl.aw_pres_ptcp11f,aw_contract,w=sai,fem,nom,pl,pres,act
verbinfl.aw_pres_ptcp12f,aw_contract,wsw=n,fem,gen,pl,pres,act
verbinfl.aw_pres_ptcp13f,aw_contract,w/sais,fem,dat,pl,pres,act
verbinfl.aw_pres_ptcp14f,aw_contract,w/sa_s,fem,acc,pl,pres,act
verbinfl.aw_pres_ptcp15f,aw_contract,w=sai,fem,voc,pl,pres,act



verbinfl.aw_pres_ptcp1n,aw_contract,w=n,neut,nom,sg,pres,act
verbinfl.aw_pres_ptcp2n,aw_contract,w=ntos,neut,gen,sg,pres,act
verbinfl.aw_pres_ptcp3n,aw_contract,w=nti,neut,dat,sg,pres,act
verbinfl.aw_pres_ptcp4n,aw_contract,w=n,neut,acc,sg,pres,act
verbinfl.aw_pres_ptcp5n,aw_contract,w=n,neut,voc,sg,pres,act

verbinfl.aw_pres_ptcp6n,aw_contract,w=nte,neut,nom,dual,pres,act
verbinfl.aw_pres_ptcp7n,aw_contract,w/ntoin,neut,gen,dual,pres,act
verbinfl.aw_pres_ptcp8n,aw_contract,w/ntoin,neut,dat,dual,pres,act
verbinfl.aw_pres_ptcp9n,aw_contract,w=nte,neut,acc,dual,pres,act
verbinfl.aw_pres_ptcp10n,aw_contract,w=nte,neut,voc,dual,pres,act

verbinfl.aw_pres_ptcp11n,aw_contract,w=nta,neut,nom,pl,pres,act
verbinfl.aw_pres_ptcp12n,aw_contract,w/ntwn,neut,gen,pl,pres,act
verbinfl.aw_pres_ptcp13n,aw_contract,w=si,neut,dat,pl,pres,act
verbinfl.aw_pres_ptcp13mn,aw_contract,w=sin,neut,dat,pl,pres,act
verbinfl.aw_pres_ptcp14n,aw_contract,w=nta,neut,acc,pl,pres,act
verbinfl.aw_pres_ptcp15n,aw_contract,w=nta,neut,voc,pl,pres,act








verbinfl.aw_pres_ptcp2,aw_contract,omenos,masc,nom,sg,pres,mid



verbinfl.aw_pres_ptcp2,aw_contract,omenos,masc,nom,sg,pres,pass
