RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.gm_pp5_mid1m,gm_pp5,me/nos,masc,nom,sg,pft,mid
verbinfl.gm_pp5_mid2m,gm_pp5,me/nou,masc,gen,sg,pft,mid
verbinfl.gm_pp5_mid3m,gm_pp5,me/nw|,masc,dat,sg,pft,mid
verbinfl.gm_pp5_mid4m,gm_pp5,me/non,masc,acc,sg,pft,mid
verbinfl.gm_pp5_mid5m,gm_pp5,me/ne,masc,voc,sg,pft,mid

verbinfl.gm_pp5_mid6m,gm_pp5,me/nw,masc,nom,dual,pft,mid
verbinfl.gm_pp5_mid7m,gm_pp5,me/noin,masc,gen,dual,pft,mid
verbinfl.gm_pp5_mid8m,gm_pp5,me/noin,masc,dat,dual,pft,mid
verbinfl.gm_pp5_mid9m,gm_pp5,me/nw,masc,acc,dual,pft,mid
verbinfl.gm_pp5_mid10m,gm_pp5,me/nw,masc,voc,dual,pft,mid

verbinfl.gm_pp5_m11m,gm_pp5,me/noi,masc,nom,pl,pft,mid
verbinfl.gm_pp5_mid12m,gm_pp5,me/nwn,masc,gen,pl,pft,mid
verbinfl.gm_pp5_mid13m,gm_pp5,me/nois,masc,dat,pl,pft,mid
verbinfl.gm_pp5_mid14m,gm_pp5,me/nous,masc,acc,pl,pft,mid
verbinfl.gm_pp5_mid15m,gm_pp5,me/noi,masc,voc,pl,pft,mid

verbinfl.gm_pp5_mid1n,gm_pp5,me/non,neut,nom,sg,pft,mid
verbinfl.gm_pp5_mid2n,gm_pp5,me/nou,neut,gen,sg,pft,mid
verbinfl.gm_pp5_mid3n,gm_pp5,me/nw|,neut,dat,sg,pft,mid
verbinfl.gm_pp5_mid4n,gm_pp5,me/non,neut,acc,sg,pft,mid
verbinfl.gm_pp5_mid5n,gm_pp5,me/non,neut,voc,sg,pft,mid

verbinfl.gm_pp5_mid6n,gm_pp5,me/nw,neut,nom,dual,pft,mid
verbinfl.gm_pp5_mid7n,gm_pp5,me/noin,neut,gen,dual,pft,mid
verbinfl.gm_pp5_mid8n,gm_pp5,me/noin,neut,dat,dual,pft,mid
verbinfl.gm_pp5_mid9n,gm_pp5,me/nw,neut,acc,dual,pft,mid
verbinfl.gm_pp5_mid10n,gm_pp5,me/nw,neut,voc,dual,pft,mid

verbinfl.gm_pp5_m11n,gm_pp5,me/na,neut,nom,pl,pft,mid
verbinfl.gm_pp5_mid12n,gm_pp5,me/nwn,neut,gen,pl,pft,mid
verbinfl.gm_pp5_mid13n,gm_pp5,me/nois,neut,dat,pl,pft,mid
verbinfl.gm_pp5_mid14n,gm_pp5,me/na,neut,acc,pl,pft,mid
verbinfl.gm_pp5_mid15n,gm_pp5,me/na,neut,voc,pl,pft,mid


verbinfl.gm_pp5_mid1f,gm_pp5,me/nh,fem,nom,sg,pft,mid
verbinfl.gm_pp5_mid2f,gm_pp5,me/nhs,fem,gen,sg,pft,mid
verbinfl.gm_pp5_mid3f,gm_pp5,me/na|,fem,dat,sg,pft,mid
verbinfl.gm_pp5_mid4f,gm_pp5,me/nan,fem,acc,sg,pft,mid
verbinfl.gm_pp5_mid5f,gm_pp5,me/nh,fem,voc,sg,pft,mid

verbinfl.gm_pp5_mid6n,gm_pp5,me/na,fem,nom,dual,pft,mid
verbinfl.gm_pp5_mid7f,gm_pp5,me/nain,fem,gen,dual,pft,mid
verbinfl.gm_pp5_mid8f,gm_pp5,me/nain,fem,dat,dual,pft,mid
verbinfl.gm_pp5_mid9f,gm_pp5,me/na,fem,acc,dual,pft,mid
verbinfl.gm_pp5_mid0f,gm_pp5,me/na,fem,voc,dual,pft,mid

verbinfl.gm_pp5_m11f,gm_pp5,me/nai,fem,nom,pl,pft,mid
verbinfl.gm_pp5_mid12f,gm_pp5,me/nwn,fem,gen,pl,pft,mid
verbinfl.gm_pp5_mid13f,gm_pp5,me/nais,fem,dat,pl,pft,mid
verbinfl.gm_pp5_mid14f,gm_pp5,me/nas,fem,acc,pl,pft,mid
verbinfl.gm_pp5_mid15f,gm_pp5,me/nai,fem,voc,pl,pft,mid
