RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.sm_pp5_midm,sm_pp5,me/nos,masc,nom,sg,pft,mid
verbinfl.sm_pp5_mid2m,sm_pp5,me/nou,masc,gen,sg,pft,mid
verbinfl.sm_pp5_mid3m,sm_pp5,me/nw|,masc,dat,sg,pft,mid
verbinfl.sm_pp5_mid4m,sm_pp5,me/non,masc,acc,sg,pft,mid
verbinfl.sm_pp5_mid5m,sm_pp5,me/ne,masc,voc,sg,pft,mid

verbinfl.sm_pp5_mid6m,sm_pp5,me/nw,masc,nom,dual,pft,mid
verbinfl.sm_pp5_mid7m,sm_pp5,me/noin,masc,gen,dual,pft,mid
verbinfl.sm_pp5_mid8m,sm_pp5,me/noin,masc,dat,dual,pft,mid
verbinfl.sm_pp5_mid9m,sm_pp5,me/nw,masc,acc,dual,pft,mid
verbinfl.sm_pp5_mid0m,sm_pp5,me/nw,masc,voc,dual,pft,mid

verbinfl.sm_pp5_m11m,sm_pp5,me/noi,masc,nom,pl,pft,mid
verbinfl.sm_pp5_mid2m,sm_pp5,me/nwn,masc,gen,pl,pft,mid
verbinfl.sm_pp5_mid3m,sm_pp5,me/nois,masc,dat,pl,pft,mid
verbinfl.sm_pp5_mid4m,sm_pp5,me/nous,masc,acc,pl,pft,mid
verbinfl.sm_pp5_mid5m,sm_pp5,me/noi,masc,voc,pl,pft,mid

verbinfl.sm_pp5_midn,sm_pp5,me/non,neut,nom,sg,pft,mid
verbinfl.sm_pp5_mid2n,sm_pp5,me/nou,neut,gen,sg,pft,mid
verbinfl.sm_pp5_mid3n,sm_pp5,me/nw|,neut,dat,sg,pft,mid
verbinfl.sm_pp5_mid4n,sm_pp5,me/non,neut,acc,sg,pft,mid
verbinfl.sm_pp5_mid5n,sm_pp5,me/non,neut,voc,sg,pft,mid

verbinfl.sm_pp5_mid6n,sm_pp5,me/nw,neut,nom,dual,pft,mid
verbinfl.sm_pp5_mid7n,sm_pp5,me/noin,neut,gen,dual,pft,mid
verbinfl.sm_pp5_mid8n,sm_pp5,me/noin,neut,dat,dual,pft,mid
verbinfl.sm_pp5_mid9n,sm_pp5,me/nw,neut,acc,dual,pft,mid
verbinfl.sm_pp5_mid0n,sm_pp5,me/nw,neut,voc,dual,pft,mid

verbinfl.sm_pp5_m11n,sm_pp5,me/na,neut,nom,pl,pft,mid
verbinfl.sm_pp5_mid2n,sm_pp5,me/nwn,neut,gen,pl,pft,mid
verbinfl.sm_pp5_mid3n,sm_pp5,me/nois,neut,dat,pl,pft,mid
verbinfl.sm_pp5_mid4n,sm_pp5,me/na,neut,acc,pl,pft,mid
verbinfl.sm_pp5_mid5n,sm_pp5,me/na,neut,voc,pl,pft,mid


verbinfl.sm_pp5_midf,sm_pp5,me/nh,fem,nom,sg,pft,mid
verbinfl.sm_pp5_mid2f,sm_pp5,me/nhs,fem,gen,sg,pft,mid
verbinfl.sm_pp5_mid3f,sm_pp5,me/na|,fem,dat,sg,pft,mid
verbinfl.sm_pp5_mid4f,sm_pp5,me/nan,fem,acc,sg,pft,mid
verbinfl.sm_pp5_mid5f,sm_pp5,me/nh,fem,voc,sg,pft,mid

verbinfl.sm_pp5_mid6n,sm_pp5,me/na,fem,nom,dual,pft,mid
verbinfl.sm_pp5_mid7f,sm_pp5,me/nain,fem,gen,dual,pft,mid
verbinfl.sm_pp5_mid8f,sm_pp5,me/nain,fem,dat,dual,pft,mid
verbinfl.sm_pp5_mid9f,sm_pp5,me/na,fem,acc,dual,pft,mid
verbinfl.sm_pp5_mid0f,sm_pp5,me/na,fem,voc,dual,pft,mid

verbinfl.sm_pp5_m11f,sm_pp5,me/nai,fem,nom,pl,pft,mid
verbinfl.sm_pp5_mid2f,sm_pp5,me/nwn,fem,gen,pl,pft,mid
verbinfl.sm_pp5_mid3f,sm_pp5,me/nais,fem,dat,pl,pft,mid
verbinfl.sm_pp5_mid4f,sm_pp5,me/nas,fem,acc,pl,pft,mid
verbinfl.sm_pp5_mid5f,sm_pp5,me/nai,fem,voc,pl,pft,mid
