RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.w_aor_ptcp1m,w_regular,a_s,masc,nom,sg,aor,act
verbinfl.w_aor_ptcp2m,w_regular,antos,masc,gen,sg,aor,act
verbinfl.w_aor_ptcp3m,w_regular,anti,masc,dat,sg,aor,act
verbinfl.w_aor_ptcp4m,w_regular,anta,masc,acc,sg,aor,act
verbinfl.w_aor_ptcp5m,w_regular,a_s,masc,voc,sg,aor,act

verbinfl.w_aor_ptcp6m,w_regular,ante,masc,nom,dual,aor,act
verbinfl.w_aor_ptcp7m,w_regular,antoin,masc,gen,dual,aor,act
verbinfl.w_aor_ptcp8m,w_regular,antoin,masc,dat,dual,aor,act
verbinfl.w_aor_ptcp9m,w_regular,ante,masc,acc,dual,aor,act
verbinfl.w_aor_ptcp10m,w_regular,ante,masc,voc,dual,aor,act

verbinfl.w_aor_ptcp11m,w_regular,antes,masc,nom,pl,aor,act
verbinfl.w_aor_ptcp12m,w_regular,antwn,masc,gen,pl,aor,act
verbinfl.w_aor_ptcp13m,w_regular,a_si,masc,dat,pl,aor,act
verbinfl.w_aor_ptcp13mn,w_regular,a_sin,masc,dat,pl,aor,act
verbinfl.w_aor_ptcp14m,w_regular,antas,masc,acc,pl,aor,act
verbinfl.w_aor_ptcp15m,w_regular,antes,masc,voc,pl,aor,act



verbinfl.w_aor_ptcp1f,w_regular,a_sa^,fem,nom,sg,aor,act
verbinfl.w_aor_ptcp2f,w_regular,a_shs,fem,gen,sg,aor,act
verbinfl.w_aor_ptcp3f,w_regular,a_sh|,fem,dat,sg,aor,act
verbinfl.w_aor_ptcp4f,w_regular,a_sa^n,fem,acc,sg,aor,act
verbinfl.w_aor_ptcp5f,w_regular,a_sa^,fem,voc,sg,aor,act

verbinfl.w_aor_ptcp6f,w_regular,a_sa_,fem,nom,dual,aor,act
verbinfl.w_aor_ptcp7f,w_regular,a_sain,fem,gen,dual,aor,act
verbinfl.w_aor_ptcp8f,w_regular,a_sain,fem,dat,dual,aor,act
verbinfl.w_aor_ptcp9f,w_regular,a_sa_,fem,acc,dual,aor,act
verbinfl.w_aor_ptcp10f,w_regular,a_sa_,fem,voc,dual,aor,act

