RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.w_fut_ptcp1m,w_regular,wn,masc,nom,sg,fut,act
verbinfl.w_fut_ptcp2m,w_regular,ontos,masc,gen,sg,fut,act
verbinfl.w_fut_ptcp3m,w_regular,onti,masc,dat,sg,fut,act
verbinfl.w_fut_ptcp4m,w_regular,onta,masc,acc,sg,fut,act
verbinfl.w_fut_ptcp5m,w_regular,wn,masc,voc,sg,fut,act

verbinfl.w_fut_ptcp6m,w_regular,onte,masc,nom,dual,fut,act
verbinfl.w_fut_ptcp7m,w_regular,ontoin,masc,gen,dual,fut,act
verbinfl.w_fut_ptcp8m,w_regular,ontoin,masc,dat,dual,fut,act
verbinfl.w_fut_ptcp9m,w_regular,onte,masc,acc,dual,fut,act
verbinfl.w_fut_ptcp10m,w_regular,onte,masc,voc,dual,fut,act

verbinfl.w_fut_ptcp11m,w_regular,ontes,masc,nom,pl,fut,act
verbinfl.w_fut_ptcp12m,w_regular,ontwn,masc,gen,pl,fut,act
verbinfl.w_fut_ptcp13m,w_regular,ousi,masc,dat,pl,fut,act
verbinfl.w_fut_ptcp13mn,w_regular,ousin,masc,dat,pl,fut,act
verbinfl.w_fut_ptcp14m,w_regular,ontas,masc,acc,pl,fut,act
verbinfl.w_fut_ptcp15m,w_regular,ontes,masc,voc,pl,fut,act



verbinfl.w_fut_ptcp1f,w_regular,ousa^,fem,nom,sg,fut,act
verbinfl.w_fut_ptcp2f,w_regular,oushs,fem,gen,sg,fut,act
verbinfl.w_fut_ptcp3f,w_regular,oush|,fem,dat,sg,fut,act
verbinfl.w_fut_ptcp4f,w_regular,ousa^n,fem,acc,sg,fut,act
verbinfl.w_fut_ptcp5f,w_regular,ousa^,fem,voc,sg,fut,act

verbinfl.w_fut_ptcp6f,w_regular,ousa_,fem,nom,dual,fut,act
verbinfl.w_fut_ptcp7f,w_regular,ousain,fem,gen,dual,fut,act
verbinfl.w_fut_ptcp8f,w_regular,ousain,fem,dat,dual,fut,act
verbinfl.w_fut_ptcp9f,w_regular,ousa_,fem,acc,dual,fut,act
verbinfl.w_fut_ptcp10f,w_regular,ousa_,fem,voc,dual,fut,act

verbinfl.w_fut_ptcp11f,w_regular,ousai,fem,nom,pl,fut,act
verbinfl.w_fut_ptcp12f,w_regular,ousw=n,fem,gen,pl,fut,act
verbinfl.w_fut_ptcp13f,w_regular,ousais,fem,dat,pl,fut,act
verbinfl.w_fut_ptcp14f,w_regular,ousa_s,fem,acc,pl,fut,act
verbinfl.w_fut_ptcp15f,w_regular,ousai,fem,voc,pl,fut,act



verbinfl.w_fut_ptcp1n,w_regular,on,neut,nom,sg,fut,act
verbinfl.w_fut_ptcp2n,w_regular,ontos,neut,gen,sg,fut,act
verbinfl.w_fut_ptcp3n,w_regular,onti,neut,dat,sg,fut,act
verbinfl.w_fut_ptcp4n,w_regular,on,neut,acc,sg,fut,act
verbinfl.w_fut_ptcp5n,w_regular,on,neut,voc,sg,fut,act

verbinfl.w_fut_ptcp6n,w_regular,onte,neut,nom,dual,fut,act
verbinfl.w_fut_ptcp7n,w_regular,ontoin,neut,gen,dual,fut,act
verbinfl.w_fut_ptcp8n,w_regular,ontoin,neut,dat,dual,fut,act
verbinfl.w_fut_ptcp9n,w_regular,onte,neut,acc,dual,fut,act
verbinfl.w_fut_ptcp10n,w_regular,onte,neut,voc,dual,fut,act

verbinfl.w_fut_ptcp11n,w_regular,onta,neut,nom,pl,fut,act
verbinfl.w_fut_ptcp12n,w_regular,ontwn,neut,gen,pl,fut,act
verbinfl.w_fut_ptcp13n,w_regular,ousi,neut,dat,pl,fut,act
verbinfl.w_fut_ptcp13mn,w_regular,ousin,neut,dat,pl,fut,act
verbinfl.w_fut_ptcp14n,w_regular,onta,neut,acc,pl,fut,act
verbinfl.w_fut_ptcp15n,w_regular,onta,neut,voc,pl,fut,act



verbinfl.w_futptcp_mp1m,w_regular,omenos,masc,nom,sg,fut,mid
verbinfl.w_futptcp_mp2m,w_regular,omenou,masc,gen,sg,fut,mid
verbinfl.w_futptcp_mp3m,w_regular,omenw|,masc,dat,sg,fut,mid
verbinfl.w_futptcp_mp4m,w_regular,omenon,masc,acc,sg,fut,mid
verbinfl.w_futptcp_mp5m,w_regular,omene,masc,voc,sg,fut,mid

verbinfl.w_futptcp_mp6m,w_regular,omenw,masc,nom,dual,fut,mid
verbinfl.w_futptcp_mp7m,w_regular,omenoin,masc,gen,dual,fut,mid
verbinfl.w_futptcp_mp8m,w_regular,omenoin,masc,dat,dual,fut,mid
verbinfl.w_futptcp_mp9m,w_regular,omenw,masc,acc,dual,fut,mid
verbinfl.w_futptcp_mp10m,w_regular,omenw,masc,voc,dual,fut,mid

verbinfl.w_futptcp_mp11m,w_regular,omenoi,masc,nom,pl,fut,mid
verbinfl.w_futptcp_mp12m,w_regular,omenwn,masc,gen,pl,fut,mid
verbinfl.w_futptcp_mp13m,w_regular,omenois,masc,dat,pl,fut,mid
verbinfl.w_futptcp_mp14m,w_regular,omenous,masc,acc,pl,fut,mid
verbinfl.w_futptcp_mp15m,w_regular,omenoi,masc,voc,pl,fut,mid





verbinfl.w_futptcp_mp1m,w_regular,omenh,fem,nom,sg,fut,mid
verbinfl.w_futptcp_mp2m,w_regular,omenhs,fem,gen,sg,fut,mid
verbinfl.w_futptcp_mp3m,w_regular,omenh|,fem,dat,sg,fut,mid
verbinfl.w_futptcp_mp4m,w_regular,omenhn,fem,acc,sg,fut,mid
verbinfl.w_futptcp_mp5m,w_regular,omenh,fem,voc,sg,fut,mid

verbinfl.w_futptcp_mp6m,w_regular,omena_,fem,nom,dual,fut,mid
verbinfl.w_futptcp_mp7m,w_regular,omenain,fem,gen,dual,fut,mid
verbinfl.w_futptcp_mp8m,w_regular,omenain,fem,dat,dual,fut,mid
verbinfl.w_futptcp_mp9m,w_regular,omena_,fem,acc,dual,fut,mid
verbinfl.w_futptcp_mp10m,w_regular,omena_,fem,voc,dual,fut,mid

verbinfl.w_futptcp_mp11m,w_regular,omenai,fem,nom,pl,fut,mid
verbinfl.w_futptcp_mp12m,w_regular,omenwn,fem,gen,pl,fut,mid
verbinfl.w_futptcp_mp13m,w_regular,omenais,fem,dat,pl,fut,mid
verbinfl.w_futptcp_mp14m,w_regular,omena_s,fem,acc,pl,fut,mid
verbinfl.w_futptcp_mp15m,w_regular,omenai,fem,voc,pl,fut,mid




verbinfl.w_futptcp_mp1n,w_regular,omenon,neut,nom,sg,fut,mid
verbinfl.w_futptcp_mp2n,w_regular,omenou,neut,gen,sg,fut,mid
verbinfl.w_futptcp_mp3n,w_regular,omenw|,neut,dat,sg,fut,mid
verbinfl.w_futptcp_mp4n,w_regular,omenon,neut,acc,sg,fut,mid
verbinfl.w_futptcp_mp5n,w_regular,omenon,neut,voc,sg,fut,mid

verbinfl.w_futptcp_mp6n,w_regular,omenw,neut,nom,dual,fut,mid
verbinfl.w_futptcp_mp7n,w_regular,omenoin,neut,gen,dual,fut,mid
verbinfl.w_futptcp_mp8n,w_regular,omenoin,neut,dat,dual,fut,mid
