RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.w_pp2_fut_ptcp1m,w_pp2,wn,masc,nom,sg,fut,act
verbinfl.w_pp2_fut_ptcp2m,w_pp2,ontos,masc,gen,sg,fut,act
verbinfl.w_pp2_fut_ptcp3m,w_pp2,onti,masc,dat,sg,fut,act
verbinfl.w_pp2_fut_ptcp4m,w_pp2,onta,masc,acc,sg,fut,act
verbinfl.w_pp2_fut_ptcp5m,w_pp2,wn,masc,voc,sg,fut,act

verbinfl.w_pp2_fut_ptcp6m,w_pp2,onte,masc,nom,dual,fut,act
verbinfl.w_pp2_fut_ptcp7m,w_pp2,ontoin,masc,gen,dual,fut,act
verbinfl.w_pp2_fut_ptcp8m,w_pp2,ontoin,masc,dat,dual,fut,act
verbinfl.w_pp2_fut_ptcp9m,w_pp2,onte,masc,acc,dual,fut,act
verbinfl.w_pp2_fut_ptcp10m,w_pp2,onte,masc,voc,dual,fut,act

verbinfl.w_pp2_fut_ptcp11m,w_pp2,ontes,masc,nom,pl,fut,act
verbinfl.w_pp2_fut_ptcp12m,w_pp2,ontwn,masc,gen,pl,fut,act
verbinfl.w_pp2_fut_ptcp13m,w_pp2,ousi,masc,dat,pl,fut,act
verbinfl.w_pp2_fut_ptcp13mn,w_pp2,ousin,masc,dat,pl,fut,act
verbinfl.w_pp2_fut_ptcp14m,w_pp2,ontas,masc,acc,pl,fut,act
verbinfl.w_pp2_fut_ptcp15m,w_pp2,ontes,masc,voc,pl,fut,act



verbinfl.w_pp2_fut_ptcp1f,w_pp2,ousa^,fem,nom,sg,fut,act
verbinfl.w_pp2_fut_ptcp2f,w_pp2,oushs,fem,gen,sg,fut,act
verbinfl.w_pp2_fut_ptcp3f,w_pp2,oush|,fem,dat,sg,fut,act
verbinfl.w_pp2_fut_ptcp4f,w_pp2,ousa^n,fem,acc,sg,fut,act
verbinfl.w_pp2_fut_ptcp5f,w_pp2,ousa^,fem,voc,sg,fut,act

verbinfl.w_pp2_fut_ptcp6f,w_pp2,ousa_,fem,nom,dual,fut,act
verbinfl.w_pp2_fut_ptcp7f,w_pp2,ousain,fem,gen,dual,fut,act
verbinfl.w_pp2_fut_ptcp8f,w_pp2,ousain,fem,dat,dual,fut,act
verbinfl.w_pp2_fut_ptcp9f,w_pp2,ousa_,fem,acc,dual,fut,act
verbinfl.w_pp2_fut_ptcp10f,w_pp2,ousa_,fem,voc,dual,fut,act

verbinfl.w_pp2_fut_ptcp11f,w_pp2,ousai,fem,nom,pl,fut,act
verbinfl.w_pp2_fut_ptcp12f,w_pp2,ousw=n,fem,gen,pl,fut,act
verbinfl.w_pp2_fut_ptcp13f,w_pp2,ousais,fem,dat,pl,fut,act
verbinfl.w_pp2_fut_ptcp14f,w_pp2,ousa_s,fem,acc,pl,fut,act
verbinfl.w_pp2_fut_ptcp15f,w_pp2,ousai,fem,voc,pl,fut,act



verbinfl.w_pp2_fut_ptcp1n,w_pp2,on,neut,nom,sg,fut,act
verbinfl.w_pp2_fut_ptcp2n,w_pp2,ontos,neut,gen,sg,fut,act
verbinfl.w_pp2_fut_ptcp3n,w_pp2,onti,neut,dat,sg,fut,act
verbinfl.w_pp2_fut_ptcp4n,w_pp2,on,neut,acc,sg,fut,act
verbinfl.w_pp2_fut_ptcp5n,w_pp2,on,neut,voc,sg,fut,act

verbinfl.w_pp2_fut_ptcp6n,w_pp2,onte,neut,nom,dual,fut,act
verbinfl.w_pp2_fut_ptcp7n,w_pp2,ontoin,neut,gen,dual,fut,act
verbinfl.w_pp2_fut_ptcp8n,w_pp2,ontoin,neut,dat,dual,fut,act
verbinfl.w_pp2_fut_ptcp9n,w_pp2,onte,neut,acc,dual,fut,act
verbinfl.w_pp2_fut_ptcp10n,w_pp2,onte,neut,voc,dual,fut,act

verbinfl.w_pp2_fut_ptcp11n,w_pp2,onta,neut,nom,pl,fut,act
verbinfl.w_pp2_fut_ptcp12n,w_pp2,ontwn,neut,gen,pl,fut,act
verbinfl.w_pp2_fut_ptcp13n,w_pp2,ousi,neut,dat,pl,fut,act
verbinfl.w_pp2_fut_ptcp13mn,w_pp2,ousin,neut,dat,pl,fut,act
verbinfl.w_pp2_fut_ptcp14n,w_pp2,onta,neut,acc,pl,fut,act
verbinfl.w_pp2_fut_ptcp15n,w_pp2,onta,neut,voc,pl,fut,act



verbinfl.w_pp2_futptcp_mp1m,w_pp2,omenos,masc,nom,sg,fut,mid
verbinfl.w_pp2_futptcp_mp2m,w_pp2,omenou,masc,gen,sg,fut,mid
verbinfl.w_pp2_futptcp_mp3m,w_pp2,omenw|,masc,dat,sg,fut,mid
verbinfl.w_pp2_futptcp_mp4m,w_pp2,omenon,masc,acc,sg,fut,mid
verbinfl.w_pp2_futptcp_mp5m,w_pp2,omene,masc,voc,sg,fut,mid

verbinfl.w_pp2_futptcp_mp6m,w_pp2,omenw,masc,nom,dual,fut,mid
verbinfl.w_pp2_futptcp_mp7m,w_pp2,omenoin,masc,gen,dual,fut,mid
verbinfl.w_pp2_futptcp_mp8m,w_pp2,omenoin,masc,dat,dual,fut,mid
verbinfl.w_pp2_futptcp_mp9m,w_pp2,omenw,masc,acc,dual,fut,mid
verbinfl.w_pp2_futptcp_mp10m,w_pp2,omenw,masc,voc,dual,fut,mid

verbinfl.w_pp2_futptcp_mp11m,w_pp2,omenoi,masc,nom,pl,fut,mid
verbinfl.w_pp2_futptcp_mp12m,w_pp2,omenwn,masc,gen,pl,fut,mid
verbinfl.w_pp2_futptcp_mp13m,w_pp2,omenois,masc,dat,pl,fut,mid
verbinfl.w_pp2_futptcp_mp14m,w_pp2,omenous,masc,acc,pl,fut,mid
verbinfl.w_pp2_futptcp_mp15m,w_pp2,omenoi,masc,voc,pl,fut,mid





verbinfl.w_pp2_futptcp_mp1m,w_pp2,omenh,fem,nom,sg,fut,mid
verbinfl.w_pp2_futptcp_mp2m,w_pp2,omenhs,fem,gen,sg,fut,mid
verbinfl.w_pp2_futptcp_mp3m,w_pp2,omenh|,fem,dat,sg,fut,mid
verbinfl.w_pp2_futptcp_mp4m,w_pp2,omenhn,fem,acc,sg,fut,mid
verbinfl.w_pp2_futptcp_mp5m,w_pp2,omenh,fem,voc,sg,fut,mid

verbinfl.w_pp2_futptcp_mp6m,w_pp2,omena_,fem,nom,dual,fut,mid
verbinfl.w_pp2_futptcp_mp7m,w_pp2,omenain,fem,gen,dual,fut,mid
verbinfl.w_pp2_futptcp_mp8m,w_pp2,omenain,fem,dat,dual,fut,mid
verbinfl.w_pp2_futptcp_mp9m,w_pp2,omena_,fem,acc,dual,fut,mid
verbinfl.w_pp2_futptcp_mp10m,w_pp2,omena_,fem,voc,dual,fut,mid

verbinfl.w_pp2_futptcp_mp11m,w_pp2,omenai,fem,nom,pl,fut,mid
verbinfl.w_pp2_futptcp_mp12m,w_pp2,omenwn,fem,gen,pl,fut,mid
verbinfl.w_pp2_futptcp_mp13m,w_pp2,omenais,fem,dat,pl,fut,mid
verbinfl.w_pp2_futptcp_mp14m,w_pp2,omena_s,fem,acc,pl,fut,mid
verbinfl.w_pp2_futptcp_mp15m,w_pp2,omenai,fem,voc,pl,fut,mid




verbinfl.w_pp2_futptcp_mp1n,w_pp2,omenon,neut,nom,sg,fut,mid
verbinfl.w_pp2_futptcp_mp2n,w_pp2,omenou,neut,gen,sg,fut,mid
verbinfl.w_pp2_futptcp_mp3n,w_pp2,omenw|,neut,dat,sg,fut,mid
verbinfl.w_pp2_futptcp_mp4n,w_pp2,omenon,neut,acc,sg,fut,mid
verbinfl.w_pp2_futptcp_mp5n,w_pp2,omenon,neut,voc,sg,fut,mid

verbinfl.w_pp2_futptcp_mp6n,w_pp2,omenw,neut,nom,dual,fut,mid
verbinfl.w_pp2_futptcp_mp7n,w_pp2,omenoin,neut,gen,dual,fut,mid
verbinfl.w_pp2_futptcp_mp8n,w_pp2,omenoin,neut,dat,dual,fut,mid
verbinfl.w_pp2_futptcp_mp9n,w_pp2,omenw,neut,acc,dual,fut,mid
verbinfl.w_pp2_futptcp_mp10n,w_pp2,omenw,neut,voc,dual,fut,mid

verbinfl.w_pp2_futptcp_mp11n,w_pp2,omena,neut,nom,pl,fut,mid
verbinfl.w_pp2_futptcp_mp12n,w_pp2,omenwn,neut,gen,pl,fut,mid
verbinfl.w_pp2_futptcp_mp13n,w_pp2,omenois,neut,dat,pl,fut,mid
verbinfl.w_pp2_futptcp_mp14n,w_pp2,omena,neut,acc,pl,fut,mid
verbinfl.w_pp2_futptcp_mp15n,w_pp2,omena,neut,voc,pl,fut,mid
