RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.w_pp5_pftptcp_mp1m,w_pp5,me/nos,masc,nom,sg,pft,mid
verbinfl.w_pp5_pftptcp_mp2m,w_pp5,me/nou,masc,gen,sg,pft,mid
verbinfl.w_pp5_pftptcp_mp3m,w_pp5,me/nw|,masc,dat,sg,pft,mid
verbinfl.w_pp5_pftptcp_mp4m,w_pp5,me/non,masc,acc,sg,pft,mid
verbinfl.w_pp5_pftptcp_mp5m,w_pp5,me/ne,masc,voc,sg,pft,mid

verbinfl.w_pp5_pftptcp_mp6m,w_pp5,me/nw,masc,nom,dual,pft,mid
verbinfl.w_pp5_pftptcp_mp7m,w_pp5,me/noin,masc,gen,dual,pft,mid
verbinfl.w_pp5_pftptcp_mp8m,w_pp5,me/noin,masc,dat,dual,pft,mid
verbinfl.w_pp5_pftptcp_mp9m,w_pp5,me/nw,masc,acc,dual,pft,mid
verbinfl.w_pp5_pftptcp_mp10m,w_pp5,me/nw,masc,voc,dual,pft,mid

verbinfl.w_pp5_pftptcp_mp11m,w_pp5,me/noi,masc,nom,pl,pft,mid
verbinfl.w_pp5_pftptcp_mp12m,w_pp5,me/nwn,masc,gen,pl,pft,mid
verbinfl.w_pp5_pftptcp_mp13m,w_pp5,me/nois,masc,dat,pl,pft,mid
verbinfl.w_pp5_pftptcp_mp14m,w_pp5,me/nous,masc,acc,pl,pft,mid
verbinfl.w_pp5_pftptcp_mp15m,w_pp5,me/noi,masc,voc,pl,pft,mid





verbinfl.w_pp5_pftptcp_mp1m,w_pp5,me/nh,fem,nom,sg,pft,mid
verbinfl.w_pp5_pftptcp_mp2m,w_pp5,me/nhs,fem,gen,sg,pft,mid
verbinfl.w_pp5_pftptcp_mp3m,w_pp5,me/nh|,fem,dat,sg,pft,mid
verbinfl.w_pp5_pftptcp_mp4m,w_pp5,me/nhn,fem,acc,sg,pft,mid
verbinfl.w_pp5_pftptcp_mp5m,w_pp5,me/nh,fem,voc,sg,pft,mid

verbinfl.w_pp5_pftptcp_mp6m,w_pp5,me/na_,fem,nom,dual,pft,mid
verbinfl.w_pp5_pftptcp_mp7m,w_pp5,me/nain,fem,gen,dual,pft,mid
verbinfl.w_pp5_pftptcp_mp8m,w_pp5,me/nain,fem,dat,dual,pft,mid
verbinfl.w_pp5_pftptcp_mp9m,w_pp5,me/na_,fem,acc,dual,pft,mid
verbinfl.w_pp5_pftptcp_mp10m,w_pp5,me/na_,fem,voc,dual,pft,mid

verbinfl.w_pp5_pftptcp_mp11m,w_pp5,me/nai,fem,nom,pl,pft,mid
verbinfl.w_pp5_pftptcp_mp12m,w_pp5,me/nwn,fem,gen,pl,pft,mid
verbinfl.w_pp5_pftptcp_mp13m,w_pp5,me/nais,fem,dat,pl,pft,mid
verbinfl.w_pp5_pftptcp_mp14m,w_pp5,me/na_s,fem,acc,pl,pft,mid
verbinfl.w_pp5_pftptcp_mp15m,w_pp5,me/nai,fem,voc,pl,pft,mid




verbinfl.w_pp5_pftptcp_mp1n,w_pp5,me/non,neut,nom,sg,pft,mid
verbinfl.w_pp5_pftptcp_mp2n,w_pp5,me/nou,neut,gen,sg,pft,mid
verbinfl.w_pp5_pftptcp_mp3n,w_pp5,me/nw|,neut,dat,sg,pft,mid
verbinfl.w_pp5_pftptcp_mp4n,w_pp5,me/non,neut,acc,sg,pft,mid
verbinfl.w_pp5_pftptcp_mp5n,w_pp5,me/non,neut,voc,sg,pft,mid

verbinfl.w_pp5_pftptcp_mp6n,w_pp5,me/nw,neut,nom,dual,pft,mid
verbinfl.w_pp5_pftptcp_mp7n,w_pp5,me/noin,neut,gen,dual,pft,mid
verbinfl.w_pp5_pftptcp_mp8n,w_pp5,me/noin,neut,dat,dual,pft,mid
verbinfl.w_pp5_pftptcp_mp9n,w_pp5,me/nw,neut,acc,dual,pft,mid
verbinfl.w_pp5_pftptcp_mp10n,w_pp5,me/nw,neut,voc,dual,pft,mid

verbinfl.w_pp5_pftptcp_mp11n,w_pp5,me/na,neut,nom,pl,pft,mid
verbinfl.w_pp5_pftptcp_mp12n,w_pp5,me/nwn,neut,gen,pl,pft,mid
verbinfl.w_pp5_pftptcp_mp13n,w_pp5,me/nois,neut,dat,pl,pft,mid
verbinfl.w_pp5_pftptcp_mp14n,w_pp5,me/na,neut,acc,pl,pft,mid
verbinfl.w_pp5_pftptcp_mp15n,w_pp5,me/na,neut,voc,pl,pft,mid



verbinfl.w_pp5_pftptcp_mp1m,w_pp5,me/nos,masc,nom,sg,pft,pass
verbinfl.w_pp5_pftptcp_mp2m,w_pp5,me/nou,masc,gen,sg,pft,pass
verbinfl.w_pp5_pftptcp_mp3m,w_pp5,me/nw|,masc,dat,sg,pft,pass
verbinfl.w_pp5_pftptcp_mp4m,w_pp5,me/non,masc,acc,sg,pft,pass
verbinfl.w_pp5_pftptcp_mp5m,w_pp5,me/ne,masc,voc,sg,pft,pass

verbinfl.w_pp5_pftptcp_mp6m,w_pp5,me/nw,masc,nom,dual,pft,pass
verbinfl.w_pp5_pftptcp_mp7m,w_pp5,me/noin,masc,gen,dual,pft,pass
verbinfl.w_pp5_pftptcp_mp8m,w_pp5,me/noin,masc,dat,dual,pft,pass
verbinfl.w_pp5_pftptcp_mp9m,w_pp5,me/nw,masc,acc,dual,pft,pass
verbinfl.w_pp5_pftptcp_mp10m,w_pp5,me/nw,masc,voc,dual,pft,pass

verbinfl.w_pp5_pftptcp_mp11m,w_pp5,me/noi,masc,nom,pl,pft,pass
verbinfl.w_pp5_pftptcp_mp12m,w_pp5,me/nwn,masc,gen,pl,pft,pass
verbinfl.w_pp5_pftptcp_mp13m,w_pp5,me/nois,masc,dat,pl,pft,pass
verbinfl.w_pp5_pftptcp_mp14m,w_pp5,me/nous,masc,acc,pl,pft,pass
verbinfl.w_pp5_pftptcp_mp15m,w_pp5,me/noi,masc,voc,pl,pft,pass





verbinfl.w_pp5_pftptcp_mp1m,w_pp5,me/nh,fem,nom,sg,pft,pass
verbinfl.w_pp5_pftptcp_mp2m,w_pp5,me/nhs,fem,gen,sg,pft,pass
verbinfl.w_pp5_pftptcp_mp3m,w_pp5,me/nh|,fem,dat,sg,pft,pass
verbinfl.w_pp5_pftptcp_mp4m,w_pp5,me/nhn,fem,acc,sg,pft,pass
verbinfl.w_pp5_pftptcp_mp5m,w_pp5,me/nh,fem,voc,sg,pft,pass

verbinfl.w_pp5_pftptcp_mp6m,w_pp5,me/na_,fem,nom,dual,pft,pass
verbinfl.w_pp5_pftptcp_mp7m,w_pp5,me/nain,fem,gen,dual,pft,pass
verbinfl.w_pp5_pftptcp_mp8m,w_pp5,me/nain,fem,dat,dual,pft,pass
verbinfl.w_pp5_pftptcp_mp9m,w_pp5,me/na_,fem,acc,dual,pft,pass
verbinfl.w_pp5_pftptcp_mp10m,w_pp5,me/na_,fem,voc,dual,pft,pass

verbinfl.w_pp5_pftptcp_mp11m,w_pp5,me/nai,fem,nom,pl,pft,pass
verbinfl.w_pp5_pftptcp_mp12m,w_pp5,me/nwn,fem,gen,pl,pft,pass
verbinfl.w_pp5_pftptcp_mp13m,w_pp5,me/nais,fem,dat,pl,pft,pass
verbinfl.w_pp5_pftptcp_mp14m,w_pp5,me/na_s,fem,acc,pl,pft,pass
verbinfl.w_pp5_pftptcp_mp15m,w_pp5,me/nai,fem,voc,pl,pft,pass




verbinfl.w_pp5_pftptcp_mp1n,w_pp5,me/non,neut,nom,sg,pft,pass
verbinfl.w_pp5_pftptcp_mp2n,w_pp5,me/nou,neut,gen,sg,pft,pass
verbinfl.w_pp5_pftptcp_mp3n,w_pp5,me/nw|,neut,dat,sg,pft,pass
verbinfl.w_pp5_pftptcp_mp4n,w_pp5,me/non,neut,acc,sg,pft,pass
verbinfl.w_pp5_pftptcp_mp5n,w_pp5,me/non,neut,voc,sg,pft,pass

verbinfl.w_pp5_pftptcp_mp6n,w_pp5,me/nw,neut,nom,dual,pft,pass
verbinfl.w_pp5_pftptcp_mp7n,w_pp5,me/noin,neut,gen,dual,pft,pass
verbinfl.w_pp5_pftptcp_mp8n,w_pp5,me/noin,neut,dat,dual,pft,pass
verbinfl.w_pp5_pftptcp_mp9n,w_pp5,me/nw,neut,acc,dual,pft,pass
verbinfl.w_pp5_pftptcp_mp10n,w_pp5,me/nw,neut,voc,dual,pft,pass

verbinfl.w_pp5_pftptcp_mp11n,w_pp5,me/na,neut,nom,pl,pft,pass
verbinfl.w_pp5_pftptcp_mp12n,w_pp5,me/nwn,neut,gen,pl,pft,pass
verbinfl.w_pp5_pftptcp_mp13n,w_pp5,me/nois,neut,dat,pl,pft,pass
verbinfl.w_pp5_pftptcp_mp14n,w_pp5,me/na,neut,acc,pl,pft,pass
verbinfl.w_pp5_pftptcp_mp15n,w_pp5,me/na,neut,voc,pl,pft,pass
