RuleUrn,InflectionClass,Ending,Gender,Case,Number,VAdj
verbinfl.tos_1,w_regular,to/s,masc,nom,sg,vadj2
verbinfl.tos_2,w_regular,tou=,masc,gen,sg,vadj2
verbinfl.tos_3,w_regular,tw=|,masc,dat,sg,vadj2
verbinfl.tos_4,w_regular,to/n,masc,acc,sg,vadj2
verbinfl.tos_5,w_regular,te/,masc,voc,sg,vadj2

verbinfl.tos_6,w_regular,tw/,masc,nom,dual,vadj2
verbinfl.tos_7,w_regular,toi=n,masc,gen,dual,vadj2
verbinfl.tos_8,w_regular,toi=n,masc,dat,dual,vadj2
verbinfl.tos_9,w_regular,toi=n,masc,acc,dual,vadj2
verbinfl.tos_10,w_regular,tw/,masc,voc,dual,vadj2

verbinfl.tos_11,w_regular,toi/,masc,nom,pl,vadj2
verbinfl.tos_12,w_regular,tw=n,masc,gen,pl,vadj2
verbinfl.tos_13,w_regular,toi=s,masc,dat,pl,vadj2
verbinfl.tos_14,w_regular,tou/s,masc,acc,pl,vadj2
verbinfl.tos_15,w_regular,toi/,masc,voc,pl,vadj2


verbinfl.tos_16,w_regular,to/n,neut,nom,sg,vadj2
verbinfl.tos_17,w_regular,tou=,neut,gen,sg,vadj2
verbinfl.tos_18,w_regular,tw=|,neut,dat,sg,vadj2
verbinfl.tos_19,w_regular,to/n,neut,acc,sg,vadj2
verbinfl.tos_20,w_regular,to/n,neut,voc,sg,vadj2

verbinfl.tos_21,w_regular,tw/,neut,nom,dual,vadj2
verbinfl.tos_22,w_regular,toi=n,neut,gen,dual,vadj2
verbinfl.tos_23,w_regular,toi=n,neut,dat,dual,vadj2
verbinfl.tos_24,w_regular,toi=n,neut,acc,dual,vadj2
verbinfl.tos_25,w_regular,tw/,neut,voc,dual,vadj2

verbinfl.tos_26,w_regular,ta/,neut,nom,pl,vadj2
verbinfl.tos_27,w_regular,tw=n,neut,gen,pl,vadj2
verbinfl.tos_28,w_regular,toi=s,neut,dat,pl,vadj2
verbinfl.tos_29,w_regular,ta/,neut,acc,pl,vadj2
verbinfl.tos_30,w_regular,ta/,neut,voc,pl,vadj2


verbinfl.tos_31,w_regular,ta/,fem,nom,sg,vadj2
verbinfl.tos_32,w_regular,ta=s,fem,gen,sg,vadj2
verbinfl.tos_33,w_regular,ta=|,fem,dat,sg,vadj2
verbinfl.tos_34,w_regular,ta/n,fem,acc,sg,vadj2
verbinfl.tos_35,w_regular,ta/,fem,voc,sg,vadj2

verbinfl.tos_36,w_regular,ta/,fem,nom,dual,vadj2
verbinfl.tos_37,w_regular,tai=n,fem,gen,dual,vadj2
verbinfl.tos_38,w_regular,tai=n,fem,dat,dual,vadj2
verbinfl.tos_39,w_regular,tai=n,fem,acc,dual,vadj2
verbinfl.tos_40,w_regular,ta/,fem,voc,dual,vadj2

verbinfl.tos_41,w_regular,tai/,fem,nom,pl,vadj2
verbinfl.tos_42,w_regular,tw-=n,fem,gen,pl,vadj2
verbinfl.tos_43,w_regular,tai=s,fem,dat,pl,vadj2
verbinfl.tos_44,w_regular,ta/s,fem,acc,pl,vadj2
verbinfl.tos_45,w_regular,tai/,fem,voc,pl,vadj2
