RuleUrn,InflectionClass,Ending,Gender,Case,Number,VAdj
verbinfl.w_pp6_tos_1,vadj,to/s,masc,nom,sg,vadj2
verbinfl.w_pp6_tos_2,vadj,tou=,masc,gen,sg,vadj2
verbinfl.w_pp6_tos_3,vadj,tw=|,masc,dat,sg,vadj2
verbinfl.w_pp6_tos_4,vadj,to/n,masc,acc,sg,vadj2
verbinfl.w_pp6_tos_5,vadj,te/,masc,voc,sg,vadj2

verbinfl.w_pp6_tos_6,vadj,tw/,masc,nom,dual,vadj2
verbinfl.w_pp6_tos_7,vadj,toi=n,masc,gen,dual,vadj2
verbinfl.w_pp6_tos_8,vadj,toi=n,masc,dat,dual,vadj2
verbinfl.w_pp6_tos_9,vadj,toi=n,masc,acc,dual,vadj2
verbinfl.w_pp6_tos_10,vadj,tw/,masc,voc,dual,vadj2

verbinfl.w_pp6_tos_11,vadj,toi/,masc,nom,pl,vadj2
verbinfl.w_pp6_tos_12,vadj,tw=n,masc,gen,pl,vadj2
verbinfl.w_pp6_tos_13,vadj,toi=s,masc,dat,pl,vadj2
verbinfl.w_pp6_tos_14,vadj,tou/s,masc,acc,pl,vadj2
verbinfl.w_pp6_tos_15,vadj,toi/,masc,voc,pl,vadj2


verbinfl.w_pp6_tos_16,vadj,to/n,neut,nom,sg,vadj2
verbinfl.w_pp6_tos_17,vadj,tou=,neut,gen,sg,vadj2
verbinfl.w_pp6_tos_18,vadj,tw=|,neut,dat,sg,vadj2
verbinfl.w_pp6_tos_19,vadj,to/n,neut,acc,sg,vadj2
verbinfl.w_pp6_tos_20,vadj,to/n,neut,voc,sg,vadj2

verbinfl.w_pp6_tos_21,vadj,tw/,neut,nom,dual,vadj2
verbinfl.w_pp6_tos_22,vadj,toi=n,neut,gen,dual,vadj2
verbinfl.w_pp6_tos_23,vadj,toi=n,neut,dat,dual,vadj2
verbinfl.w_pp6_tos_24,vadj,toi=n,neut,acc,dual,vadj2
verbinfl.w_pp6_tos_25,vadj,tw/,neut,voc,dual,vadj2

verbinfl.w_pp6_tos_26,vadj,ta/,neut,nom,pl,vadj2
verbinfl.w_pp6_tos_27,vadj,tw=n,neut,gen,pl,vadj2
verbinfl.w_pp6_tos_28,vadj,toi=s,neut,dat,pl,vadj2
verbinfl.w_pp6_tos_29,vadj,ta/,neut,acc,pl,vadj2
verbinfl.w_pp6_tos_30,vadj,ta/,neut,voc,pl,vadj2


verbinfl.w_pp6_tos_31,vadj,ta/,fem,nom,sg,vadj2
verbinfl.w_pp6_tos_32,vadj,ta=s,fem,gen,sg,vadj2
verbinfl.w_pp6_tos_33,vadj,ta=|,fem,dat,sg,vadj2
verbinfl.w_pp6_tos_34,vadj,ta/n,fem,acc,sg,vadj2
verbinfl.w_pp6_tos_35,vadj,ta/,fem,voc,sg,vadj2

verbinfl.w_pp6_tos_36,vadj,ta/,fem,nom,dual,vadj2
verbinfl.w_pp6_tos_37,vadj,tai=n,fem,gen,dual,vadj2
verbinfl.w_pp6_tos_38,vadj,tai=n,fem,dat,dual,vadj2
verbinfl.w_pp6_tos_39,vadj,tai=n,fem,acc,dual,vadj2
verbinfl.w_pp6_tos_40,vadj,ta/,fem,voc,dual,vadj2

verbinfl.w_pp6_tos_41,vadj,tai/,fem,nom,pl,vadj2
verbinfl.w_pp6_tos_42,vadj,tw-=n,fem,gen,pl,vadj2
verbinfl.w_pp6_tos_43,vadj,tai=s,fem,dat,pl,vadj2
verbinfl.w_pp6_tos_44,vadj,ta/s,fem,acc,pl,vadj2
verbinfl.w_pp6_tos_45,vadj,tai/,fem,voc,pl,vadj2
