RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_pres_imptv2,aor2,e,2nd,sg,aor,imptv,act
verbinfl.w_pres_imptv3,aor2,e/tw,3rd,sg,aor,imptv,act

verbinfl.w_pres_imptv4,aor2,eton,2nd,dual,aor,imptv,act
verbinfl.w_pres_imptv5,aor2,e/twn,3rd,dual,aor,imptv,act

verbinfl.w_pres_imptv7,aor2,ete,2nd,pl,aor,imptv,act
verbinfl.w_pres_imptv8,aor2,o/ntwn,3rd,pl,aor,imptv,act


verbinfl.w_pres_imptv10,aor2,ou=,2nd,sg,aor,imptv,mid
verbinfl.w_pres_imptv11,aor2,e/sqw,3rd,sg,aor,imptv,mid

verbinfl.w_pres_imptv12,aor2,esqon,2nd,dual,aor,imptv,mid
verbinfl.w_pres_imptv13,aor2,e/sqwn,3rd,dual,aor,imptv,mid


verbinfl.w_pres_imptv13,aor2,esqe,2nd,pl,aor,imptv,mid
verbinfl.w_pres_imptv14,aor2,e/sqwn,3rd,pl,aor,imptv,mid






