RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_aor2_indic1,aor2,on,1st,sg,aor,indic,act
verbinfl.w_aor2_indic2,aor2,es,2nd,sg,aor,indic,act
verbinfl.w_aor2_indic3,aor2,e,3rd,sg,aor,indic,act

verbinfl.w_aor2_indic4,aor2,eton,2nd,dual,aor,indic,act
verbinfl.w_aor2_indic5,aor2,ethn,3rd,dual,aor,indic,act

verbinfl.w_aor2_indic6,aor2,omen,1st,pl,aor,indic,act
verbinfl.w_aor2_indic7,aor2,ete,2nd,pl,aor,indic,act
verbinfl.w_aor2_indic8,aor2,on,3rd,pl,aor,indic,act

verbinfl.w_aor2_indic9,aor2,omhn,1st,sg,aor,indic,mid
verbinfl.w_aor2_indic10,aor2,ou,2nd,sg,aor,indic,mid
verbinfl.w_aor2_indic11,aor2,eto,3rd,sg,aor,indic,mid

verbinfl.w_aor2_indic12,aor2,esqon,2nd,dual,aor,indic,mid
verbinfl.w_aor2_indic13,aor2,esqhn,3rd,dual,aor,indic,mid


verbinfl.w_aor2_indic14,aor2,omeqa,1st,pl,aor,indic,mid
verbinfl.w_aor2_indic15,aor2,esqe,2nd,pl,aor,indic,mid
verbinfl.w_aor2_indic16,aor2,onto,3rd,pl,aor,indic,mid
