RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.aor2_opt1,aor2,oimi,1st,sg,aor,opt,act
verbinfl.aor2_opt2,aor2,ois,2nd,sg,aor,opt,act
verbinfl.aor2_opt3,aor2,oi,3rd,sg,aor,opt,act

verbinfl.aor2_opt4,aor2,oiton,2nd,dual,aor,opt,act
verbinfl.aor2_opt5,aor2,oithn,3rd,dual,aor,opt,act

verbinfl.aor2_opt6,aor2,oimen,1st,pl,aor,opt,act
verbinfl.aor2_opt7,aor2,oite,2nd,pl,aor,opt,act
verbinfl.aor2_opt8,aor2,oien,3rd,pl,aor,opt,act


verbinfl.aor2_opt9,aor2,oimhn,1st,sg,aor,opt,mid
verbinfl.aor2_opt10,aor2,oio,2nd,sg,aor,opt,mid
verbinfl.aor2_opt11,aor2,oito,3rd,sg,aor,opt,mid

verbinfl.aor2_opt12,aor2,oisqon,2nd,dual,aor,opt,mid
verbinfl.aor2_opt13,aor2,oisqhn,3rd,dual,aor,opt,mid

verbinfl.aor2_opt14,aor2,oimeqa,1st,pl,aor,opt,mid
verbinfl.aor2_opt15,aor2,oisqe,2nd,pl,aor,opt,mid
verbinfl.aor2_opt16,aor2,ointo,3rd,pl,aor,opt,mid




verbinfl.aor2_opt7,aor6,oimhn,1st,sg,aor,opt,pass
verbinfl.aor2_opt18,aor6,oio,2nd,sg,aor,opt,pass
verbinfl.aor2_opt19,aor6,oito,3rd,sg,aor,opt,pass

verbinfl.aor2_opt20,aor6,oisqon,2nd,dual,aor,opt,pass
verbinfl.aor2_opt21,aor6,oisqhn,3rd,dual,aor,opt,pass

verbinfl.aor2_opt22,aor6,oimeqa,1st,pl,aor,opt,pass
verbinfl.aor2_opt23,aor6,oisqe,2nd,pl,aor,opt,pass
verbinfl.aor2_opt24,aor6,ointo,3rd,pl,aor,opt,pass
