RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.aor2_subj1,aor2,w,1st,sg,aor,subj,act
verbinfl.aor2_subj2,aor2,h|s,2nd,sg,aor,subj,act
verbinfl.aor2_subj3,aor2,h|,3rd,sg,aor,subj,act

verbinfl.aor2_subj4,aor2,hton,2nd,dual,aor,subj,act
verbinfl.aor2_subj5,aor2,hton,3rd,dual,aor,subj,act

verbinfl.aor2_subj6,aor2,wmen,1st,pl,aor,subj,act
verbinfl.aor2_subj7,aor2,hte,2nd,pl,aor,subj,act
verbinfl.aor2_subj8,aor2,wsi,3rd,pl,aor,subj,act
verbinfl.aor2_subj8n,aor2,wsin,3rd,pl,aor,subj,act

verbinfl.aor2_subj9,aor2,wmai,1st,sg,aor,subj,mid
verbinfl.aor2_subj10,aor2,h|,2nd,sg,aor,subj,mid
verbinfl.aor2_subj11,aor2,htai,3rd,sg,aor,subj,mid

verbinfl.aor2_subj12,aor2,hsqon,2nd,dual,aor,subj,mid
verbinfl.aor2_subj13,aor2,hsqon,3rd,dual,aor,subj,mid

verbinfl.aor2_subj14,aor2,wmeqa,1st,pl,aor,subj,mid
verbinfl.aor2_subj15,aor2,hsqe,2nd,pl,aor,subj,mid
verbinfl.aor2_subj16,aor2,wntai,3rd,pl,aor,subj,mid


verbinfl.aor2_subj17,aor6,wmai,1st,sg,aor,subj,pass
verbinfl.aor2_subj18,aor6,h|,2nd,sg,aor,subj,pass
verbinfl.aor2_subj19,aor6,htai,3rd,sg,aor,subj,pass

verbinfl.aor2_subj20,aor6,hsqon,2nd,dual,aor,subj,pass
verbinfl.aor2_subj21,aor6,hsqon,3rd,dual,aor,subj,pass

verbinfl.aor2_subj22,aor6,wmeqa,1st,pl,aor,subj,pass
verbinfl.aor2_subj23,aor6,hsqe,2nd,pl,aor,subj,pass
verbinfl.aor2_subj24,aor6,wntai,3rd,pl,aor,subj,pass
