RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.aw_aor_indic1,aw_contract,a,1st,sg,aor,indic,act
verbinfl.aw_aor_indic2,aw_contract,as,2nd,sg,aor,indic,act
verbinfl.aw_aor_indic3,aw_contract,e,3rd,sg,aor,indic,act


verbinfl.aw_aor_indic4,aw_contract,aton,2nd,dual,aor,indic,act
verbinfl.aw_aor_indic5,aw_contract,athn,3rd,dual,aor,indic,act

verbinfl.aw_aor_indic6,aw_contract,amen,1st,pl,aor,indic,act
verbinfl.aw_aor_indic7,aw_contract,ate,2nd,pl,aor,indic,act
verbinfl.aw_aor_indic8,aw_contract,an,3rd,plf,aor,indic,act


verbinfl.aw_aor_indic9,aw_contract,amhn,1st,sg,aor,indic,mid
verbinfl.aw_aor_indic11,aw_contract,w,2nd,sg,aor,indic,mid
verbinfl.aw_aor_indic12,aw_contract,ato,3rd,sg,aor,indic,mid

verbinfl.aw_aor_indic13,aw_contract,asqon,2nd,dual,aor,indic,mid
verbinfl.aw_aor_indic14,aw_contract,asqhn,3rd,dual,aor,indic,mid

verbinfl.aw_aor_indic15,aw_contract,ameqa,1st,pl,aor,indic,mid
verbinfl.aw_aor_indic16,aw_contract,asqe,2nd,pl,aor,indic,mid
verbinfl.aw_aor_indic17,aw_contract,anto,3rd,pl,aor,indic,mid


verbinfl.aw_aor_indic18,aw_contract,hn,1st,sg,aor,indic,pass
verbinfl.aw_aor_indic19,aw_contract,hs,2nd,sg,aor,indic,pass
verbinfl.aw_aor_indic20,aw_contract,h,3rd,sg,aor,indic,pass

verbinfl.aw_aor_indic21,aw_contract,hton,2nd,dual,aor,indic,pass
verbinfl.aw_aor_indic22,aw_contract,hthn,3rd,dual,aor,indic,pass

verbinfl.aw_aor_indic23,aw_contract,hmen,1st,pl,aor,indic,pass
verbinfl.aw_aor_indic24,aw_contract,hte,2nd,pl,aor,indic,pass
verbinfl.aw_aor_indic25,aw_contract,hsan,3rd,pl,aor,indic,pass
