RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.aw_aor_opt1,aw_contract,aimi,1st,sg,aor,opt,act
verbinfl.aw_aor_opt2,aw_contract,ais,2nd,sg,aor,opt,act
verbinfl.aw_aor_opt3,aw_contract,ai,3rd,sg,aor,opt,act

verbinfl.aw_aor_opt4,aw_contract,aiton,2nd,dual,aor,opt,act
verbinfl.aw_aor_opt5,aw_contract,aithn,3rd,dual,aor,opt,act

verbinfl.aw_aor_opt6,aw_contract,aimen,1st,pl,aor,opt,act
verbinfl.aw_aor_opt7,aw_contract,aite,2nd,pl,aor,opt,act
verbinfl.aw_aor_opt8,aw_contract,aien,3rd,pl,aor,opt,act
verbinfl.aw_aor_opt8c,aw_contract,eian,3rd,pl,aor,opt,act


verbinfl.aw_aor_opt9,aw_contract,aimhn,1st,sg,aor,opt,mid
verbinfl.aw_aor_opt10,aw_contract,aio,2nd,sg,aor,opt,mid
verbinfl.aw_aor_opt11,aw_contract,aito,3rd,sg,aor,opt,mid

verbinfl.aw_aor_opt12,aw_contract,aisqon,2nd,dual,aor,opt,mid
verbinfl.aw_aor_opt13,aw_contract,aisqhn,3rd,dual,aor,opt,mid

verbinfl.aw_aor_opt14,aw_contract,aimeqa,1st,pl,aor,opt,mid
verbinfl.aw_aor_opt15,aw_contract,aisqe,2nd,pl,aor,opt,mid
verbinfl.aw_aor_opt16,aw_contract,ainto,3rd,pl,aor,opt,mid




verbinfl.aw_aor_opt7,aw_contract,eihn,1st,sg,aor,opt,pass
verbinfl.aw_aor_opt18,aw_contract,eihs,2nd,sg,aor,opt,pass
verbinfl.aw_aor_opt19,aw_contract,eih,3rd,sg,aor,opt,pass

verbinfl.aw_aor_opt20,aw_contract,eihton,2nd,dual,aor,opt,pass
verbinfl.aw_aor_opt20c,aw_contract,ei=ton,2nd,dual,aor,opt,pass

verbinfl.aw_aor_opt21,aw_contract,ei=thn,3rd,dual,aor,opt,pass
verbinfl.aw_aor_opt21c,aw_contract,eihthn,3rd,dual,aor,opt,pass




verbinfl.aw_aor_opt22,aw_contract,ei=men,1st,pl,aor,opt,pass
verbinfl.aw_aor_opt22c,aw_contract,eihmen,1st,pl,aor,opt,pass


verbinfl.aw_aor_opt23,aw_contract,ei=te,2nd,pl,aor,opt,pass
verbinfl.aw_aor_opt23c,aw_contract,eihte,2nd,pl,aor,opt,pass

verbinfl.aw_aor_opt24,aw_contract,ei=en,3rd,pl,aor,opt,pass
verbinfl.aw_aor_opt24,aw_contract,eihsan,3rd,pl,aor,opt,pass
