RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.aw_fut_opt1,aw_contract,oimi,1st,sg,fut,opt,act
verbinfl.aw_fut_opt2,aw_contract,ois,2nd,sg,fut,opt,act
verbinfl.aw_fut_opt3,aw_contract,oi,3rd,sg,fut,opt,act

verbinfl.aw_fut_opt4,aw_contract,oiton,2nd,dual,fut,opt,act
verbinfl.aw_fut_opt5,aw_contract,oithn,3rd,dual,fut,opt,act

verbinfl.aw_fut_opt6,aw_contract,oimen,1st,pl,fut,opt,act
verbinfl.aw_fut_opt7,aw_contract,oite,2nd,pl,fut,opt,act
verbinfl.aw_fut_opt8,aw_contract,wsi,3rd,pl,fut,opt,act
verbinfl.aw_fut_opt8n,oien,wsin,3rd,pl,fut,opt,act


verbinfl.aw_fut_opt9,aw_contract,oimhn,1st,sg,fut,opt,mid
verbinfl.aw_fut_opt10,aw_contract,oio,2nd,sg,fut,opt,mid
verbinfl.aw_fut_opt11,aw_contract,oito,3rd,sg,fut,opt,mid

verbinfl.aw_fut_opt12,aw_contract,oisqon,2nd,dual,fut,opt,mid
verbinfl.aw_fut_opt13,aw_contract,oisqhn,3rd,dual,fut,opt,mid

verbinfl.aw_fut_opt14,aw_contract,oimeqa,1st,pl,fut,opt,mid
verbinfl.aw_fut_opt15,aw_contract,oisqe,2nd,pl,fut,opt,mid
verbinfl.aw_fut_opt16,aw_contract,ointo,3rd,pl,fut,opt,mid




verbinfl.aw_fut_opt7,aw_contract,hsoimhn,1st,sg,fut,opt,pass
verbinfl.aw_fut_opt18,aw_contract,hsoio,2nd,sg,fut,opt,pass
verbinfl.aw_fut_opt19,aw_contract,hsoito,3rd,sg,fut,opt,pass

verbinfl.aw_fut_opt20,aw_contract,hsoisqon,2nd,dual,fut,opt,pass
verbinfl.aw_fut_opt21,aw_contract,hsoisqhn,3rd,dual,fut,opt,pass

verbinfl.aw_fut_opt22,aw_contract,hsoimeqa,1st,pl,fut,opt,pass
verbinfl.aw_fut_opt23,aw_contract,hsoisqe,2nd,pl,fut,opt,pass
verbinfl.aw_fut_opt24,aw_contract,hsointo,3rd,pl,fut,opt,pass
