RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.aw_pft_indic1,aw_contract,a,1st,sg,pft,indic,act
verbinfl.aw_pft_indic2,aw_contract,as,2nd,sg,pft,indic,act
verbinfl.aw_pft_indic3,aw_contract,e,3rd,sg,pft,indic,act

verbinfl.aw_pft_indic4,aw_contract,aton,2nd,dual,pft,indic,act
verbinfl.aw_pft_indic5,aw_contract,aton,3rd,dual,pft,indic,act

verbinfl.aw_pft_indic6,aw_contract,amen,1st,pl,pft,indic,act
verbinfl.aw_pft_indic7,aw_contract,ate,2nd,pl,pft,indic,act
verbinfl.aw_pft_indic8,aw_contract,a_si,3rd,plf,pft,indic,act


verbinfl.aw_pft_indic9,aw_contract,hmai,1st,sg,pft,indic,mid
verbinfl.aw_pft_indic11,aw_contract,hsai,2nd,sg,pft,indic,mid
verbinfl.aw_pft_indic12,aw_contract,htai,3rd,sg,pft,indic,mid

verbinfl.aw_pft_indic13,aw_contract,hsqon,2nd,dual,pft,indic,mid
verbinfl.aw_pft_indic14,aw_contract,hsqon,3rd,dual,pft,indic,mid

verbinfl.aw_pft_indic15,aw_contract,hmeqa,1st,pl,pft,indic,mid
verbinfl.aw_pft_indic16,aw_contract,hsqe,2nd,pl,pft,indic,mid
verbinfl.aw_pft_indic17,aw_contract,hntai,3rd,pl,pft,indic,mid


verbinfl.aw_pft_indic18,aw_contract,hmai,1st,sg,pft,indic,pass
verbinfl.aw_pft_indic19,aw_contract,hsai,2nd,sg,pft,indic,pass
verbinfl.aw_pft_indic2o,aw_contract,htai,3rd,sg,pft,indic,pass

verbinfl.aw_pft_indic21,aw_contract,hsqon,2nd,dual,pft,indic,pass
verbinfl.aw_pft_indic22,aw_contract,hsqon,3rd,dual,pft,indic,pass

verbinfl.aw_pft_indic23,aw_contract,hmeqa,1st,pl,pft,indic,pass
verbinfl.aw_pft_indic24,aw_contract,hsqe,2nd,pl,pft,indic,pass
verbinfl.aw_pft_indic25,aw_contract,hntai,3rd,pl,pft,indic,pass
