RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.aw_plupft_indic1,aw_contract,h,1st,sg,plupft,indic,act
verbinfl.aw_plupft_indic2,aw_contract,hs,2nd,sg,plupft,indic,act
verbinfl.aw_plupft_indic3,aw_contract,ei,3rd,sg,plupft,indic,act
verbinfl.aw_plupft_indic3n,aw_contract,ein,3rd,sg,plupft,indic,act

verbinfl.aw_plupft_indic4,aw_contract,eton,2nd,dual,plupft,indic,act
verbinfl.aw_plupft_indic5,aw_contract,ethn,3rd,dual,plupft,indic,act

verbinfl.aw_plupft_indic6,aw_contract,emen,1st,pl,plupft,indic,act
verbinfl.aw_plupft_indic7,aw_contract,ete,2nd,pl,plupft,indic,act
verbinfl.aw_plupft_indic8,aw_contract,esan,3rd,plf,plupft,indic,act


verbinfl.aw_plupft_indic9,aw_contract,mhn,1st,sg,plupft,indic,mid
verbinfl.aw_plupft_indic11,aw_contract,so,2nd,sg,plupft,indic,mid
verbinfl.aw_plupft_indic12,aw_contract,to,3rd,sg,plupft,indic,mid

verbinfl.aw_plupft_indic13,aw_contract,sqon,2nd,dual,plupft,indic,mid
verbinfl.aw_plupft_indic14,aw_contract,sqhn,3rd,dual,plupft,indic,mid

verbinfl.aw_plupft_indic15,aw_contract,meqa,1st,pl,plupft,indic,mid
verbinfl.aw_plupft_indic16,aw_contract,sqe,2nd,pl,plupft,indic,mid
verbinfl.aw_plupft_indic17,aw_contract,nto,3rd,pl,plupft,indic,mid


verbinfl.aw_plupft_indic18,aw_contract,mhn,1st,sg,plupft,indic,pass
verbinfl.aw_plupft_indic19,aw_contract,so,2nd,sg,plupft,indic,pass
verbinfl.aw_plupft_indic2o,aw_contract,to,3rd,sg,plupft,indic,pass

verbinfl.aw_plupft_indic21,aw_contract,sqon,2nd,dual,plupft,indic,pass
verbinfl.aw_plupft_indic22,aw_contract,sqhn,3rd,dual,plupft,indic,pass

verbinfl.aw_plupft_indic23,aw_contract,meqa,1st,pl,plupft,indic,pass
verbinfl.aw_plupft_indic24,aw_contract,sqe,2nd,pl,plupft,indic,pass
verbinfl.aw_plupft_indic25,aw_contract,nto,3rd,pl,plupft,indic,pass
