RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.aw_pres_imptv2,aw_contract,ei,2nd,sg,pres,imptv,act
verbinfl.aw_pres_imptv3,aw_contract,eitw,3rd,sg,pres,imptv,act
verbinfl.aw_pres_imptv4,aw_contract,ei=ton,2nd,dual,pres,imptv,act
verbinfl.aw_pres_imptv5,aw_contract,e/twn,3rd,dual,pres,imptv,act
verbinfl.aw_pres_imptv7,aw_contract,ei=te,2nd,pl,pres,imptv,act
verbinfl.aw_pres_imptv8,aw_contract,o/ntwn,3rd,pl,pres,imptv,act

verbinfl.aw_pres_imptv10,aw_contract,ou=,2nd,sg,pres,imptv,mid
verbinfl.aw_pres_imptv11,aw_contract,e/sqw,3rd,sg,pres,imptv,mid
verbinfl.aw_pres_imptv12,aw_contract,ei=sqon,2nd,dual,pres,imptv,mid
verbinfl.aw_pres_imptv13,aw_contract,e/sqwn,3rd,dual,pres,imptv,mid
verbinfl.aw_pres_imptv14,aw_contract,ei=sqe,2rd,pl,pres,imptv,mid
verbinfl.aw_pres_imptv15,aw_contract,ei/sqwn,3rd,pl,pres,imptv,mid

verbinfl.aw_pres_imptv16,aw_contract,ou=,2nd,sg,pres,imptv,pass
verbinfl.aw_pres_imptv17,aw_contract,e/sqw,3rd,sg,pres,imptv,pass
verbinfl.aw_pres_imptv18,aw_contract,ei=sqon,2nd,dual,pres,imptv,pass
verbinfl.aw_pres_imptv19,aw_contract,ei/sqwn,3rd,dual,pres,imptv,pass
verbinfl.aw_pres_imptv20,aw_contract,ei=sqe,2rd,pl,pres,imptv,mid
verbinfl.aw_pres_imptv21,aw_contract,ei/sqwn,3rd,pl,pres,imptv,mid
