RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.ew_aor_indic1,ew_contract,a,1st,sg,aor,indic,act
verbinfl.ew_aor_indic2,ew_contract,as,2nd,sg,aor,indic,act
verbinfl.ew_aor_indic3,ew_contract,e,3rd,sg,aor,indic,act


verbinfl.ew_aor_indic4,ew_contract,aton,2nd,dual,aor,indic,act
verbinfl.ew_aor_indic5,ew_contract,athn,3rd,dual,aor,indic,act

verbinfl.ew_aor_indic6,ew_contract,amen,1st,pl,aor,indic,act
verbinfl.ew_aor_indic7,ew_contract,ate,2nd,pl,aor,indic,act
verbinfl.ew_aor_indic8,ew_contract,an,3rd,plf,aor,indic,act


verbinfl.ew_aor_indic9,ew_contract,amhn,1st,sg,aor,indic,mid
verbinfl.ew_aor_indic11,ew_contract,w,2nd,sg,aor,indic,mid
verbinfl.ew_aor_indic12,ew_contract,ato,3rd,sg,aor,indic,mid

verbinfl.ew_aor_indic13,ew_contract,asqon,2nd,dual,aor,indic,mid
verbinfl.ew_aor_indic14,ew_contract,asqhn,3rd,dual,aor,indic,mid

verbinfl.ew_aor_indic15,ew_contract,ameqa,1st,pl,aor,indic,mid
verbinfl.ew_aor_indic16,ew_contract,asqe,2nd,pl,aor,indic,mid
verbinfl.ew_aor_indic17,ew_contract,anto,3rd,pl,aor,indic,mid


verbinfl.ew_aor_indic18,ew_contract,hn,1st,sg,aor,indic,pass
verbinfl.ew_aor_indic19,ew_contract,hs,2nd,sg,aor,indic,pass
verbinfl.ew_aor_indic20,ew_contract,h,3rd,sg,aor,indic,pass

verbinfl.ew_aor_indic21,ew_contract,hton,2nd,dual,aor,indic,pass
verbinfl.ew_aor_indic22,ew_contract,hthn,3rd,dual,aor,indic,pass

verbinfl.ew_aor_indic23,ew_contract,hmen,1st,pl,aor,indic,pass
verbinfl.ew_aor_indic24,ew_contract,hte,2nd,pl,aor,indic,pass
verbinfl.ew_aor_indic25,ew_contract,hsan,3rd,pl,aor,indic,pass
