RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.ew_aor_subj1,ew_contract,w,1st,sg,aor,subj,act
verbinfl.ew_aor_subj2,ew_contract,h|s,2nd,sg,aor,subj,act
verbinfl.ew_aor_subj3,ew_contract,h|,3rd,sg,aor,subj,act

verbinfl.ew_aor_subj4,ew_contract,hton,2nd,dual,aor,subj,act
verbinfl.ew_aor_subj5,ew_contract,hton,3rd,dual,aor,subj,act

verbinfl.ew_aor_subj6,ew_contract,wmen,1st,pl,aor,subj,act
verbinfl.ew_aor_subj7,ew_contract,hte,2nd,pl,aor,subj,act
verbinfl.ew_aor_subj8,ew_contract,wsi,3rd,pl,aor,subj,act
verbinfl.ew_aor_subj8n,ew_contract,wsin,3rd,pl,aor,subj,act

verbinfl.ew_aor_subj9,ew_contract,wmai,1st,sg,aor,subj,mid
verbinfl.ew_aor_subj10,ew_contract,h|,2nd,sg,aor,subj,mid
verbinfl.ew_aor_subj11,ew_contract,htai,3rd,sg,aor,subj,mid

verbinfl.ew_aor_subj12,ew_contract,hsqon,2nd,dual,aor,subj,mid
verbinfl.ew_aor_subj13,ew_contract,hsqon,3rd,dual,aor,subj,mid

verbinfl.ew_aor_subj14,ew_contract,wmeqa,1st,pl,aor,subj,mid
verbinfl.ew_aor_subj15,ew_contract,hsqe,2nd,pl,aor,subj,mid
verbinfl.ew_aor_subj16,ew_contract,wntai,3rd,pl,aor,subj,mid


verbinfl.ew_aor_subj17,ew_contract,w=,1st,sg,aor,subj,pass
verbinfl.ew_aor_subj18,ew_contract,h=|s,2nd,sg,aor,subj,pass
verbinfl.ew_aor_subj19,ew_contract,h=|,3rd,sg,aor,subj,pass

verbinfl.ew_aor_subj20,ew_contract,h=ton,2nd,dual,aor,subj,pass
verbinfl.ew_aor_subj21,ew_contract,h=ton,3rd,dual,aor,subj,pass

verbinfl.ew_aor_subj22,ew_contract,w=men,1st,pl,aor,subj,pass
verbinfl.ew_aor_subj23,ew_contract,h=te,2nd,pl,aor,subj,pass
verbinfl.ew_aor_subj24,ew_contract,w=si,3rd,pl,aor,subj,pass
