RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.ew_pft_indic1,ew_contract,a,1st,sg,pft,indic,act
verbinfl.ew_pft_indic2,ew_contract,as,2nd,sg,pft,indic,act
verbinfl.ew_pft_indic3,ew_contract,e,3rd,sg,pft,indic,act

verbinfl.ew_pft_indic4,ew_contract,aton,2nd,dual,pft,indic,act
verbinfl.ew_pft_indic5,ew_contract,aton,3rd,dual,pft,indic,act

verbinfl.ew_pft_indic6,ew_contract,amen,1st,pl,pft,indic,act
verbinfl.ew_pft_indic7,ew_contract,ate,2nd,pl,pft,indic,act
verbinfl.ew_pft_indic8,ew_contract,a_si,3rd,plf,pft,indic,act


verbinfl.ew_pft_indic9,ew_contract,hmai,1st,sg,pft,indic,mid
verbinfl.ew_pft_indic11,ew_contract,hsai,2nd,sg,pft,indic,mid
verbinfl.ew_pft_indic12,ew_contract,htai,3rd,sg,pft,indic,mid

verbinfl.ew_pft_indic13,ew_contract,hsqon,2nd,dual,pft,indic,mid
verbinfl.ew_pft_indic14,ew_contract,hsqon,3rd,dual,pft,indic,mid

verbinfl.ew_pft_indic15,ew_contract,hmeqa,1st,pl,pft,indic,mid
verbinfl.ew_pft_indic16,ew_contract,hsqe,2nd,pl,pft,indic,mid
verbinfl.ew_pft_indic17,ew_contract,hntai,3rd,pl,pft,indic,mid


verbinfl.ew_pft_indic18,ew_contract,hmai,1st,sg,pft,indic,pass
verbinfl.ew_pft_indic19,ew_contract,hsai,2nd,sg,pft,indic,pass
verbinfl.ew_pft_indic2o,ew_contract,htai,3rd,sg,pft,indic,pass

verbinfl.ew_pft_indic21,ew_contract,hsqon,2nd,dual,pft,indic,pass
verbinfl.ew_pft_indic22,ew_contract,hsqon,3rd,dual,pft,indic,pass

verbinfl.ew_pft_indic23,ew_contract,hmeqa,1st,pl,pft,indic,pass
verbinfl.ew_pft_indic24,ew_contract,hsqe,2nd,pl,pft,indic,pass
verbinfl.ew_pft_indic25,ew_contract,hntai,3rd,pl,pft,indic,pass
