RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.ew_pres_imptv2,ew_contract,ei,2nd,sg,pres,imptv,act
verbinfl.ew_pres_imptv3,ew_contract,eitw,3rd,sg,pres,imptv,act
verbinfl.ew_pres_imptv4,ew_contract,ei=ton,2nd,dual,pres,imptv,act
verbinfl.ew_pres_imptv5,ew_contract,e/twn,3rd,dual,pres,imptv,act
verbinfl.ew_pres_imptv7,ew_contract,ei=te,2nd,pl,pres,imptv,act
verbinfl.ew_pres_imptv8,ew_contract,o/ntwn,3rd,pl,pres,imptv,act

verbinfl.ew_pres_imptv10,ew_contract,ou=,2nd,sg,pres,imptv,mid
verbinfl.ew_pres_imptv11,ew_contract,e/sqw,3rd,sg,pres,imptv,mid
verbinfl.ew_pres_imptv12,ew_contract,ei=sqon,2nd,dual,pres,imptv,mid
verbinfl.ew_pres_imptv13,ew_contract,e/sqwn,3rd,dual,pres,imptv,mid
verbinfl.ew_pres_imptv14,ew_contract,ei=sqe,2rd,pl,pres,imptv,mid
verbinfl.ew_pres_imptv15,ew_contract,ei/sqwn,3rd,pl,pres,imptv,mid

verbinfl.ew_pres_imptv16,ew_contract,ou=,2nd,sg,pres,imptv,pass
verbinfl.ew_pres_imptv17,ew_contract,e/sqw,3rd,sg,pres,imptv,pass
verbinfl.ew_pres_imptv18,ew_contract,ei=sqon,2nd,dual,pres,imptv,pass
verbinfl.ew_pres_imptv19,ew_contract,ei/sqwn,3rd,dual,pres,imptv,pass
verbinfl.ew_pres_imptv20,ew_contract,ei=sqe,2rd,pl,pres,imptv,mid
verbinfl.ew_pres_imptv21,ew_contract,ei/sqwn,3rd,pl,pres,imptv,mid
