RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.m_pp5_pft1,m_pp5,mmai,1st,sg,pft,indic,mid
verbinfl.m_pp5_pft2,m_pp5,yai,2nd,sg,pft,indic,mid
verbinfl.m_pp5_pft3,m_pp5,ptai,3rd,sg,pft,indic,mid

verbinfl.m_pp5_pft4,m_pp5,fqon,2nd,dual,pft,indic,mid
verbinfl.m_pp5_pft5,m_pp5,fqon,3rd,dual,pft,indic,mid

verbinfl.m_pp5_pft6,m_pp5,mmeqa,1st,pl,pft,indic,mid
verbinfl.m_pp5_pft7,m_pp5,fqe,2nd,pl,pft,indic,mid

verbinfl.m_pp5_pft8,m_pp5,mmai,1st,sg,pft,indic,pass
verbinfl.m_pp5_pft9,m_pp5,yai,2nd,sg,pft,indic,pass
verbinfl.m_pp5_pft10,m_pp5,ptai,3rd,sg,pft,indic,pass

verbinfl.m_pp5_pft11,m_pp5,fqon,2nd,dual,pft,indic,pass
verbinfl.m_pp5_pft12,m_pp5,fqon,3rd,dual,pft,indic,pass

verbinfl.m_pp5_pft13,m_pp5,mmeqa,1st,pl,pft,indic,pass
verbinfl.m_pp5_pft14,m_pp5,fqe,2nd,pl,pft,indic,pass




verbinfl.m_pp5_plup1,m_pp5,mmhn,1st,sg,plupft,indic,mid
verbinfl.m_pp5_plup2,m_pp5,yo,2nd,sg,plupft,indic,mid
verbinfl.m_pp5_plup3,m_pp5,pto,3rd,sg,plupft,indic,mid

verbinfl.m_pp5_plup4,m_pp5,fqon,2nd,dual,plupft,indic,mid
verbinfl.m_pp5_plup5,m_pp5,fqhn,3rd,dual,plupft,indic,mid

verbinfl.m_pp5_plup6,m_pp5,mmeqa,1st,pl,plupft,indic,mid
verbinfl.m_pp5_plup7,m_pp5,fqe,2nd,pl,plupft,indic,mid

verbinfl.m_pp5_plup8,m_pp5,mmhn,1st,sg,plupft,indic,pass
verbinfl.m_pp5_plup9,m_pp5,yo,2nd,sg,plupft,indic,pass
verbinfl.m_pp5_plup10,m_pp5,pto,3rd,sg,plupft,indic,pass

verbinfl.m_pp5_plup11,m_pp5,fqon,2nd,dual,plupft,indic,pass
verbinfl.m_pp5_plup12,m_pp5,fqhn,3rd,dual,plupft,indic,pass

verbinfl.m_pp5_plup13,m_pp5,mmeqa,1st,pl,plupft,indic,pass
verbinfl.m_pp5_plup14,m_pp5,fqe,2nd,pl,plupft,indic,pass






verbinfl.m_pp5_imptv1,m_pp5,yo,2nd,sg,pft,imptv,mid
verbinfl.m_pp5_imptv2,m_pp5,fqw,3rd,sg,pft,imptv,mid

verbinfl.m_pp5_imptv3,m_pp5,fqon,2nd,dual,pft,imptv,mid
verbinfl.m_pp5_imptv4,m_pp5,fqwn,3rd,dual,pft,imptv,mid

verbinfl.m_pp5_imptv5,m_pp5,fqe,2nd,pl,pft,imptv,mid
verbinfl.m_pp5_imptv6,m_pp5,fqwn,3nd,pl,pft,imptv,mid


verbinfl.m_pp5_imptv1,m_pp5,yo,2nd,sg,pft,imptv,pass
verbinfl.m_pp5_imptv2,m_pp5,fqw,3rd,sg,pft,imptv,pass

verbinfl.m_pp5_imptv3,m_pp5,fqon,2nd,dual,pft,imptv,pass
verbinfl.m_pp5_imptv4,m_pp5,fqwn,3rd,dual,pft,imptv,pass

verbinfl.m_pp5_imptv5,m_pp5,fqe,2nd,pl,pft,imptv,pass
verbinfl.m_pp5_imptv6,m_pp5,fqwn,3nd,pl,pft,imptv,pass
