RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.gm_pp5_pft1,gm_pp5,gmai,1st,sg,pft,indic,mid
verbinfl.gm_pp5_pft2,gm_pp5,cai,2nd,sg,pft,indic,mid
verbinfl.gm_pp5_pft3,gm_pp5,ktai,3rd,sg,pft,indic,mid

verbinfl.gm_pp5_pft4,gm_pp5,xqon,2nd,dual,pft,indic,mid
verbinfl.gm_pp5_pft5,gm_pp5,xqon,3rd,dual,pft,indic,mid

verbinfl.gm_pp5_pft6,gm_pp5,gmeqa,1st,pl,pft,indic,mid
verbinfl.gm_pp5_pft7,gm_pp5,xqe,2nd,pl,pft,indic,mid

verbinfl.gm_pp5_pft8,gm_pp5,gmai,1st,sg,pft,indic,pass
verbinfl.gm_pp5_pft9,gm_pp5,cai,2nd,sg,pft,indic,pass
verbinfl.gm_pp5_pft10,gm_pp5,ktai,3rd,sg,pft,indic,pass

verbinfl.gm_pp5_pft11,gm_pp5,xqon,2nd,dual,pft,indic,pass
verbinfl.gm_pp5_pft12,gm_pp5,xqon,3rd,dual,pft,indic,pass

verbinfl.gm_pp5_pft13,gm_pp5,gmeqa,1st,pl,pft,indic,pass
verbinfl.gm_pp5_pft14,gm_pp5,xqe,2nd,pl,pft,indic,pass




verbinfl.gm_pp5_plup1,gm_pp5,gmhn,1st,sg,plupft,indic,mid
verbinfl.gm_pp5_plup2,gm_pp5,co,2nd,sg,plupft,indic,mid
verbinfl.gm_pp5_plup3,gm_pp5,kto,3rd,sg,plupft,indic,mid

verbinfl.gm_pp5_plup4,gm_pp5,xqon,2nd,dual,plupft,indic,mid
verbinfl.gm_pp5_plup5,gm_pp5,xqhn,3rd,dual,plupft,indic,mid

verbinfl.gm_pp5_plup6,gm_pp5,gmeqa,1st,pl,plupft,indic,mid
verbinfl.gm_pp5_plup7,gm_pp5,xqe,2nd,pl,plupft,indic,mid

verbinfl.gm_pp5_plup8,gm_pp5,gmhn,1st,sg,plupft,indic,pass
verbinfl.gm_pp5_plup9,gm_pp5,co,2nd,sg,plupft,indic,pass
verbinfl.gm_pp5_plup10,gm_pp5,kto,3rd,sg,plupft,indic,pass

verbinfl.gm_pp5_plup11,gm_pp5,xqon,2nd,dual,plupft,indic,pass
verbinfl.gm_pp5_plup12,gm_pp5,xqhn,3rd,dual,plupft,indic,pass

verbinfl.gm_pp5_plup13,gm_pp5,gmeqa,1st,pl,plupft,indic,pass
verbinfl.gm_pp5_plup14,gm_pp5,xqe,2nd,pl,plupft,indic,pass






verbinfl.gm_pp5_imptv1,gm_pp5,co,2nd,sg,pft,imptv,mid
verbinfl.gm_pp5_imptv2,gm_pp5,xqw,3rd,sg,pft,imptv,mid

verbinfl.gm_pp5_imptv3,gm_pp5,xqon,2nd,dual,pft,imptv,mid
verbinfl.gm_pp5_imptv4,gm_pp5,xqwn,3rd,dual,pft,imptv,mid

verbinfl.gm_pp5_imptv5,gm_pp5,xqe,2nd,pl,pft,imptv,mid
verbinfl.gm_pp5_imptv6,gm_pp5,xqwn,3rd,pl,pft,imptv,mid


verbinfl.gm_pp5_imptv1,gm_pp5,co,2nd,sg,pft,imptv,pass
verbinfl.gm_pp5_imptv2,gm_pp5,xqw,3rd,sg,pft,imptv,pass

verbinfl.gm_pp5_imptv3,gm_pp5,xqon,2nd,dual,pft,imptv,pass
verbinfl.gm_pp5_imptv4,gm_pp5,xqwn,3rd,dual,pft,imptv,pass

verbinfl.gm_pp5_imptv5,gm_pp5,xqe,2nd,pl,pft,imptv,pass
verbinfl.gm_pp5_imptv6,gm_pp5,xqwn,3rd,pl,pft,imptv,pass
