RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.aw_aor_imptv2,aw_contract,on,2nd,sg,aor,imptv,act
verbinfl.aw_aor_imptv3,aw_contract,a/tw,3rd,sg,aor,imptv,act

verbinfl.aw_aor_imptv4,aw_contract,aton,2nd,dual,aor,imptv,act
verbinfl.aw_aor_imptv5,aw_contract,a/twn,3rd,dual,aor,imptv,act

verbinfl.aw_aor_imptv7,aw_contract,ate,2nd,pl,aor,imptv,act
verbinfl.aw_aor_imptv8,aw_contract,a/ntwn,3rd,pl,aor,imptv,act

verbinfl.aw_aor_imptv10,aw_contract,ai,2nd,sg,aor,imptv,mid
verbinfl.aw_aor_imptv11,aw_contract,a/sqw,3rd,sg,aor,imptv,mid

verbinfl.aw_aor_imptv12,aw_contract,asqon,2nd,dual,aor,imptv,mid
verbinfl.aw_aor_imptv13,aw_contract,a/sqwn,3rd,dual,aor,imptv,mid


verbinfl.aw_aor_imptv14,aw_contract,hti,2nd,sg,aor,imptv,pass
verbinfl.aw_aor_imptv15,aw_contract,htw,3rd,sg,aor,imptv,pass

verbinfl.aw_aor_imptv16,aw_contract,hton,2nd,dual,aor,imptv,pass
verbinfl.aw_aor_imptv17,aw_contract,htwn,3rd,dual,aor,imptv,pass
