RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.aw_aor_subj1,aw_contract,w,1st,sg,aor,subj,act
verbinfl.aw_aor_subj2,aw_contract,h|s,2nd,sg,aor,subj,act
verbinfl.aw_aor_subj3,aw_contract,h|,3rd,sg,aor,subj,act

verbinfl.aw_aor_subj4,aw_contract,hton,2nd,dual,aor,subj,act
verbinfl.aw_aor_subj5,aw_contract,hton,3rd,dual,aor,subj,act

verbinfl.aw_aor_subj6,aw_contract,wmen,1st,pl,aor,subj,act
verbinfl.aw_aor_subj7,aw_contract,hte,2nd,pl,aor,subj,act
verbinfl.aw_aor_subj8,aw_contract,wsi,3rd,pl,aor,subj,act
verbinfl.aw_aor_subj8n,aw_contract,wsin,3rd,pl,aor,subj,act

verbinfl.aw_aor_subj9,aw_contract,wmai,1st,sg,aor,subj,mid
verbinfl.aw_aor_subj10,aw_contract,h|,2nd,sg,aor,subj,mid
verbinfl.aw_aor_subj11,aw_contract,htai,3rd,sg,aor,subj,mid

verbinfl.aw_aor_subj12,aw_contract,hsqon,2nd,dual,aor,subj,mid
verbinfl.aw_aor_subj13,aw_contract,hsqon,3rd,dual,aor,subj,mid

verbinfl.aw_aor_subj14,aw_contract,wmeqa,1st,pl,aor,subj,mid
verbinfl.aw_aor_subj15,aw_contract,hsqe,2nd,pl,aor,subj,mid
verbinfl.aw_aor_subj16,aw_contract,wntai,3rd,pl,aor,subj,mid


verbinfl.aw_aor_subj17,aw_contract,w=,1st,sg,aor,subj,pass
verbinfl.aw_aor_subj18,aw_contract,h=|s,2nd,sg,aor,subj,pass
verbinfl.aw_aor_subj19,aw_contract,h=|,3rd,sg,aor,subj,pass

verbinfl.aw_aor_subj20,aw_contract,h=ton,2nd,dual,aor,subj,pass
verbinfl.aw_aor_subj21,aw_contract,h=ton,3rd,dual,aor,subj,pass

verbinfl.aw_aor_subj22,aw_contract,w=men,1st,pl,aor,subj,pass
verbinfl.aw_aor_subj23,aw_contract,h=te,2nd,pl,aor,subj,pass
verbinfl.aw_aor_subj24,aw_contract,w=si,3rd,pl,aor,subj,pass
