RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.aw_pres_indic1,aw_contract,w=,1st,sg,pres,indic,act
verbinfl.aw_pres_indic2,aw_contract,a=|s,2nd,sg,pres,indic,act
verbinfl.aw_pres_indic3,aw_contract,a=|,3rd,sg,pres,indic,act
verbinfl.aw_pres_indic4,aw_contract,a=ton,2nd,dual,pres,indic,act
verbinfl.aw_pres_indic5,aw_contract,a=ton,3rd,dual,pres,indic,act
verbinfl.aw_pres_indic6,aw_contract,w=men,1st,pl,pres,indic,act
verbinfl.aw_pres_indic7,aw_contract,a=te,2nd,pl,pres,indic,act
verbinfl.aw_pres_indic8,aw_contract,w=si,3rd,pl,pres,indic,act
verbinfl.aw_pres_indic8n,aw_contract,w=sin,3rd,pl,pres,indic,act

verbinfl.aw_pres_indic9,aw_contract,w=mai,1st,sg,pres,indic,mid
verbinfl.aw_pres_indic10,aw_contract,a=|,2nd,sg,pres,indic,mid
verbinfl.aw_pres_indic11,aw_contract,a=tai,3rd,sg,pres,indic,mid
verbinfl.aw_pres_indic12,aw_contract,a=sqon,2nd,dual,pres,indic,mid
verbinfl.aw_pres_indic13,aw_contract,a=sqon,3rd,dual,pres,indic,mid
verbinfl.aw_pres_indic14,aw_contract,w/meqa,1st,pl,pres,indic,mid
verbinfl.aw_pres_indic15,aw_contract,a=sqe,2nd,pl,pres,indic,mid
verbinfl.aw_pres_indic16,aw_contract,w=ntai,3rd,pl,pres,indic,mid

verbinfl.aw_pres_indic17,aw_contract,w=mai,1st,sg,pres,indic,pass
verbinfl.aw_pres_indic18,aw_contract,a=|,2nd,sg,pres,indic,pass
verbinfl.aw_pres_indic18h,aw_contract,a=|,2nd,sg,pres,indic,pass
verbinfl.aw_pres_indic19,aw_contract,a=tai,3rd,sg,pres,indic,pass
verbinfl.aw_pres_indic20,aw_contract,a=sqon,2nd,dual,pres,indic,pass
verbinfl.aw_pres_indic21,aw_contract,a=sqon,3rd,dual,pres,indic,pass
verbinfl.aw_pres_indic22,aw_contract,w/meqa,1st,pl,pres,indic,pass
verbinfl.aw_pres_indic23,aw_contract,a=sqe,2nd,pl,pres,indic,pass
verbinfl.aw_pres_indic24,aw_contract,w=ntai,3rd,pl,pres,indic,pass
