RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_aor_imptv2,w_regular,on,2nd,sg,aor,imptv,act
verbinfl.w_aor_imptv2b,w_pp1,on,2nd,sg,aor,imptv,act
verbinfl.w_aor_imptv3,w_regular,a/tw,3rd,sg,aor,imptv,act
verbinfl.w_aor_imptv3b,w_pp1,a/tw,3rd,sg,aor,imptv,act

verbinfl.w_aor_imptv4,w_regular,aton,2nd,dual,aor,imptv,act
verbinfl.w_aor_imptv4b,w_pp1,aton,2nd,dual,aor,imptv,act
verbinfl.w_aor_imptv5,w_regular,a/twn,3rd,dual,aor,imptv,act
verbinfl.w_aor_imptv5b,w_pp1,a/twn,3rd,dual,aor,imptv,act

verbinfl.w_aor_imptv7,w_regular,ate,2nd,pl,aor,imptv,act
verbinfl.w_aor_imptv7b,w_pp1,ate,2nd,pl,aor,imptv,act
verbinfl.w_aor_imptv8,w_regular,a/ntwn,3rd,pl,aor,imptv,act
verbinfl.w_aor_imptv8b,w_pp1,a/ntwn,3rd,pl,aor,imptv,act



verbinfl.w_aor_imptv10,w_regular,ai,2nd,sg,aor,imptv,mid
verbinfl.w_aor_imptv10b,w_pp1,ai,2nd,sg,aor,imptv,mid
verbinfl.w_aor_imptv11,w_regular,a/sqw,3rd,sg,aor,imptv,mid
verbinfl.w_aor_imptv11b,w_pp1,a/sqw,3rd,sg,aor,imptv,mid

verbinfl.w_aor_imptv12,w_regular,asqon,2nd,dual,aor,imptv,mid
verbinfl.w_aor_imptv12b,w_pp1,asqon,2nd,dual,aor,imptv,mid
verbinfl.w_aor_imptv13,w_regular,a/sqwn,3rd,dual,aor,imptv,mid
verbinfl.w_aor_imptv13b,w_pp1,a/sqwn,3rd,dual,aor,imptv,mid


verbinfl.w_aor_imptv14,w_regular,hti,2nd,sg,aor,imptv,pass
verbinfl.w_aor_imptv14b,w_pp1,hti,2nd,sg,aor,imptv,pass
verbinfl.w_aor_imptv15,w_regular,htw,3rd,sg,aor,imptv,pass
verbinfl.w_aor_imptv15b,w_pp1,htw,3rd,sg,aor,imptv,pass

verbinfl.w_aor_imptv16,w_regular,hton,2nd,dual,aor,imptv,pass
verbinfl.w_aor_imptv16b,w_pp1,hton,2nd,dual,aor,imptv,pass
verbinfl.w_aor_imptv17,w_regular,htwn,3rd,dual,aor,imptv,pass
verbinfl.w_aor_imptv17b,w_pp1,htwn,3rd,dual,aor,imptv,pass
