RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_fut_indic1,w_regular,w,1st,sg,fut,indic,act
verbinfl.w_fut_indic1c,aw,w,1st,sg,fut,indic,act
verbinfl.w_fut_indic1d,ew,w,1st,sg,fut,indic,act
verbinfl.w_fut_indic1e,ow,w,1st,sg,fut,indic,act

verbinfl.w_fut_indic2,w_regular,eis,2nd,sg,fut,indic,act
verbinfl.w_fut_indic2c,aw,eis,2nd,sg,fut,indic,act
verbinfl.w_fut_indic2d,ew,eis,2nd,sg,fut,indic,act
verbinfl.w_fut_indic2e,ow,eis,2nd,sg,fut,indic,act

verbinfl.w_fut_indic3,w_regular,ei,3rd,sg,fut,indic,act
verbinfl.w_fut_indic3c,aw,ei,3rd,sg,fut,indic,act
verbinfl.w_fut_indic3d,ew,ei,3rd,sg,fut,indic,act
verbinfl.w_fut_indic3e,ow,ei,3rd,sg,fut,indic,act



verbinfl.w_fut_indic4,w_regular,eton,2nd,dual,fut,indic,act
verbinfl.w_fut_indic4c,aw,eton,2nd,dual,fut,indic,act
verbinfl.w_fut_indic4d,ew,eton,2nd,dual,fut,indic,act
verbinfl.w_fut_indic4e,ow,eton,2nd,dual,fut,indic,act

verbinfl.w_fut_indic5,w_regular,eton,3rd,dual,fut,indic,act
verbinfl.w_fut_indic5b,aw,eton,3rd,dual,fut,indic,act
verbinfl.w_fut_indic5b,ew,eton,3rd,dual,fut,indic,act
verbinfl.w_fut_indic5b,ow,eton,3rd,dual,fut,indic,act



verbinfl.w_fut_indic6,w_regular,omen,1st,pl,fut,indic,act
verbinfl.w_fut_indic6c,aw,omen,1st,pl,fut,indic,act
verbinfl.w_fut_indic6d,ew,omen,1st,pl,fut,indic,act
verbinfl.w_fut_indic6e,ow,omen,1st,pl,fut,indic,act

verbinfl.w_fut_indic7,w_regular,ete,2nd,pl,fut,indic,act
verbinfl.w_fut_indic7c,aw,ete,2nd,pl,fut,indic,act
verbinfl.w_fut_indic7d,ew,ete,2nd,pl,fut,indic,act
verbinfl.w_fut_indic7e,ow,ete,2nd,pl,fut,indic,act

verbinfl.w_fut_indic8,w_regular,ousi,3rd,pl,fut,indic,act
verbinfl.w_fut_indic8c,aw,ousi,3rd,pl,fut,indic,act
verbinfl.w_fut_indic8d,ew,ousi,3rd,pl,fut,indic,act
verbinfl.w_fut_indic8e,ow,ousi,3rd,pl,fut,indic,act
verbinfl.w_fut_indic8n,w_regular,ousin,3rd,pl,fut,indic,act
verbinfl.w_fut_indic8cn,aw,ousin,3rd,pl,fut,indic,act
verbinfl.w_fut_indic8dn,ew,ousin,3rd,pl,fut,indic,act
verbinfl.w_fut_indic8en,ow,ousin,3rd,pl,fut,indic,act


verbinfl.w_fut_indic9,w_regular,omai,1st,sg,fut,indic,mid
verbinfl.w_fut_indic9c,aw,omai,1st,sg,fut,indic,mid
verbinfl.w_fut_indic9d,ew,omai,1st,sg,fut,indic,mid
verbinfl.w_fut_indic9e,ow,omai,1st,sg,fut,indic,mid

verbinfl.w_fut_indic10,w_regular,ei,2nd,sg,fut,indic,mid
verbinfl.w_fut_indic10c,aw,ei,2nd,sg,fut,indic,mid
verbinfl.w_fut_indic10d,ew,ei,2nd,sg,fut,indic,mid
verbinfl.w_fut_indic10e,ow,ei,2nd,sg,fut,indic,mid

verbinfl.w_fut_indic10h,w_regular,h|,2nd,sg,fut,indic,mid
verbinfl.w_fut_indic10ch,aw,h|,2nd,sg,fut,indic,mid
verbinfl.w_fut_indic10dh,ew,h|,2nd,sg,fut,indic,mid
verbinfl.w_fut_indic10eh,ow,h|,2nd,sg,fut,indic,mid


verbinfl.w_fut_indic11,w_regular,etai,3rd,sg,fut,indic,mid
verbinfl.w_fut_indic11c,aw,etai,3rd,sg,fut,indic,mid
verbinfl.w_fut_indic11d,ew,etai,3rd,sg,fut,indic,mid
verbinfl.w_fut_indic11e,ow,etai,3rd,sg,fut,indic,mid



verbinfl.w_fut_indic12,w_regular,esqon,2nd,dual,fut,indic,mid
verbinfl.w_fut_indic12c,aw,esqon,2nd,dual,fut,indic,mid
verbinfl.w_fut_indic12d,ew,esqon,2nd,dual,fut,indic,mid
verbinfl.w_fut_indic12e,ow,esqon,2nd,dual,fut,indic,mid

verbinfl.w_fut_indic13,w_regular,esqon,3rd,dual,fut,indic,mid
verbinfl.w_fut_indic13c,aw,esqon,3rd,dual,fut,indic,mid
verbinfl.w_fut_indic13d,ew,esqon,3rd,dual,fut,indic,mid
verbinfl.w_fut_indic13e,ow,esqon,3rd,dual,fut,indic,mid



verbinfl.w_fut_indic14,w_regular,omeqa,1st,pl,fut,indic,mid
verbinfl.w_fut_indic14c,aw,omeqa,1st,pl,fut,indic,mid
verbinfl.w_fut_indic14d,ew,omeqa,1st,pl,fut,indic,mid
verbinfl.w_fut_indic14e,ow,omeqa,1st,pl,fut,indic,mid

verbinfl.w_fut_indic15,w_regular,esqe,2nd,pl,fut,indic,mid
verbinfl.w_fut_indic15c,aw,esqe,2nd,pl,fut,indic,mid
verbinfl.w_fut_indic15d,ew,esqe,2nd,pl,fut,indic,mid
verbinfl.w_fut_indic15e,ow,esqe,2nd,pl,fut,indic,mid

verbinfl.w_fut_indic16,w_regular,ontai,3rd,pl,fut,indic,mid
verbinfl.w_fut_indic16c,aw,ontai,3rd,pl,fut,indic,mid
verbinfl.w_fut_indic16d,ew,ontai,3rd,pl,fut,indic,mid
verbinfl.w_fut_indic16e,ow,ontai,3rd,pl,fut,indic,mid


verbinfl.w_fut_indic17,w_regular,hsomai,1st,sg,fut,indic,pass
verbinfl.w_fut_indic17c,aw,hsomai,1st,sg,fut,indic,pass
verbinfl.w_fut_indic17d,ew,hsomai,1st,sg,fut,indic,pass
verbinfl.w_fut_indic17e,ow,hsomai,1st,sg,fut,indic,pass

verbinfl.w_fut_indic18,w_regular,hsei,2nd,sg,fut,indic,pass
verbinfl.w_fut_indic18c,aw,ou,hsei,sg,fut,indic,pass
verbinfl.w_fut_indic18d,ew,ou,hsei,sg,fut,indic,pass
verbinfl.w_fut_indic18e,ow,ou,hsei,sg,fut,indic,pass

verbinfl.w_fut_indic18h,w_regular,hsh|,2nd,sg,fut,indic,pass
verbinfl.w_fut_indic18ch,aw,ou,hsh|,sg,fut,indic,pass
verbinfl.w_fut_indic18dh,ew,ou,hsh|,sg,fut,indic,pass
verbinfl.w_fut_indic18eh,ow,ou,hsh|,sg,fut,indic,pass


verbinfl.w_fut_indic19,w_regular,hsetai,3rd,sg,fut,indic,pass
verbinfl.w_fut_indic19c,aw,hsetai,3rd,sg,fut,indic,pass
verbinfl.w_fut_indic19d,ew,hsetai,3rd,sg,fut,indic,pass
verbinfl.w_fut_indic19e,ow,hsetai,3rd,sg,fut,indic,pass

