RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.ew_aor_opt1,ew_contract,aimi,1st,sg,aor,opt,act
verbinfl.ew_aor_opt2,ew_contract,ais,2nd,sg,aor,opt,act
verbinfl.ew_aor_opt3,ew_contract,ai,3rd,sg,aor,opt,act

verbinfl.ew_aor_opt4,ew_contract,aiton,2nd,dual,aor,opt,act
verbinfl.ew_aor_opt5,ew_contract,aithn,3rd,dual,aor,opt,act

verbinfl.ew_aor_opt6,ew_contract,aimen,1st,pl,aor,opt,act
verbinfl.ew_aor_opt7,ew_contract,aite,2nd,pl,aor,opt,act
verbinfl.ew_aor_opt8,ew_contract,aien,3rd,pl,aor,opt,act
verbinfl.ew_aor_opt8c,ew_contract,eian,3rd,pl,aor,opt,act


verbinfl.ew_aor_opt9,ew_contract,aimhn,1st,sg,aor,opt,mid
verbinfl.ew_aor_opt10,ew_contract,aio,2nd,sg,aor,opt,mid
verbinfl.ew_aor_opt11,ew_contract,aito,3rd,sg,aor,opt,mid

verbinfl.ew_aor_opt12,ew_contract,aisqon,2nd,dual,aor,opt,mid
verbinfl.ew_aor_opt13,ew_contract,aisqhn,3rd,dual,aor,opt,mid

verbinfl.ew_aor_opt14,ew_contract,aimeqa,1st,pl,aor,opt,mid
verbinfl.ew_aor_opt15,ew_contract,aisqe,2nd,pl,aor,opt,mid
verbinfl.ew_aor_opt16,ew_contract,ainto,3rd,pl,aor,opt,mid




verbinfl.ew_aor_opt7,ew_contract,eihn,1st,sg,aor,opt,pass
verbinfl.ew_aor_opt18,ew_contract,eihs,2nd,sg,aor,opt,pass
verbinfl.ew_aor_opt19,ew_contract,eih,3rd,sg,aor,opt,pass

verbinfl.ew_aor_opt20,ew_contract,eihton,2nd,dual,aor,opt,pass
verbinfl.ew_aor_opt20c,ew_contract,ei=ton,2nd,dual,aor,opt,pass

verbinfl.ew_aor_opt21,ew_contract,ei=thn,3rd,dual,aor,opt,pass
verbinfl.ew_aor_opt21c,ew_contract,eihthn,3rd,dual,aor,opt,pass




verbinfl.ew_aor_opt22,ew_contract,ei=men,1st,pl,aor,opt,pass
verbinfl.ew_aor_opt22c,ew_contract,eihmen,1st,pl,aor,opt,pass


verbinfl.ew_aor_opt23,ew_contract,ei=te,2nd,pl,aor,opt,pass
verbinfl.ew_aor_opt23c,ew_contract,eihte,2nd,pl,aor,opt,pass

verbinfl.ew_aor_opt24,ew_contract,ei=en,3rd,pl,aor,opt,pass
verbinfl.ew_aor_opt24,ew_contract,eihsan,3rd,pl,aor,opt,pass
