RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.ow_pft_indic1,ow_contract,a,1st,sg,pft,indic,act
verbinfl.ow_pft_indic2,ow_contract,as,2nd,sg,pft,indic,act
verbinfl.ow_pft_indic3,ow_contract,e,3rd,sg,pft,indic,act

verbinfl.ow_pft_indic4,ow_contract,aton,2nd,dual,pft,indic,act
verbinfl.ow_pft_indic5,ow_contract,aton,3rd,dual,pft,indic,act

verbinfl.ow_pft_indic6,ow_contract,amen,1st,pl,pft,indic,act
verbinfl.ow_pft_indic7,ow_contract,ate,2nd,pl,pft,indic,act
verbinfl.ow_pft_indic8,ow_contract,a_si,3rd,plf,pft,indic,act


verbinfl.ow_pft_indic9,ow_contract,wmai,1st,sg,pft,indic,mid
verbinfl.ow_pft_indic11,ow_contract,wsai,2nd,sg,pft,indic,mid
verbinfl.ow_pft_indic12,ow_contract,wtai,3rd,sg,pft,indic,mid

verbinfl.ow_pft_indic13,ow_contract,wsqon,2nd,dual,pft,indic,mid
verbinfl.ow_pft_indic14,ow_contract,wsqon,3rd,dual,pft,indic,mid

verbinfl.ow_pft_indic15,ow_contract,wmeqa,1st,pl,pft,indic,mid
verbinfl.ow_pft_indic16,ow_contract,wsqe,2nd,pl,pft,indic,mid
verbinfl.ow_pft_indic17,ow_contract,wntai,3rd,pl,pft,indic,mid


verbinfl.ow_pft_indic18,ow_contract,wmai,1st,sg,pft,indic,pass
verbinfl.ow_pft_indic19,ow_contract,wsai,2nd,sg,pft,indic,pass
verbinfl.ow_pft_indic2o,ow_contract,wtai,3rd,sg,pft,indic,pass

verbinfl.ow_pft_indic21,ow_contract,wsqon,2nd,dual,pft,indic,pass
verbinfl.ow_pft_indic22,ow_contract,wsqon,3rd,dual,pft,indic,pass

verbinfl.ow_pft_indic23,ow_contract,wmeqa,1st,pl,pft,indic,pass
verbinfl.ow_pft_indic24,ow_contract,wsqe,2nd,pl,pft,indic,pass
verbinfl.ow_pft_indic25,ow_contract,wntai,3rd,pl,pft,indic,pass
