RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.ew_plupft_indic1,ew_contract,h,1st,sg,plupft,indic,act
verbinfl.ew_plupft_indic2,ew_contract,hs,2nd,sg,plupft,indic,act
verbinfl.ew_plupft_indic3,ew_contract,ei,3rd,sg,plupft,indic,act
verbinfl.ew_plupft_indic3n,ew_contract,ein,3rd,sg,plupft,indic,act

verbinfl.ew_plupft_indic4,ew_contract,eton,2nd,dual,plupft,indic,act
verbinfl.ew_plupft_indic5,ew_contract,ethn,3rd,dual,plupft,indic,act

verbinfl.ew_plupft_indic6,ew_contract,emen,1st,pl,plupft,indic,act
verbinfl.ew_plupft_indic7,ew_contract,ete,2nd,pl,plupft,indic,act
verbinfl.ew_plupft_indic8,ew_contract,esan,3rd,plf,plupft,indic,act


verbinfl.ew_plupft_indic9,ew_contract,mhn,1st,sg,plupft,indic,mid
verbinfl.ew_plupft_indic11,ew_contract,so,2nd,sg,plupft,indic,mid
verbinfl.ew_plupft_indic12,ew_contract,to,3rd,sg,plupft,indic,mid

verbinfl.ew_plupft_indic13,ew_contract,sqon,2nd,dual,plupft,indic,mid
verbinfl.ew_plupft_indic14,ew_contract,sqhn,3rd,dual,plupft,indic,mid

verbinfl.ew_plupft_indic15,ew_contract,meqa,1st,pl,plupft,indic,mid
verbinfl.ew_plupft_indic16,ew_contract,sqe,2nd,pl,plupft,indic,mid
verbinfl.ew_plupft_indic17,ew_contract,nto,3rd,pl,plupft,indic,mid


verbinfl.ew_plupft_indic18,ew_contract,mhn,1st,sg,plupft,indic,pass
verbinfl.ew_plupft_indic19,ew_contract,so,2nd,sg,plupft,indic,pass
verbinfl.ew_plupft_indic2o,ew_contract,to,3rd,sg,plupft,indic,pass

verbinfl.ew_plupft_indic21,ew_contract,sqon,2nd,dual,plupft,indic,pass
verbinfl.ew_plupft_indic22,ew_contract,sqhn,3rd,dual,plupft,indic,pass

verbinfl.ew_plupft_indic23,ew_contract,meqa,1st,pl,plupft,indic,pass
verbinfl.ew_plupft_indic24,ew_contract,sqe,2nd,pl,plupft,indic,pass
verbinfl.ew_plupft_indic25,ew_contract,nto,3rd,pl,plupft,indic,pass
