RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_pp1_impf_indic1b,w_pp1,on,1st,sg,impft,indic,act
verbinfl.w_pp1_impf_indic2b,w_pp1,es,2nd,sg,impft,indic,act
verbinfl.w_pp1_impf_indic3b,w_pp1,e,3rd,sg,impft,indic,act

verbinfl.w_pp1_impf_indic4b,w_pp1,eton,2nd,dual,impft,indic,act
verbinfl.w_pp1_impf_indic5b,w_pp1,ethn,3rd,dual,impft,indic,act
verbinfl.w_pp1_impf_indic6b,w_pp1,omen,1st,pl,impft,indic,act
verbinfl.w_pp1_impf_indic7b,w_pp1,ete,2nd,pl,impft,indic,act
verbinfl.w_pp1_impf_indic8b,w_pp1,on,3rd,pl,impft,indic,act
verbinfl.w_pp1_impf_indic9b,w_pp1,omhn,1st,sg,impft,indic,mid
verbinfl.w_pp1_impf_indic10b,w_pp1,ou,2nd,sg,impft,indic,mid
verbinfl.w_pp1_impf_indic11b,w_pp1,eto,3rd,sg,impft,indic,mid
verbinfl.w_pp1_impf_indic12b,w_pp1,esqon,2nd,dual,impft,indic,mid
verbinfl.w_pp1_impf_indic13b,w_pp1,esqhn,3rd,dual,impft,indic,mid
verbinfl.w_pp1_impf_indic14b,w_pp1,omeqa,1st,pl,impft,indic,mid
verbinfl.w_pp1_impf_indic15b,w_pp1,esqe,2nd,pl,impft,indic,mid
verbinfl.w_pp1_impf_indic16b,w_pp1,onto,3rd,pl,impft,indic,mid
verbinfl.w_pp1_impf_indic17b,w_pp1,omhn,1st,sg,impft,indic,pass
verbinfl.w_pp1_impf_indic18b,w_pp1,ou,2nd,sg,impft,indic,pass
verbinfl.w_pp1_impf_indic19b,w_pp1,eto,3rd,sg,impft,indic,pass
verbinfl.w_pp1_impf_indic20b,w_pp1,esqon,2nd,dual,impft,indic,pass
verbinfl.w_pp1_impf_indic21b,w_pp1,esqhn,3rd,dual,impft,indic,pass
verbinfl.w_pp1_impf_indic22b,w_pp1,omeqa,1st,pl,impft,indic,pass
verbinfl.w_pp1_impf_indic23b,w_pp1,esqe,2nd,pl,impft,indic,pass
verbinfl.w_pp1_impf_indic24b,w_pp1,onto,3rd,pl,impft,indic,pass
