RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_pp1_pres_subj1b,w_pp1,w,1st,sg,pres,subj,act
verbinfl.w_pp1_pres_subj2b,w_pp1,h|s,2nd,sg,pres,subj,act
verbinfl.w_pp1_pres_subj3b,w_pp1,h|,3rd,sg,pres,subj,act
verbinfl.w_pp1_pres_subj4b,w_pp1,hton,2nd,dual,pres,subj,act
verbinfl.w_pp1_pres_subj5b,w_pp1,hton,3rd,dual,pres,subj,act
verbinfl.w_pp1_pres_subj6b,w_pp1,wmen,1st,pl,pres,subj,act
verbinfl.w_pp1_pres_subj7b,w_pp1,hte,2nd,pl,pres,subj,act
verbinfl.w_pp1_pres_subj8b,w_pp1,wsi,3rd,pl,pres,subj,act
verbinfl.w_pp1_pres_subj8bn,w_pp1,wsin,3rd,pl,pres,subj,act
verbinfl.w_pp1_pres_subj9b,w_pp1,wmai,1st,sg,pres,subj,mid
verbinfl.w_pp1_pres_subj10b,w_pp1,h|,2nd,sg,pres,subj,mid
verbinfl.w_pp1_pres_subj11b,w_pp1,htai,3rd,sg,pres,subj,mid
verbinfl.w_pp1_pres_subj12b,w_pp1,hsqon,2nd,dual,pres,subj,mid
verbinfl.w_pp1_pres_subj13b,w_pp1,hsqon,3rd,dual,pres,subj,mid
verbinfl.w_pp1_pres_subj14b,w_pp1,wmeqa,1st,pl,pres,subj,mid
verbinfl.w_pp1_pres_subj15b,w_pp1,hsqe,2nd,pl,pres,subj,mid
verbinfl.w_pp1_pres_subj16b,w_pp1,wntai,3rd,pl,pres,subj,mid
verbinfl.w_pp1_pres_subj17b,w_pp1,wmai,1st,sg,pres,subj,pass
verbinfl.w_pp1_pres_subj18b,w_pp1,h|,2nd,sg,pres,subj,pass
verbinfl.w_pp1_pres_subj19b,w_pp1,htai,3rd,sg,pres,subj,pass
verbinfl.w_pp1_pres_subj20b,w_pp1,hsqon,2nd,dual,pres,subj,pass
verbinfl.w_pp1_pres_subj21b,w_pp1,hsqon,3rd,dual,pres,subj,pass
verbinfl.w_pp1_pres_subj22b,w_pp1,wmeqa,1st,pl,pres,subj,pass
verbinfl.w_pp1_pres_subj23b,w_pp1,hsqe,2nd,pl,pres,subj,pass
verbinfl.w_pp1_pres_subj24b,w_pp1,wntai,3rd,pl,pres,subj,pass
