RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_pp2_fut_indic1b,w_pp2,w,1st,sg,fut,indic,act
verbinfl.w_pp2_fut_indic2b,w_pp2,eis,2nd,sg,fut,indic,act
verbinfl.w_pp2_fut_indic3b,w_pp2,ei,3rd,sg,fut,indic,act
verbinfl.w_pp2_fut_indic4b,w_pp2,eton,2nd,dual,fut,indic,act
verbinfl.w_pp2_fut_indic5b,w_pp2,eton,3rd,dual,fut,indic,act
verbinfl.w_pp2_fut_indic6b,w_pp2,omen,1st,pl,fut,indic,act
verbinfl.w_pp2_fut_indic7b,w_pp2,ete,2nd,pl,fut,indic,act
verbinfl.w_pp2_fut_indic8b,w_pp2,ousi,3rd,pl,fut,indic,act
verbinfl.w_pp2_fut_indic8bn,w_pp2,ousin,3rd,pl,fut,indic,act
verbinfl.w_pp2_fut_indic9b,w_pp2,omai,1st,sg,fut,indic,mid
verbinfl.w_pp2_fut_indic10b,w_pp2,ei,2nd,sg,fut,indic,mid
verbinfl.w_pp2_fut_indic10bh,w_pp2,h|,2nd,sg,fut,indic,mid
verbinfl.w_pp2_fut_indic11b,w_pp2,etai,3rd,sg,fut,indic,mid
verbinfl.w_pp2_fut_indic12b,w_pp2,esqon,2nd,dual,fut,indic,mid
verbinfl.w_pp2_fut_indic13b,w_pp2,esqon,3rd,dual,fut,indic,mid
verbinfl.w_pp2_fut_indic14b,w_pp2,omeqa,1st,pl,fut,indic,mid
verbinfl.w_pp2_fut_indic15b,w_pp2,esqe,2nd,pl,fut,indic,mid
verbinfl.w_pp2_fut_indic16b,w_pp2,ontai,3rd,pl,fut,indic,mid
