RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_pp2_fut_opt1b,w_pp2,oimi,1st,sg,fut,opt,act
verbinfl.w_pp2_fut_opt2b,w_pp2,ois,2nd,sg,fut,opt,act
verbinfl.w_pp2_fut_opt3b,w_pp2,oi,3rd,sg,fut,opt,act

verbinfl.w_pp2_fut_opt4b,w_pp2,oiton,2nd,dual,fut,opt,act
verbinfl.w_pp2_fut_opt5b,w_pp2,oithn,3rd,dual,fut,opt,act

verbinfl.w_pp2_fut_opt6b,w_pp2,oimen,1st,pl,fut,opt,act
verbinfl.w_pp2_fut_opt7b,w_pp2,oite,2nd,pl,fut,opt,act
verbinfl.w_pp2_fut_opt8b,w_pp2,oien,3rd,pl,fut,opt,act
verbinfl.w_pp2_fut_opt9b,w_pp2,oimhn,1st,sg,fut,opt,mid
verbinfl.w_pp2_fut_opt10b,w_pp2,oio,2nd,sg,fut,opt,mid
verbinfl.w_pp2_fut_opt11b,w_pp2,oito,3rd,sg,fut,opt,mid
verbinfl.w_pp2_fut_opt12b,w_pp2,oisqon,2nd,dual,fut,opt,mid
verbinfl.w_pp2_fut_opt13b,w_pp2,oisqhn,3rd,dual,fut,opt,mid
verbinfl.w_pp2_fut_opt14b,w_pp2,oimeqa,1st,pl,fut,opt,mid
verbinfl.w_pp2_fut_opt15b,w_pp2,oisqe,2nd,pl,fut,opt,mid
verbinfl.w_pp2_fut_opt16b,w_pp2,ointo,3rd,pl,fut,opt,mid
verbinfl.w_pp2_fut_opt7b,w_pp2,hsoimhn,1st,sg,fut,opt,pass
verbinfl.w_pp2_fut_opt17b,w_pp2,hsoio,2nd,sg,fut,opt,pass
verbinfl.w_pp2_fut_opt19b,w_pp2,hsoito,3rd,sg,fut,opt,pass
verbinfl.w_pp2_fut_opt20b,w_pp2,hsoisqon,2nd,dual,fut,opt,pass
verbinfl.w_pp2_fut_opt21b,w_pp2,hsoisqhn,3rd,dual,fut,opt,pass
verbinfl.w_pp2_fut_opt22b,w_pp2,hsoimeqa,1st,pl,fut,opt,pass
verbinfl.w_pp2_fut_opt23b,w_pp2,hsoisqe,2nd,pl,fut,opt,pass
verbinfl.w_pp2_fut_opt24b,w_pp2,hsointo,3rd,pl,fut,opt,pass
